ip_address,domain
52.174.22.106,estadistiquesvisuals.govern.ad
91.187.83.80,sad.govern.ad
91.187.83.82,documents.govern.ad
91.187.83.83,autenticacio.ec.govern.ad
91.187.83.83,gesdoc.ec.govern.ad
91.187.83.83,espai.ec.govern.ad
91.187.83.84,aeoi-pre.govern.ad
91.187.83.86,cita.govern.ad
91.187.83.87,aeoi.govern.ad
91.187.83.87,aeoi.govern.ad
91.187.83.88,correu.govern.ad
91.187.83.89,icorreu.govern.ad
91.187.83.90,www.eleccions.ad
91.187.83.90,eleccions.ad
91.187.83.90,www.eleccions.ad
91.187.83.90,www.eleccions.ad
91.187.83.90,anuari.estadistica.ad
91.187.83.90,epf.estadistica.ad
91.187.83.90,convenis.estadistica.ad
91.187.83.90,alertes.govern.ad
91.187.83.90,backoffice.govern.ad
91.187.83.90,cnac.govern.ad
91.187.83.90,coronavirus.govern.ad
91.187.83.90,covid19.govern.ad
91.187.83.90,empleat.govern.ad
91.187.83.90,govern.ad
91.187.83.90,quotes.govern.ad
91.187.83.90,pki.govern.ad
91.187.83.90,www.govern.ad
91.187.83.95,examenconduir.govern.ad
91.187.83.95,examenconduiralt.govern.ad
109.111.111.33,parlament.ad
109.111.111.33,www.parlament.ad
109.111.111.33,parlament.ad
109.111.111.33,www.parlament.ad
109.111.111.33,correu.parlament.ad
109.111.111.33,www.parlament.ad
109.111.112.8,pspdescarrega.justicia.ad
109.111.112.8,mobil.justicia.ad
109.111.112.8,webmail.justicia.ad
109.111.112.8,cloud.justicia.ad
109.111.112.8,justicia.ad
109.111.112.8,mail.justicia.ad
109.111.112.8,mobil.justicia.ad
109.111.112.8,psp.justicia.ad
109.111.112.8,pspdescarrega.justicia.ad
109.111.112.8,sametime.justicia.ad
109.111.112.8,scdd.justicia.ad
109.111.112.8,vpn.justicia.ad
109.111.112.8,vdi.justicia.ad
109.111.112.8,webmail.justicia.ad
109.111.112.8,www.justicia.ad
139.162.128.80,geolidar360.govern.ad
139.162.128.80,geolidar360.govern.ad
139.162.128.80,geolidar360.govern.ad
194.158.78.65,static-194-158-78-65.parlament.ad
194.158.78.66,static-194-158-78-66.parlament.ad
194.158.78.67,static-194-158-78-67.parlament.ad
194.158.78.67,static-194-158-78-67.parlament.ad
194.158.78.68,correu.parlament.ad
194.158.78.68,correu.parlament.ad
194.158.78.69,static-194-158-78-69.parlament.ad
194.158.78.69,mcig.parlament.ad
194.158.78.70,www.parlament.ad
194.158.78.71,static-194-158-78-71.parlament.ad
194.158.78.72,static-194-158-78-72.parlament.ad
194.158.78.73,static-194-158-78-73.parlament.ad
194.158.78.73,static-194-158-78-73.parlament.ad
194.158.78.74,static-194-158-78-74.parlament.ad
194.158.78.76,static-194-158-78-76.parlament.ad
194.158.78.76,static-194-158-78-76.parlament.ad
194.158.78.77,static-194-158-78-77.parlament.ad
194.158.78.78,static-194-158-78-78.parlament.ad
194.158.78.78,static-194-158-78-78.parlament.ad
194.158.78.79,static-194-158-78-79.parlament.ad
194.158.78.79,static-194-158-78-79.parlament.ad
194.158.80.12,desenvolupament.estadistica.ad
194.158.89.137,correu.tribunalconstitucional.ad
194.158.89.137,correu.tribunalconstitucional.ad
194.158.91.151,www.estadistica.ad
194.158.92.12,www.justicia.ad
194.158.95.160,static-194-158-95-160.govern.ad
194.158.95.161,static-194-158-95-161.govern.ad
194.158.95.162,static-194-158-95-162.govern.ad
194.158.95.162,static-194-158-95-162.govern.ad
194.158.95.163,static-194-158-95-163.govern.ad
194.158.95.163,static-194-158-95-163.govern.ad
194.158.95.164,acces-ec.govern.ad
194.158.95.164,documents-ec.govern.ad
194.158.95.164,portalfp.govern.ad
194.158.95.164,static-194-158-95-164.govern.ad
194.158.95.164,xat.govern.ad
194.158.95.164,xat.govern.ad
194.158.95.164,acces-ec.govern.ad
194.158.95.164,acces-ec.govern.ad
194.158.95.164,documents-ec.govern.ad
194.158.95.164,ftp.govern.ad
194.158.95.164,portalfp.govern.ad
194.158.95.164,static-194-158-95-164.govern.ad
194.158.95.164,portalfp2.govern.ad
194.158.95.164,xat.govern.ad
194.158.95.164,signaturaelectronica.govern.ad
194.158.95.165,static-194-158-95-165.govern.ad
194.158.95.165,static-194-158-95-165.govern.ad
194.158.95.165,vpn.govern.ad
194.158.95.166,static-194-158-95-166.govern.ad
194.158.95.166,fitxers.govern.ad
194.158.95.166,ftpaeoi.govern.ad
194.158.95.166,static-194-158-95-166.govern.ad
194.158.95.167,static-194-158-95-167.govern.ad
194.158.95.167,citapreviaat.govern.ad
194.158.95.167,preduana.govern.ad
194.158.95.167,premediambient.govern.ad
194.158.95.167,static-194-158-95-167.govern.ad
