ip_address,domain
84.11.105.155,smtp.aop.gov.af
84.11.105.156,imail.aop.gov.af
84.11.105.157,mail.arg.gov.af
111.118.215.65,borna.edu.af
111.118.215.65,nasim.borna.edu.af
111.118.215.65,www.nasim.borna.edu.af
111.118.215.65,borna.edu.af
111.118.215.65,cpanel.borna.edu.af
111.118.215.65,cpcontacts.borna.edu.af
111.118.215.65,nasim.borna.edu.af
111.118.215.65,webdisk.borna.edu.af
111.118.215.65,webmail.borna.edu.af
111.118.215.65,www.nasim.borna.edu.af
111.118.215.65,borna.edu.af
111.118.215.65,nasim.borna.edu.af
111.118.215.65,www.nasim.borna.edu.af
84.32.84.10,portal.rahyab.edu.af
84.32.84.31,file.epi.gov.af
143.95.83.72,moraa.edu.af
143.95.83.72,univ.moraa.edu.af
143.95.83.72,moraa.edu.af
143.110.180.232,nutritionmoph.gov.af
35.157.229.234,moph-dw.gov.af
35.157.229.234,moph-dw.gov.af
35.157.229.234,moph-dw.gov.af
43.249.40.202,specialization.moph.gov.af
110.232.143.37,cba.edu.af
34.68.232.110,jobs.mof.gov.af
34.68.232.110,mis2.maihan.edu.af
34.68.232.110,mof.mof.gov.af
34.68.232.110,privatization.mof.gov.af
34.68.232.110,sami.shinwari.mof.gov.af
34.68.232.110,www.mof.mof.gov.af
34.68.232.110,privatization.mof.gov.af
84.32.84.51,jeddah.mfa.gov.af
84.32.84.60,tameermillat.edu.af
93.127.173.67,mfa.gov.af
93.127.173.88,hamkar.edu.af
93.127.173.104,css.gov.af
93.127.173.108,tameermillat.edu.af
84.32.84.103,visa.mfa.gov.af
87.107.55.106,ariana.edu.af
87.107.55.106,mail.ariana.edu.af
87.107.55.106,webmail.ariana.edu.af
87.107.55.106,www.ariana.edu.af
87.107.55.106,cpanel.zawul.edu.af
87.107.55.106,kankor.zawul.edu.af
87.107.55.106,webmail.zawul.edu.af
87.107.55.106,www.kankor.zawul.edu.af
87.107.55.106,www.zawul.edu.af
87.107.55.106,zawul.edu.af
87.107.55.106,ariana.edu.af
87.107.55.106,mail.ariana.edu.af
87.107.55.106,mail.nangarhar.ariana.edu.af
87.107.55.106,mis.ariana.edu.af
87.107.55.106,nangarhar.ariana.edu.af
87.107.55.106,webmail.ariana.edu.af
87.107.55.106,www.ariana.edu.af
87.107.55.106,cpanel.tsu.edu.af
87.107.55.106,mail.tsu.edu.af
87.107.55.106,tsu.edu.af
87.107.55.106,www.tsu.edu.af
87.107.55.106,webmail.tsu.edu.af
87.107.55.106,cpanel.zawul.edu.af
87.107.55.106,kankor.zawul.edu.af
87.107.55.106,webmail.zawul.edu.af
87.107.55.106,www.kankor.zawul.edu.af
87.107.55.106,www.zawul.edu.af
87.107.55.106,zawul.edu.af
87.107.55.106,cpanel.zoombyte.edu.af
87.107.55.106,mail.zoombyte.edu.af
87.107.55.106,mis.zoombyte.edu.af
87.107.55.106,www.zoombyte.edu.af
87.107.55.106,webmail.zoombyte.edu.af
87.107.55.106,zoombyte.edu.af
135.125.4.44,aburayhan.edu.af
135.125.4.44,kankor.aburayhan.edu.af
135.125.4.44,www.aburayhan.edu.af
135.125.4.44,aria.gov.af
135.125.4.44,cpanel.aria.gov.af
135.125.4.44,www.aria.gov.af
135.125.4.44,ariana.edu.af
135.125.4.44,mail.ariana.edu.af
135.125.4.44,mail.nangarhar.ariana.edu.af
135.125.4.44,mis.ariana.edu.af
135.125.4.44,nangarhar.ariana.edu.af
135.125.4.44,webmail.ariana.edu.af
135.125.4.44,www.ariana.edu.af
135.125.4.44,certificates.atarud.edu.af
135.125.4.44,atarud.edu.af
135.125.4.44,cpanel.atarud.edu.af
135.125.4.44,www.atarud.edu.af
135.125.4.44,dmac.gov.af
135.125.4.44,cpanel.girlscollege.edu.af
135.125.4.44,girlscollege.edu.af
135.125.4.44,www.girlscollege.edu.af
135.125.4.44,autodiscover.khana-e-noor.edu.af
135.125.4.44,cpcalendars.khana-e-noor.edu.af
135.125.4.44,cpanel.khana-e-noor.edu.af
135.125.4.44,cpcontacts.khana-e-noor.edu.af
135.125.4.44,mail.khana-e-noor.edu.af
135.125.4.44,webmail.khana-e-noor.edu.af
135.125.4.44,webdisk.khana-e-noor.edu.af
135.125.4.44,khana-e-noor.edu.af
135.125.4.44,khh.edu.af
135.125.4.44,www.khana-e-noor.edu.af
135.125.4.44,maihan.edu.af
135.125.4.44,mdb.maihan.edu.af
135.125.4.44,mail.maihan.edu.af
135.125.4.44,mis.maihan.edu.af
135.125.4.44,student.maihan.edu.af
135.125.4.44,webmail.maihan.edu.af
135.125.4.44,www.maihan.edu.af
135.125.4.44,mail.tsu.edu.af
135.125.4.44,tsu.edu.af
135.125.4.44,webmail.tsu.edu.af
135.125.4.44,www.tsu.edu.af
135.125.4.44,cpanel.tsu.edu.af
135.125.4.44,kankor.zawul.edu.af
135.125.4.44,cpanel.zawul.edu.af
135.125.4.44,www.kankor.zawul.edu.af
135.125.4.44,webmail.zawul.edu.af
135.125.4.44,www.zawul.edu.af
135.125.4.44,zawul.edu.af
84.32.84.168,tameermillat.edu.af
135.125.180.196,ahlobait.edu.af
135.125.180.196,ahlobait.edu.af
84.32.84.176,visa.mfa.gov.af
84.32.84.187,staging-abudhabi.mfa.gov.af
93.127.187.166,moscow.mfa.gov.af
84.32.84.197,jeddah.mfa.gov.af
85.31.224.31,db.change.edu.af
85.31.224.31,change.edu.af
85.31.224.31,test.change.edu.af
85.31.224.31,lmsdev.change.edu.af
85.31.224.31,www.lmsdev.change.edu.af
85.31.224.31,www.test.change.edu.af
93.127.196.140,mfa.gov.af
35.190.31.54,dailies.gov.af
35.190.31.54,kite.edu.af
35.190.31.54,dailies.gov.af
35.190.31.54,www.dailies.gov.af
93.127.201.80,abudhabi.mfa.gov.af
193.39.9.189,rsu.edu.af
184.154.121.27,blog.kardan.edu.af
184.154.121.27,email.kardan.edu.af
184.154.121.27,kardan.edu.af
184.154.121.27,kjems.kardan.edu.af
184.154.121.27,kjet.kardan.edu.af
184.154.121.27,kjl.kardan.edu.af
184.154.121.27,kjssh.kardan.edu.af
184.154.121.27,ayenda.kardan.edu.af
184.154.121.27,blog.kardan.edu.af
184.154.121.27,email.kardan.edu.af
184.154.121.27,inspire.kardan.edu.af
184.154.121.27,kardan.edu.af
184.154.121.27,kjems.kardan.edu.af
184.154.121.27,kjet.kardan.edu.af
184.154.121.27,kjl.kardan.edu.af
184.154.121.27,kjssh.kardan.edu.af
184.154.121.27,ns.kardan.edu.af
184.154.121.27,webmail.kardanschool.edu.af
184.154.121.27,kardanschool.edu.af
184.154.121.27,mail.kardanschool.edu.af
184.154.121.27,webmail.kardanschool.edu.af
184.154.121.27,kis.edu.af
184.154.121.27,mail.kis.edu.af
184.154.121.27,webmail.kis.edu.af
184.154.121.27,ayenda.kardan.edu.af
184.154.121.27,blog.kardan.edu.af
184.154.121.27,email.kardan.edu.af
184.154.121.27,kardan.edu.af
184.154.121.27,inspire.kardan.edu.af
184.154.121.27,kjems.kardan.edu.af
184.154.121.27,kjet.kardan.edu.af
184.154.121.27,kjssh.kardan.edu.af
184.154.121.27,kjl.kardan.edu.af
184.154.121.27,webmail.kardanschool.edu.af
184.154.121.27,webmail.kis.edu.af
184.154.121.27,kis.edu.af
35.206.107.55,nds.gov.af
184.154.193.210,allamah.edu.af
184.154.193.210,asanmaktab.allamah.edu.af
184.154.193.210,asiadelta.com.allamah.edu.af
184.154.193.210,bazarkabul.allamah.edu.af
184.154.193.210,digitallibrary.allamah.edu.af
184.154.193.210,gicmis.allamah.edu.af
184.154.193.210,invoicely.allamah.edu.af
184.154.193.210,www.asanmaktab.allamah.edu.af
184.154.193.210,www.asiadelta.com.allamah.edu.af
184.154.193.210,www.digitallibrary.allamah.edu.af
184.154.193.210,www.bazarkabul.allamah.edu.af
184.154.193.210,www.gicmis.allamah.edu.af
184.154.193.210,www.invoicely.allamah.edu.af
184.154.193.210,www.mis.allamah.edu.af
184.154.193.210,allamah.edu.af
184.154.193.210,test.allamah.edu.af
184.154.193.210,www.app.allamah.edu.af
184.154.193.210,digitallibrary.allamah.edu.af
184.154.193.210,asiadelta.com.allamah.edu.af
184.154.193.210,www.asiadelta.com.allamah.edu.af
184.154.193.210,www.babrakbelal.com.allamah.edu.af
184.154.193.210,www.bakhtar-hostpital.com.allamah.edu.af
184.154.193.210,www.digitallibrary.allamah.edu.af
184.154.193.210,www.faran-academy.com.allamah.edu.af
184.154.193.210,www.mis.allamah.edu.af
184.154.193.210,www.school.allamah.edu.af
184.154.193.210,www.database.allamah.edu.af
184.154.193.210,www.test.allamah.edu.af
184.154.193.210,www.visitscholarship.com.allamah.edu.af
184.154.193.210,allamah.edu.af
184.154.193.210,asanmaktab.allamah.edu.af
184.154.193.210,asiadelta.com.allamah.edu.af
184.154.193.210,bazarkabul.allamah.edu.af
184.154.193.210,digitallibrary.allamah.edu.af
184.154.193.210,erp.allamah.edu.af
184.154.193.210,invoicely.allamah.edu.af
184.154.193.210,gicmis.allamah.edu.af
184.154.193.210,www.asanmaktab.allamah.edu.af
184.154.193.210,test.allamah.edu.af
184.154.193.210,www.asiadelta.com.allamah.edu.af
184.154.193.210,www.bazarkabul.allamah.edu.af
184.154.193.210,www.digitallibrary.allamah.edu.af
184.154.193.210,www.erp.allamah.edu.af
184.154.193.210,www.gicmis.allamah.edu.af
184.154.193.210,www.invoicely.allamah.edu.af
184.154.193.210,www.mis.allamah.edu.af
184.154.193.210,www.test.allamah.edu.af
184.154.195.210,email.kardan.edu.af
184.154.195.210,portal.kardan.edu.af
184.154.195.210,portal.kardan.edu.af
184.154.195.211,portal.kardan.edu.af
184.154.195.212,portal.kardan.edu.af
184.154.195.213,portal.kardan.edu.af
184.154.201.82,downloads.resalat.edu.af
184.154.201.82,resalat.edu.af
184.154.201.82,www.app.resalat.edu.af
