ip_address,domain
190.123.21.48,portal.ird.gov.ag
190.123.21.48,portal.ird.gov.ag
60.57.244.159,mail.ab.gov.ag
170.39.108.171,mail.solidwaste.gov.ag
170.39.108.171,mail.solidwaste.gov.ag
170.39.108.171,mail.solidwaste.gov.ag
205.217.246.17,mail.solidwaste.gov.ag
72.18.142.84,cip.gov.ag
72.18.142.84,mail.cip.gov.ag
72.18.142.84,www.cip.gov.ag
72.18.142.84,cip.gov.ag
72.18.142.84,cip.gov.ag
72.18.142.84,www.cip.gov.ag
72.18.142.84,mail.cip.gov.ag
34.170.53.164,itcenter.gov.ag
10.97.10.200,environment.gov.ag
66.249.146.202,mail.socialsecurity.gov.ag
66.249.146.203,efile.socialsecurity.gov.ag
66.249.146.204,mail.socialsecurity.gov.ag
66.249.146.204,mail.socialsecurity.gov.ag
52.23.210.80,analytics.genderaffairs.gov.ag
20.85.202.151,www.registry.environment.gov.ag
20.102.101.33,laws.gov.ag
20.127.214.188,gov.ag
20.185.58.211,customs.gov.ag
20.185.58.211,customs.gov.ag
20.185.58.211,customs.gov.ag
20.232.142.214,ondcp.gov.ag
20.232.142.214,ondcp.gov.ag
20.232.142.214,www.ondcp.gov.ag
192.185.226.203,health.gov.ag
192.185.226.203,www.health.gov.ag
192.185.226.203,health.gov.ag
192.185.226.203,www.health.gov.ag
192.185.226.203,mbs.gov.ag
192.185.226.203,www.mbs.gov.ag
192.185.226.203,mbs.gov.ag
192.185.226.203,www.mbs.gov.ag
192.185.226.203,health.gov.ag
192.185.226.203,www.health.gov.ag
192.185.226.203,mbs.gov.ag
192.185.226.203,www.mbs.gov.ag
192.199.240.235,adoms.gov.ag
192.199.240.235,www.adoms.gov.ag
192.199.240.235,adoms.gov.ag
192.199.240.235,www.adoms.gov.ag
192.199.240.235,socialsecurity.gov.ag
192.199.240.235,www.socialsecurity.gov.ag
192.199.240.235,adoms.gov.ag
192.199.240.235,www.adoms.gov.ag
52.91.235.245,reporting.genderaffairs.gov.ag
13.68.140.56,healthservices.gov.ag
13.68.140.56,www.healthservices.gov.ag
13.68.140.56,healthservices.gov.ag
13.68.140.56,healthservices.gov.ag
13.68.140.56,www.healthservices.gov.ag
13.68.140.56,www.healthservices.gov.ag
13.90.152.40,www.osec.gov.ag
13.90.152.40,www.osec.gov.ag
13.90.152.40,osec.gov.ag
13.90.152.40,osec.gov.ag
13.90.152.40,www.osec.gov.ag
13.90.152.40,osec.gov.ag
13.92.28.25,gov.ag
13.92.28.25,www.ird.gov.ag
13.92.28.25,ird.gov.ag
13.92.28.25,gazette.gov.ag
13.92.28.25,gazette.laws.gov.ag
13.92.28.25,laws.gov.ag
13.92.28.25,www.zone.gov.ag
13.92.28.25,zone.gov.ag
52.142.2.164,neis.environment.gov.ag
52.142.2.164,www.neis.environment.gov.ag
52.142.2.164,neis.environment.gov.ag
52.142.2.164,www.neis.environment.gov.ag
52.142.2.164,neis.environment.gov.ag
52.142.2.164,www.neis.environment.gov.ag
52.149.215.86,www.registry.environment.gov.ag
52.149.215.86,registry.environment.gov.ag
52.149.215.86,registry.environment.gov.ag
52.149.215.86,www.registry.environment.gov.ag
52.149.228.136,nri.environment.gov.ag
52.149.228.136,www.nri.environment.gov.ag
52.170.160.250,gov.ag
52.170.160.250,nomad.gov.ag
52.173.29.184,portclear.gov.ag
52.173.29.184,www.portclear.gov.ag
52.173.29.184,portclear.gov.ag
52.173.29.184,portclear.gov.ag
52.173.29.184,www.portclear.gov.ag
52.179.7.69,absip.gov.ag
52.179.7.69,covid19.gov.ag
52.179.7.69,www.covid19.gov.ag
52.179.7.69,www.covid19.gov.ag
52.179.7.69,education.gov.ag
52.179.7.69,www.education.gov.ag
52.179.7.69,gov.ag
52.179.7.69,erc.gov.ag
52.179.7.69,www.covid19.gov.ag
52.179.7.69,erc.gov.ag
52.186.122.204,audit.gov.ag
52.186.122.204,www.audit.gov.ag
52.186.122.204,audit.gov.ag
52.186.122.204,www.audit.gov.ag
52.186.122.204,ndctracker.environment.gov.ag
52.186.122.204,remlit.environment.gov.ag
