ip_address,domain
143.42.24.73,mail.prefektielbasan.gov.al
143.42.24.73,webmail.prefektielbasan.gov.al
143.42.24.73,mail.prefektielbasan.gov.al
143.42.24.73,webmail.qarkuelbasan.gov.al
143.42.24.73,mail.qarkuelbasan.gov.al
143.42.24.73,webmail.prefektielbasan.gov.al
143.42.24.73,mail.prefektielbasan.gov.al
143.42.24.73,webmail.prefektielbasan.gov.al
143.42.24.73,mail.qarkuelbasan.gov.al
143.42.24.73,webmail.qarkuelbasan.gov.al
143.204.23.22,judix.gjykataelarte.gov.al
143.204.23.65,judix.gjykataelarte.gov.al
143.204.23.76,judix.gjykataelarte.gov.al
143.204.23.92,judix.gjykataelarte.gov.al
93.104.214.117,kkk.gov.al
35.173.69.207,qkkf.gov.al
84.32.84.64,personel.sut.gov.al
84.32.84.68,personel.sut.gov.al
98.67.137.96,pre-ai.integrimievropian.gov.al
98.67.146.8,pushtetivendor.gov.al
98.67.146.8,www.pushtetivendor.gov.al
93.127.179.101,ashs.gov.al
85.17.54.81,ekb.gov.al
85.17.54.81,ekb.gov.al
85.17.54.81,mail.sushefqetndroqi.gov.al
85.17.54.81,webmail.sushefqetndroqi.gov.al
85.17.54.81,sushefqetndroqi.gov.al
85.17.54.81,www.sushefqetndroqi.gov.al
85.17.54.81,ekb.gov.al
85.17.54.81,mail.sushefqetndroqi.gov.al
85.17.54.81,webmail.sushefqetndroqi.gov.al
87.120.100.250,raport.akbn.gov.al
87.120.100.251,gis.akbn.gov.al
87.120.100.253,mail.akbn.gov.al
87.120.103.81,system.asd.gov.al
87.120.103.120,buletini.ama.gov.al
84.46.249.85,asd.gov.al
84.46.249.85,casi.issh.gov.al
84.46.249.85,issh.gov.al
84.46.249.85,www.casi.issh.gov.al
84.46.249.85,asd.gov.al
84.46.249.85,cpanel.issh.gov.al
84.46.249.85,casi.issh.gov.al
84.46.249.85,cpcalendars.issh.gov.al
84.46.249.85,cpcontacts.issh.gov.al
84.46.249.85,issh.gov.al
84.46.249.85,webdisk.issh.gov.al
84.46.249.85,webmail.issh.gov.al
84.46.249.85,www.casi.issh.gov.al
135.181.168.104,monitoring.ama.gov.al
135.181.168.104,hr.ama.gov.al
135.181.168.104,hr.ama.gov.al
135.181.168.104,durres.gov.al
135.181.168.104,hr.ama.gov.al
135.181.168.104,monitoring.ama.gov.al
108.157.229.22,judix.gjykataelarte.gov.al
108.157.229.25,judix.gjykataelarte.gov.al
108.157.229.28,judix.gjykataelarte.gov.al
108.157.229.37,judix.gjykataelarte.gov.al
108.159.61.10,diaspora-test.kqz.gov.al
108.159.61.76,diaspora-test.kqz.gov.al
108.159.61.91,diaspora-test.kqz.gov.al
108.159.61.113,diaspora-test.kqz.gov.al
