ip_address,domain
93.94.220.226,minfin.am
151.106.100.236,cpcalendars.vanadzor.am
151.106.100.236,cpcontacts.vanadzor.am
151.106.100.236,mankapartez.vanadzor.am
151.106.100.236,notepad.vanadzor.am
151.106.100.236,sport.vanadzor.am
151.106.100.236,cpanel.vanadzor.am
151.106.100.236,vanadzor.am
151.106.100.236,webdisk.vanadzor.am
151.106.100.236,webmail.vanadzor.am
151.106.100.236,www.mankapartez.vanadzor.am
151.106.100.236,www.notepad.vanadzor.am
151.106.100.236,www.sport.vanadzor.am
23.202.231.167,www.mul2-indonesia.gov.am
10.3.17.39,petekamutner.am
10.10.41.147,backup.gov.am
10.97.10.200,mul2-psrc.gov.am
10.102.106.211,consular-user.e-gov.am
23.213.186.158,mul2-indonesia.gov.am
23.217.138.108,www.mul2-indonesia.gov.am
192.168.120.146,api-ac19.gov.am
65.108.254.172,demo.vanadzor.am
91.103.30.50,hrazdan.am
91.103.30.50,hrazdan.am
91.103.30.50,hrazdan.am
91.103.30.50,www.hrazdan.am
83.139.3.7,prelive-cms.notify.e-gov.am
83.139.3.7,prelive-cms.notify.e-gov.am
83.139.3.7,prelive-cms.notify.e-gov.am
83.139.3.8,education-backend.e-gov.am
83.139.3.8,education-backend.e-gov.am
83.139.3.8,education-backend.e-gov.am
83.139.3.9,register-backend.e-gov.am
83.139.3.9,register-backend.e-gov.am
83.139.3.9,register-backend.e-gov.am
83.139.3.10,appointment-api.e-gov.am
83.139.3.10,appointment.e-gov.am
83.139.3.10,appointment-api.e-gov.am
83.139.3.10,appointment.e-gov.am
83.139.3.10,appointment-api.e-gov.am
83.139.3.10,appointment.e-gov.am
83.139.3.24,sign.e-gov.am
83.139.3.24,sign.e-gov.am
83.139.3.24,sign.e-gov.am
83.139.3.31,permits-backend.e-gov.am
83.139.3.44,prelive-cdmp.e-gov.am
83.139.3.44,prelive-cdmp.e-gov.am
83.139.3.46,climate.env.am
83.139.3.46,climate.env.am
83.139.3.51,regions.e-gov.am
83.139.3.71,cms.notify.e-gov.am
83.139.3.71,cms.notify.e-gov.am
83.139.3.74,health-admin.e-gov.am
83.139.3.76,notify.e-gov.am
83.139.3.76,notify.e-gov.am
83.139.3.77,test.consular.e-gov.am
83.139.3.77,api.notify.e-gov.am
83.139.3.77,test.consular.e-gov.am
83.139.3.77,api.notify.e-gov.am
83.139.3.82,mul2-pmc.gov.am
83.139.3.82,mul2-pmc.gov.am
83.139.3.82,mul2-pmc.gov.am
83.139.3.85,migration-backend.e-gov.am
83.139.3.93,e-payments.am
83.139.3.114,prelive-backend.e-gov.am
83.139.3.114,prelive-backend.e-gov.am
83.139.3.114,prelive-backend.e-gov.am
83.139.3.116,prelive-front.e-gov.am
83.139.3.116,prelive-front.e-gov.am
83.139.3.116,prelive-front.e-gov.am
83.139.3.119,gyumricity.am
83.139.3.119,www.gyumricity.am
83.139.3.119,gyumricity.am
83.139.3.121,penmed.e-gov.am
83.139.3.121,penmed.e-gov.am
83.139.3.121,penmed.e-gov.am
83.139.3.129,consular.mfa.gov.am
83.139.3.142,regions-backend.e-gov.am
83.139.3.154,api-covid.gov.am
83.139.3.157,api-stayhome.gov.am
83.139.3.157,stayhome-covid19.gov.am
83.139.3.161,tourism.e-gov.am
83.139.3.162,tourism-backend.e-gov.am
83.139.3.163,gnahatir.e-gov.am
83.139.3.163,gnahatir.e-gov.am
83.139.3.163,gnahatir.e-gov.am
83.139.3.166,mul2.gyumricity.am
83.139.3.166,mul2.gyumricity.am
83.139.3.166,mul2.gyumricity.am
83.139.3.168,redbook.env.am
83.139.3.168,redbook.env.am
83.139.3.168,auth-redbook.env.am
83.139.3.168,api-redbook.env.am
83.139.3.168,redbook.env.am
83.139.3.169,reg.gov.am
83.139.3.173,aviation.e-gov.am
83.139.3.174,aviation-admin.e-gov.am
83.139.3.175,archive.e-gov.am
83.139.3.176,archive-admin.e-gov.am
83.139.3.177,hightech.e-gov.am
83.139.3.178,hightech-admin.e-gov.am
83.139.3.180,nature-backend.e-gov.am
83.139.3.181,nature.e-gov.am
83.139.3.193,ogp.gov.am
83.139.3.193,ogp.gov.am
83.139.3.196,prelive-notify.e-gov.am
83.139.3.196,prelive-notify.e-gov.am
83.139.3.196,prelive-notify.e-gov.am
83.139.3.200,mail.cso.gov.am
83.139.3.200,mail.cso.gov.am
83.139.3.200,cso.gov.am
83.139.3.200,mail.cso.gov.am
83.139.3.200,mail.cso.gov.am
83.139.3.201,diaspora.gov.am
83.139.3.201,mail.diaspora.gov.am
83.139.3.201,mail.diaspora.gov.am
83.139.3.201,mail.diaspora.gov.am
83.139.3.205,mail.utfsib.gov.am
83.139.3.205,mail.utfsib.gov.am
83.139.3.205,mail.utfsib.gov.am
83.139.3.206,mail.msib.gov.am
83.139.3.206,mail.msib.gov.am
83.139.3.206,mail.msib.gov.am
83.139.3.205,mail.utfsib.gov.am
83.139.3.207,mail.ecoinspect.gov.am
83.139.3.207,mail.ecoinspect.gov.am
83.139.3.207,mail.ecoinspect.gov.am
83.139.3.207,mail.ecoinspect.gov.am
83.139.3.212,prelive-api.notify.e-gov.am
83.139.3.212,prelive-api.notify.e-gov.am
83.139.3.212,prelive-api.notify.e-gov.am
83.139.3.213,services-admin.e-gov.am
83.139.3.214,services.e-gov.am
83.139.3.214,www.services.e-gov.am
83.139.3.223,udc-backend.e-gov.am
83.139.3.226,www.nid.e-gov.am
83.139.3.226,nid.e-gov.am
83.139.3.229,internal-api.notify.e-gov.am
83.139.3.229,internal-api.notify.e-gov.am
83.139.3.232,justice.e-gov.am
83.139.3.232,www.justice.e-gov.am
83.139.3.233,urban.e-gov.am
83.139.3.233,www.urban.e-gov.am
83.139.3.234,economy.e-gov.am
83.139.3.241,penmed.e-gov.am
83.139.3.245,libraries.e-gov.am
83.139.3.246,migration.e-gov.am
83.139.3.247,e-payments.am
83.139.3.250,economy-admin.e-gov.am
83.139.3.251,prelive.cso.gov.am
83.139.3.251,prelive.cso.gov.am
83.139.8.178,gp.minfin.am
83.139.8.178,www.gp.minfin.am
83.139.8.182,gp.minfin.am
83.139.8.182,www.gp.minfin.am
83.139.8.182,gp.minfin.am
83.139.22.37,mfa.am
83.139.22.37,evisa.mfa.am
83.139.22.41,ferrum.mfa.am
83.139.22.41,mfa.am
83.139.22.134,www.nss.am
83.139.22.134,nss.am
83.139.22.134,nss.am
83.139.22.134,www.nss.am
83.139.22.134,nss.am
83.139.46.2,host-83-139-46-2.gov.am
83.139.46.3,host-83-139-46-3.gov.am
83.139.46.4,host-83-139-46-4.gov.am
83.139.46.1,host-83-139-46-1.gov.am
83.139.46.5,mul2-investigative.gov.am
83.139.46.5,host-83-139-46-5.gov.am
83.139.46.5,mul2-investigative.gov.am
83.139.46.6,mul2-psrc.gov.am
83.139.46.6,mul2-psrc.gov.am
83.139.46.6,host-83-139-46-6.gov.am
83.139.46.7,mul2-ema.gov.am
83.139.46.7,mul2-ema.gov.am
83.139.46.7,host-83-139-46-7.gov.am
83.139.46.7,mul2-ema.gov.am
83.139.46.8,host-83-139-46-8.gov.am
83.139.46.8,mul2-mnp.gov.am
83.139.46.8,mul2-mnp.gov.am
83.139.46.9,mul2-moh.gov.am
83.139.46.9,mul2-moh.gov.am
83.139.46.9,host-83-139-46-9.gov.am
83.139.46.9,mul2-moh.gov.am
83.139.46.10,mul2-moj.gov.am
83.139.46.10,host-83-139-46-10.gov.am
83.139.46.11,mul2-edu.gov.am
83.139.46.10,mul2-moj.gov.am
83.139.46.10,mul2-moj.gov.am
83.139.46.11,mul2-edu.gov.am
83.139.46.11,mul2-edu.gov.am
83.139.46.12,mul2-mtc.gov.am
83.139.46.12,mul2-mtc.gov.am
83.139.46.13,mul2-mineconomy.gov.am
83.139.46.13,mul2-mineconomy.gov.am
83.139.46.14,mul2-mud.gov.am
83.139.46.13,host-83-139-46-13.gov.am
83.139.46.13,mul2-mineconomy.gov.am
83.139.46.14,host-83-139-46-14.gov.am
83.139.46.14,mul2-mud.gov.am
83.139.46.15,mul2-mss.gov.am
83.139.46.15,mul2-mss.gov.am
83.139.46.15,host-83-139-46-15.gov.am
83.139.46.15,mul2-mss.gov.am
83.139.46.16,mul2-mta.gov.am
83.139.46.16,mul2-mta.gov.am
83.139.46.17,mul2-aragatsotn.gov.am
83.139.46.17,host-83-139-46-17.gov.am
83.139.46.17,mul2-aragatsotn.gov.am
83.139.46.18,mul2-ararat.gov.am
83.139.46.18,host-83-139-46-18.gov.am
83.139.46.18,mul2-ararat.gov.am
83.139.46.19,mul2-armavir.gov.am
83.139.46.19,host-83-139-46-19.gov.am
83.139.46.19,mul2-armavir.gov.am
83.139.46.20,mul2-gegh.gov.am
83.139.46.20,host-83-139-46-20.gov.am
83.139.46.20,mul2-gegh.gov.am
83.139.46.21,mul2-kotayk.gov.am
83.139.46.21,host-83-139-46-21.gov.am
83.139.46.21,mul2-kotayk.gov.am
83.139.46.22,host-83-139-46-22.gov.am
83.139.46.22,mul2-lori.gov.am
83.139.46.23,mul2-shirak.gov.am
83.139.46.23,host-83-139-46-23.gov.am
83.139.46.23,mul2-shirak.gov.am
83.139.46.24,mul2-syunik.gov.am
83.139.46.24,host-83-139-46-24.gov.am
83.139.46.24,mul2-syunik.gov.am
83.139.46.25,mul2-tavush.gov.am
83.139.46.25,host-83-139-46-25.gov.am
83.139.46.25,mul2-tavush.gov.am
83.139.46.26,mul2-vdzor.gov.am
83.139.46.26,host-83-139-46-26.gov.am
83.139.46.26,mul2-vdzor.gov.am
83.139.46.27,mul2-gdca.gov.am
83.139.46.27,mul2-gdca.gov.am
83.139.46.27,host-83-139-46-27.gov.am
83.139.46.27,mul2-gdca.gov.am
83.139.46.28,mul2-cadastre.gov.am
83.139.46.28,host-83-139-46-28.gov.am
83.139.46.28,mul2-cadastre.gov.am
83.139.46.29,mul2-competition.gov.am
83.139.46.29,mul2-competition.gov.am
83.139.46.30,mul2-mcs.gov.am
83.139.46.30,mul2-mcs.gov.am
83.139.46.30,host-83-139-46-30.gov.am
83.139.46.30,mul2-mcs.gov.am
83.139.46.31,mul2-spm.gov.am
