ip_address,domain
41.3.167.18,mail.clese.gov.ao
44.201.114.205,payment.kimbly.it.ao
35.81.208.167,paykz.it.ao
35.82.189.68,paykz.it.ao
211.112.85.194,google.it.ao
44.226.75.165,paykz.it.ao
41.61.161.98,enadonline.enad.gov.ao
41.63.160.35,csst.gov.ao
41.63.160.38,enefop.gov.ao
41.63.160.39,ebumbaapi.gov.ao
41.63.160.65,sibm.fas.gov.ao
41.63.160.76,mail.oapr.gov.ao
41.63.160.76,correio.oapr.gov.ao
41.63.160.76,oapr.gov.ao
41.63.160.76,webmail.oapr.gov.ao
41.63.160.76,correio.oapr.gov.ao
41.63.160.76,mail.oapr.gov.ao
41.63.160.117,dnppp.minplan.gov.ao
41.63.160.117,dnppp.minplan.gov.ao
41.63.160.118,extranet.minplan.gov.ao
41.63.160.120,facra.mep.gov.ao
41.63.160.171,bienaldeluanda.gov.ao
41.63.160.172,viana.luanda.gov.ao
41.63.160.172,sisies.gov.ao
41.63.160.172,viana.luanda.gov.ao
41.63.160.172,sisies.gov.ao
41.63.160.186,simincoteste.minco.gov.ao
41.63.160.225,file.mat.gov.ao
41.63.161.26,smevisa.gov.ao
41.63.161.26,www.smevisa.gov.ao
41.63.161.26,smevisa.gov.ao
41.63.161.30,sme.gov.ao
41.63.161.57,ns2.inss.gov.ao
41.63.161.57,soa.inss.gov.ao
41.63.161.97,www.enad.gov.ao
41.63.161.98,webmail.enad.gov.ao
41.63.161.99,www.enad.gov.ao
41.63.161.113,gestv01.mpdt.gv.ao
41.63.161.115,formacao01.mpdt.gv.ao
41.63.161.116,formacao-qa01.mpdt.gv.ao
41.63.161.117,sipip01.mpdt.gv.ao
41.63.161.118,sipip-qa01.mpdt.gv.ao
41.63.161.119,intranet01.mpdt.gv.ao
41.63.161.119,intranet.gov.ao
41.63.161.120,intranet-qa01.mpdt.gv.ao
41.63.161.120,www.intranet-qa.gov.ao
41.63.161.121,reporting01.mpdt.gv.ao
41.63.161.123,mail01.mpdt.gv.ao
41.63.161.122,reporting-qa01.mpdt.gv.ao
41.63.161.124,siag01.mpdt.gv.ao
41.63.161.126,mail1.mpdt.gov.ao
41.63.161.125,siag-qa01.mpdt.gv.ao
41.63.163.77,fgc.gov.ao
41.63.163.77,AutoDiscover.fgc.gov.ao
41.63.163.77,kiwi.fgc.gov.ao
41.63.163.77,kiwiqual.fgc.gov.ao
41.63.163.77,mail.fgc.gov.ao
41.63.163.77,mx1.fgc.gov.ao
41.63.163.77,mx2.fgc.gov.ao
41.63.163.77,piter.fgc.gov.ao
41.63.163.77,www.fgc.gov.ao
41.63.163.77,fgc.gv.ao
41.63.163.77,mx1.fgc.gv.ao
41.63.163.77,www.fgc.gv.ao
41.63.163.77,fgc.gov.ao
41.63.163.77,mx1.fgc.gov.ao
41.63.163.77,www.fgc.gov.ao
41.63.163.78,sisas.irsea.gov.ao
41.63.163.78,irsea.gov.ao
41.63.163.78,irsea.gov.ao
41.63.163.123,www.unimetro.ed.ao
41.63.165.47,dna.minea.gov.ao
41.63.165.249,mail.egti.gov.ao
41.63.165.249,webmail.egti.gov.ao
41.63.166.18,aipex.gov.ao
41.63.166.37,mail.ife.gov.ao
41.63.166.47,redcap.inis.gov.ao
41.63.166.47,apis.inis.gov.ao
41.63.166.47,redcap.inis.gov.ao
41.63.166.47,redcap.inis.gov.ao
41.63.166.59,vpn.oapr.gov.ao
41.63.166.59,cubango.oapr.gov.ao
41.63.166.65,minec.gv.ao
41.63.166.87,sicoex.minco.gov.ao
41.63.166.87,silac.minco.gov.ao
41.63.166.132,mail.minea.gv.ao
41.63.166.214,mail.ipgul.gv.ao
41.63.167.125,incy.it.ao
41.63.168.9,mail.imprensanacional.gov.ao
41.63.168.10,mail.scm.gov.ao
41.63.168.10,mail.scm.gov.ao
41.63.169.132,aga.it.ao
41.63.169.132,audiobookshelf.akcs.it.ao
41.63.169.132,aga.it.ao
41.63.169.132,audiobookshelf.akcs.it.ao
41.63.169.195,mail-srv.enad.gov.ao
41.63.169.196,mail-srv.enad.gov.ao
41.63.169.194,enad.gov.ao
41.63.170.74,webmail.inacom.gov.ao
41.63.170.74,webmail.inacom.gov.ao
41.63.170.99,sigas.masfamu.gov.ao
41.63.170.173,sisas.irsea.gov.ao
41.63.170.173,sisas.irsea.gov.ao
41.63.170.205,portaldaindustria.gov.ao
41.63.170.205,portaldaindustria.gov.ao
41.74.245.46,mail.mpdt.gov.ao
41.74.245.225,ftpmep.mep.gov.ao
41.74.245.226,siag.mpdt.gv.ao
