ip_address,domain
35.166.205.24,api.talofapass.as.gov
35.167.73.237,api.talofapass.as.gov
44.232.47.58,api.talofapass.as.gov
141.193.213.10,llc.as.gov
141.193.213.10,llc.as.gov
141.193.213.11,llc.as.gov
141.193.213.11,llc.as.gov
108.138.64.11,talofapass.as.gov
108.138.64.78,talofapass.as.gov
108.138.64.80,talofapass.as.gov
108.138.64.89,talofapass.as.gov
35.192.84.134,dmwr.as.gov
35.192.84.134,dmwr.as.gov
108.158.104.3,travelerdeclaration.as.gov
108.158.104.30,travelerdeclaration.as.gov
108.158.104.35,travelerdeclaration.as.gov
108.158.104.91,travelerdeclaration.as.gov
205.161.15.89,m.travel.as.gov
205.161.15.89,travel.as.gov
45.33.58.15,osas.as.gov
54.70.148.240,api.talofapass.as.gov
54.192.18.62,adm.talofapass.as.gov
54.192.18.77,adm.talofapass.as.gov
54.192.18.90,adm.talofapass.as.gov
54.192.18.120,adm.talofapass.as.gov
192.185.5.75,asdhs.as.gov
192.185.5.75,asdhs.as.gov
192.185.5.75,asdhs.as.gov
192.185.183.28,portadministration.as.gov
192.185.183.28,portadministration.as.gov
192.185.183.28,portadministration.as.gov
192.185.183.241,americansamoaport.as.gov
192.185.183.241,americansamoaport.as.gov
192.185.183.241,americansamoaport.as.gov
65.167.227.179,treaspdc.asg.as
65.167.227.180,asg7ifarm.asg.as
65.219.178.200,doc.asg.as
65.219.178.201,docmail.docpdc.doc.asg.as
199.116.77.52,doa.as.gov
199.116.77.52,doa.as.gov
199.116.77.52,doa.as.gov
23.236.62.147,doc.as.gov
23.236.62.147,legalaffairs.as.gov
208.15.230.201,evve.ovs.as.gov
23.236.62.147,doc.as.gov
23.236.62.147,doc.as.gov
23.236.62.147,legalaffairs.as.gov
13.225.114.7,adm.travelerdeclaration.as.gov
13.225.114.14,adm.travelerdeclaration.as.gov
13.225.114.22,adm.travelerdeclaration.as.gov
13.225.114.48,adm.travelerdeclaration.as.gov
198.49.23.144,odapm.as.gov
198.49.23.144,odapm.as.gov
198.49.23.144,odapm.as.gov
198.49.23.145,odapm.as.gov
198.49.23.145,odapm.as.gov
198.49.23.145,odapm.as.gov
198.52.31.139,mail.lbj.as
198.185.159.144,odapm.as.gov
198.185.159.144,odapm.as.gov
198.185.159.144,odapm.as.gov
18.67.161.13,travelerdeclaration.as.gov
18.67.161.25,travelerdeclaration.as.gov
18.67.161.32,travelerdeclaration.as.gov
18.67.161.129,travelerdeclaration.as.gov
202.70.115.214,asmcaweb.lbj.as
202.70.123.48,mail.as.gov
202.70.123.48,mail.as.gov
18.155.145.12,screener.travelerdeclaration.as.gov
18.155.145.71,screener.travelerdeclaration.as.gov
18.155.145.97,screener.travelerdeclaration.as.gov
18.155.145.105,screener.travelerdeclaration.as.gov
198.185.159.145,odapm.as.gov
206.80.30.82,appserv1.net.as.gov
206.80.30.83,mail.as.gov
206.80.31.82,sg7ifarm.asg.as
198.185.159.145,odapm.as.gov
198.185.159.145,odapm.as.gov
103.117.170.99,mail.lbj.as
103.117.171.99,mail.lbj.as
103.117.171.109,udmpro.lbj.as
3.163.165.28,talofapass.as.gov
3.163.165.39,talofapass.as.gov
3.163.165.43,talofapass.as.gov
3.163.165.103,talofapass.as.gov
50.87.141.211,astca.as
50.87.141.211,www.astca.as
50.87.141.211,astca.as
50.87.141.211,www.astca.as
50.87.141.211,astca.as
50.87.141.211,www.astca.as
38.101.165.80,mail.as.gov
38.101.165.80,as.gov
38.101.165.80,mail.as.gov
38.101.165.82,appserv1.net.as.gov
38.101.165.121,epa.as.gov
38.101.165.121,auth.epa.as.gov
38.101.165.121,gis.epa.as.gov
38.101.165.121,portal.epa.as.gov
38.101.165.121,unify-dev.epa.as.gov
38.101.165.121,unify.epa.as.gov
38.101.165.121,www.epa.as.gov
38.101.165.121,www2.epa.as.gov
38.101.165.121,www3.epa.as.gov
38.101.165.208,dmwr.as.gov
38.101.165.208,procurement.as.gov
38.101.165.208,dmwr.as.gov
38.101.165.208,procurement.as.gov
38.101.165.238,feapp.treasury.as.gov
38.101.165.250,alj.as.gov
38.101.165.250,alj.as.gov
38.101.165.250,alj.as.gov
38.101.165.250,www.alj.as.gov
104.37.86.30,medicaid.as.gov
104.37.86.30,medicaid.as.gov
185.230.63.107,as.gov
