ip_address,domain
2a00:1158:5:81c::,st-peter-ottersbach.gv.at
2a00:1158:5:81c::,www.st-peter-ottersbach.gv.at
2a00:1169:103:f7b0::,tbw.gv.at
2a00:116a:107:c230::,hafnerbach.gv.at
2a00:116a:107:c230::,www.hafnerbach.gv.at
2a00:1610:0:50::a:c,e2.bmgf.gv.at
2a00:1610:0:50::a:f,e3.bmgf.gv.at
2a00:1610:0:50::1bb:11,ems-wahlarzt.ehealth.gv.at
2a00:1610:0:50::1bb:13,ehealth.gv.at
2a00:1610:0:50::1bb:27,ehealth-services-a.ehealth.gv.at
2a00:1610:0:50::1bb:13,gdacertificate-training.ehealth.gv.at
2a00:1610:0:50::1bb:2b,ehealth.gv.at
2a00:1610:0:50::a:10,e4.bmgf.gv.at
2a00:1610:0:50::1bb:2b,ems-labor.ehealth.gv.at
2a00:1610:0:50::19:a02,archive.ehealth.gv.at
2a00:1610:0:50::1bb:19,id02.ehealth.gv.at
2a00:1610:0:50::1bb:38,ehealth.gv.at
2a00:1610:0:50::1bb:19,www.id02.ehealth.gv.at
2a00:1610:0:50::1bb:42,gbr-online.ehealth.gv.at
2a00:1610:0:50::1bb:38,lisa-public.ehealth.gv.at
2a00:1610:0:50::1bb:1b,ehealth.gv.at
2a00:1610:0:50::affe:10,ehealth.gv.at
2a00:1610:0:50::1bb:3a,a-gbr-online.ehealth.gv.at
2a00:1610:0:50::1bb:46,bmoeds.gv.at
2a00:1610:0:50::1bb:3a,ehealth.gv.at
2a00:1610:0:50::1bb:1b,reporting.ehealth.gv.at
2a00:1610:0:50::affe:10,gzws.ehealth.gv.at
2a00:1610:0:50::1bb:1f,ehealth.gv.at
2a00:1610:0:50::1bb:3c,a-gbr-public.ehealth.gv.at
2a00:1610:0:50::1bb:3c,ehealth.gv.at
2a00:1610:0:50::1bb:1f,events.ehealth.gv.at
2a00:1610:0:50::1bb:22,agesservices-a.ehealth.gv.at
2a00:1610:0:50::affe:18,ehealth.gv.at
