ip_address,domain
23.97.198.247,akb.au.int
23.97.198.247,akb.au.int
23.97.198.247,akb.au.int
23.111.128.195,au.int
23.111.128.195,s1.au.int
23.111.128.195,au.int
23.111.128.195,au.int
23.111.128.195,s1.au.int
23.111.128.197,achpr.au.int
23.111.128.197,1millionby2021.au.int
23.111.128.197,anticorruption.au.int
23.111.128.197,careers.au.int
23.111.128.197,aprm.au.int
23.111.128.197,drupal9.au.int
23.111.128.197,ecosocc.au.int
23.111.128.197,s2.au.int
23.111.128.197,mail.careers.au.int
23.111.128.197,s2.au.int
23.111.128.197,1millionby2021.au.int
23.111.128.197,1millionby2021.au.int
23.111.128.197,achpr.au.int
23.111.128.197,achpr.au.int
23.111.128.197,anticorruption.au.int
23.111.128.197,anticorruption.au.int
23.111.128.197,aprm.au.int
23.111.128.197,aprm.au.int
23.111.128.197,careers.au.int
23.111.128.197,careers.au.int
23.111.128.197,drupal9.au.int
23.111.128.197,mail.careers.au.int
23.111.128.197,ecosocc.au.int
23.111.128.197,ecosocc.au.int
23.111.128.197,ns3.au.int
23.111.128.197,mail.careers.au.int
23.111.128.197,ns4.au.int
23.111.128.197,s2.au.int
23.111.128.197,s2.au.int
116.202.188.210,learn.au.int
116.202.188.210,learn.au.int
116.202.188.210,learn.au.int
102.37.13.45,comments.au.int
102.37.13.45,isso.au.int
102.37.13.45,echo.au.int
102.37.13.45,comments.au.int
102.37.13.45,echo.au.int
102.37.13.45,isso.au.int
102.37.248.228,opendata.pap.au.int
102.37.248.228,opendata.pap.au.int
102.37.248.228,opendata.pap.au.int
52.72.49.79,click.au.int
52.72.49.79,click.au.int
52.72.49.79,click.au.int
68.233.226.26,s1.au.int
68.233.226.26,s1.au.int
68.233.226.26,s1.au.int
52.166.4.221,learn.au.int
52.178.14.122,library.au.int
52.178.14.122,library.au.int
52.178.14.122,library.au.int
132.220.216.241,aumf.au.int
51.136.48.78,archives.au.int
51.136.48.78,archive.au.int
51.136.48.78,archives.au.int
51.136.48.78,archives.au.int
209.133.202.66,s2.au.int
209.133.215.145,procurementapp.au.int
209.133.215.145,agenda2063app.au.int
172.200.236.54,augyo.au.int
