ip_address,domain
114.4.165.71,bom.gov.au
114.4.165.120,cdn.onlineservices.ato.gov.au
114.4.165.120,cdn2.onlineservices.ato.gov.au
114.4.165.120,cdn1.onlineservices.ato.gov.au
114.4.165.120,onlineservices.ato.gov.au
114.4.165.120,codestables.onlineservices.ato.gov.au
114.4.165.120,onlineservicessimulator.ato.gov.au
114.4.165.120,tdv.onlineservices.ato.gov.au
114.4.165.120,www.onlineservices.ato.gov.au
114.4.165.120,www.onlineservicessimulator.ato.gov.au
114.4.165.136,abc.gov.au
114.4.165.220,api.analytics.bom.gov.au
114.4.165.220,api.weather.bom.gov.au
114.4.165.220,beta.weather.bom.gov.au
114.4.165.220,ideas.weather.bom.gov.au
114.4.165.220,weather.bom.gov.au
114.4.165.220,www.weather.bom.gov.au
34.8.32.207,data-boss-api-prod.vcdi.dgs.vic.gov.au
34.8.32.207,data-boss-api-prod.vcdi.dgs.vic.gov.au
111.67.19.73,rp.nsw.gov.au
111.67.23.52,directory.whittlesea.vic.gov.au
111.67.23.52,www.directory.whittlesea.vic.gov.au
111.67.28.14,stipu.nsw.gov.au
111.67.28.14,www.stipu.nsw.gov.au
111.67.28.14,stipu.nsw.gov.au
111.67.28.14,www.stipu.nsw.gov.au
34.8.243.181,creative.uat.whitehorse.vic.gov.au
34.8.243.181,theround.uat.whitehorse.vic.gov.au
34.8.243.181,creative.uat.whitehorse.vic.gov.au
34.8.243.181,theround.uat.whitehorse.vic.gov.au
120.29.241.11,mail.brighton.tas.gov.au
120.29.242.210,mail.mvc.tas.gov.au
120.29.243.25,vpn.southernmidlands.tas.gov.au
120.29.243.25,southernmidlands.tas.gov.au
120.29.243.25,vpn.southernmidlands.tas.gov.au
120.29.243.25,vpn.southernmidlands.tas.gov.au
120.29.243.106,vpn.warwyn.tas.gov.au
120.29.244.22,mail.southernmidlands.tas.gov.au
120.29.244.22,southernmidlands.tas.gov.au
120.29.244.49,mail.kentish.tas.gov.au
120.29.248.20,ote.rec-registry.gov.au
120.29.248.23,mig.rec-registry.gov.au
120.29.250.21,www.rec-registry.gov.au
120.29.252.105,ns1.gov.au
120.29.254.105,ns2.gov.au
141.11.74.95,www.secure.nsw.gov.au
35.71.173.30,mentallyhealthyworkplaces.gov.au
35.71.173.30,redirect.mentallyhealthyworkplaces.gov.au
35.71.173.30,mentallyhealthyworkplaces.gov.au
35.71.173.30,www.mentallyhealthyworkplaces.gov.au
35.71.181.227,www.minerehabilitationportal.nsw.gov.au
35.71.181.227,minerehabilitationportal.nsw.gov.au
35.71.181.227,minerehabilitationportal.nsw.gov.au
114.30.71.168,vdiuag401.ansto.gov.au
211.25.120.120,abc.gov.au
211.25.120.197,cdn.onlineservices.ato.gov.au
211.25.120.197,cdn1.onlineservices.ato.gov.au
211.25.120.197,cdn2.onlineservices.ato.gov.au
211.25.120.197,onlineservices.ato.gov.au
211.25.120.197,onlineservicessimulator.ato.gov.au
211.25.120.197,codestables.onlineservices.ato.gov.au
211.25.120.197,tdv.onlineservices.ato.gov.au
