ip_address,domain
44.196.222.86,nhc.gov.bb
44.196.222.86,www.nhc.gov.bb
44.196.222.86,nhc.gov.bb
44.196.222.86,www.nhc.gov.bb
35.95.166.55,securitytraining.bra.gov.bb
35.95.166.55,securitytraining.bra.gov.bb
141.193.85.11,logs.cloud.gov.bb
141.193.85.11,waf-on.ezpay.cloud.gov.bb
141.193.85.11,ezpay.gov.bb
141.193.85.11,smtp.cloud.gov.bb
141.193.85.11,immigration.gov.bb
141.193.85.11,ezpay.gov.bb
141.193.85.11,immigration.gov.bb
141.193.85.11,www.immigration.gov.bb
141.193.85.11,smtp.cloud.gov.bb
141.193.85.11,smtp.cloud.gov.bb
141.193.85.11,ezpay.gov.bb
141.193.85.11,immigration.gov.bb
141.193.85.13,controlpanel.cloud.gov.bb
141.193.85.13,controlpanel.cloud.gov.bb
141.193.85.35,eservices.gov.bb
141.193.85.36,hub.gov.bb
141.193.213.10,bcaa.gov.bb
141.193.213.10,bcaa.gov.bb
141.193.213.10,bcaa.gov.bb
141.193.213.11,bcaa.gov.bb
141.193.213.11,bcaa.gov.bb
141.193.213.11,uwischsbm.edu.bb
141.193.213.11,uwischsbm.edu.bb
141.193.213.11,uwischsbm.edu.bb
141.193.213.11,bcaa.gov.bb
93.127.179.44,education.gov.bb
93.127.196.165,education.gov.bb
151.101.1.195,alerts.gisbarbados.gov.bb
151.101.1.195,alerts.gisbarbados.gov.bb
151.101.1.195,alertsios.gisbarbados.gov.bb
151.101.1.195,alerts.gisbarbados.gov.bb
151.101.1.195,alertsios.gisbarbados.gov.bb
151.101.65.195,alerts.gisbarbados.gov.bb
151.101.65.195,alerts.gisbarbados.gov.bb
151.101.65.195,alertsios.gisbarbados.gov.bb
151.101.65.195,alerts.gisbarbados.gov.bb
151.101.65.195,alertsios.gisbarbados.gov.bb
184.107.41.70,coastal.gov.bb
184.107.41.70,coastal.gov.bb
184.107.183.67,coastal.gov.bb
184.107.183.67,coastal.gov.bb
108.167.133.23,autodiscover.basis.gov.bb
108.167.133.23,basis.gov.bb
108.167.133.23,cpanel.basis.gov.bb
108.167.133.23,mail.basis.gov.bb
108.167.133.23,mta-sts.mail.basis.gov.bb
108.167.133.23,webdisk.basis.gov.bb
108.167.133.23,webmail.basis.gov.bb
108.167.133.23,www.basis.gov.bb
108.167.133.23,autodiscover.mcs.gov.bb
108.167.133.23,cpanel.mcs.gov.bb
108.167.133.23,mail.mcs.gov.bb
108.167.133.23,mcs.gov.bb
108.167.133.23,webdisk.mcs.gov.bb
108.167.133.23,webmail.mcs.gov.bb
108.167.133.23,www.mcs.gov.bb
108.167.133.23,mta-sts.mail.mcs.gov.bb
108.167.133.23,autodiscover.pad.gov.bb
108.167.133.23,cpanel.pad.gov.bb
108.167.133.23,mail.pad.gov.bb
108.167.133.23,pad.gov.bb
108.167.133.23,mta-sts.mail.pad.gov.bb
108.167.133.23,webdisk.pad.gov.bb
108.167.133.23,webmail.pad.gov.bb
108.167.133.23,www.pad.gov.bb
108.167.189.17,autodiscover.ncst.gov.bb
108.167.189.17,cpanel.ncst.gov.bb
