ip_address,domain
141.94.133.178,data.manga.rcdi.gov.bf
141.94.133.178,data.tenado.rcdi.gov.bf
141.94.133.178,rcdi.gov.bf
41.78.48.229,corus-insp.gov.bf
41.78.48.230,insp.gov.bf
41.138.101.186,sadina.gov.bf
41.216.151.74,catalogues.ms.sante.gov.bf
41.216.151.74,datatocare.ms.sante.gov.bf
41.216.151.74,dataviz.sante.gov.bf
41.216.151.74,e-formation.ms.sante.gov.bf
41.216.151.74,hhfa.ms.sante.gov.bf
41.216.151.74,inventaire.sante.gov.bf
41.216.151.74,mhealth.ms.sante.gov.bf
41.216.151.74,dataviz-backend.sante.gov.bf
41.216.151.74,minio-admin.sante.gov.bf
41.216.151.74,minio.sante.gov.bf
41.216.151.74,ms.sante.gov.bf
41.216.151.74,onsp.ms.sante.gov.bf
41.216.151.74,portainer.sante.gov.bf
41.216.151.74,remote-headwind.sante.gov.bf
41.216.151.74,test-mhealth.ms.sante.gov.bf
41.216.151.74,rapidpro.ms.sante.gov.bf
41.216.151.77,data.sante.gov.bf
41.223.232.187,dgi.impots.gov.bf
41.223.232.187,dgi.impots.gov.bf
41.223.233.110,impots.gov.bf
190.180.145.103,smarti.upg-burkina.edu.bf
190.180.145.103,upg-burkina.edu.bf
190.180.145.103,upg-burkina.edu.bf
190.180.145.103,www.smarti.upg-burkina.edu.bf
190.180.145.103,smarti.upg-burkina.edu.bf
35.222.42.83,mobilisation.gov.bf
35.222.42.83,mobilisation.gov.bf
66.96.142.109,cnsf.gov.bf
54.72.116.115,inspection-du-travail.gov.bf
54.72.116.115,plaintes.gov.bf
199.36.158.100,bit.edu.bf
54.170.113.77,alias.gov.bf
54.170.113.77,enotation.gov.bf
54.170.113.77,enotation.gov.bf
54.170.172.119,sadina.gov.bf
10.69.69.10,www.ecertificat-nationalite.gov.bf
10.97.10.200,lnbtp.gov.bf
10.97.10.200,www.mshp.siged.gov.bf
34.235.207.244,ogp.gov.bf
2.18.188.209,www.staging.isabel.edu.bf
65.254.254.144,cnsf.gov.bf
197.239.74.219,corus-insp.gov.bf
197.239.74.220,insp.gov.bf
197.239.79.146,ms-surveillance.gov.bf
197.239.79.146,ms-surveillance.gov.bf
197.239.79.146,audience.primature.gov.bf
197.239.79.146,audience.primature.gov.bf
197.239.79.146,co.primature.gov.bf
197.239.79.146,co.primature.gov.bf
197.239.79.146,asbc.sante.gov.bf
197.239.79.146,cartographie-nutrition.sante.gov.bf
197.239.79.146,cartographie-projets.sante.gov.bf
197.239.79.146,catalogues.ms.sante.gov.bf
197.239.79.146,data.sante.gov.bf
197.239.79.146,dataviz-backend.sante.gov.bf
197.239.79.146,dataviz.sante.gov.bf
197.239.79.146,e-formation.ms.sante.gov.bf
197.239.79.146,formation-nutrition.sante.gov.bf
197.239.79.146,formation-redop.sante.gov.bf
197.239.79.146,formation-sppalu.sante.gov.bf
197.239.79.146,gratuite.sante.gov.bf
197.239.79.146,mhealth.ms.sante.gov.bf
197.239.79.146,interne-referentiel-qualite.sante.gov.bf
197.239.79.146,minio.sante.gov.bf
197.239.79.146,minio-admin.sante.gov.bf
197.239.79.146,netsigl-test.sante.gov.bf
197.239.79.146,redop.sante.gov.bf
197.239.79.146,portainer.sante.gov.bf
197.239.79.146,referentiel-qualite.sante.gov.bf
197.239.79.146,zato-edm.sante.gov.bf
197.239.79.146,zato-ms-oh.sante.gov.bf
197.239.79.146,api-zato-edm.sante.gov.bf
197.239.79.146,api-zato-ms-oh.sante.gov.bf
197.239.79.146,cartographie-nutrition.sante.gov.bf
197.239.79.146,asbc.sante.gov.bf
197.239.79.146,formation-tbvih.ms.sante.gov.bf
197.239.79.146,catalogues.ms.sante.gov.bf
197.239.79.146,cartographie-projets.sante.gov.bf
197.239.79.146,dataviz.sante.gov.bf
197.239.79.146,dashboard-edm.sante.gov.bf
197.239.79.146,data.sante.gov.bf
197.239.79.146,dhis.sante.gov.bf
197.239.79.146,dataviz-backend.sante.gov.bf
197.239.79.146,formation-redop.sante.gov.bf
197.239.79.146,formation-sppalu.sante.gov.bf
197.239.79.146,e-formation.ms.sante.gov.bf
197.239.79.146,gratuite.sante.gov.bf
197.239.79.146,interne-referentiel-qualite.sante.gov.bf
197.239.79.146,mhealth.ms.sante.gov.bf
197.239.79.146,minio-admin.sante.gov.bf
197.239.79.146,minio.sante.gov.bf
197.239.79.146,inventaire.sante.gov.bf
197.239.79.146,netsigl-test.sante.gov.bf
197.239.79.146,portainer.sante.gov.bf
197.239.79.146,referentiel-qualite.sante.gov.bf
197.239.79.146,sppalu.sante.gov.bf
197.239.79.146,tbvih.ms.sante.gov.bf
197.239.79.146,zato-edm.sante.gov.bf
197.239.79.146,zato-ms-oh.sante.gov.bf
197.239.79.146,ms-surveillance.gov.bf
197.239.79.146,audience.primature.gov.bf
197.239.79.146,co.primature.gov.bf
197.239.79.146,asbc.sante.gov.bf
197.239.79.146,cartographie-nutrition.sante.gov.bf
197.239.79.146,cartographie-projets.sante.gov.bf
197.239.79.146,catalogues.ms.sante.gov.bf
197.239.79.146,covidinfo.sante.gov.bf
197.239.79.146,dashboard-edm.sante.gov.bf
197.239.79.146,data.sante.gov.bf
197.239.79.146,dataviz-backend.sante.gov.bf
197.239.79.146,dataviz.sante.gov.bf
197.239.79.146,e-formation.ms.sante.gov.bf
197.239.79.146,formation-nutrition.sante.gov.bf
197.239.79.146,formation-redop.sante.gov.bf
197.239.79.146,formation-sppalu.sante.gov.bf
197.239.79.146,formation-tbvih.ms.sante.gov.bf
197.239.79.146,gratuite.sante.gov.bf
197.239.79.146,interne-referentiel-qualite.sante.gov.bf
197.239.79.146,inventaire.sante.gov.bf
197.239.79.146,mhealth.ms.sante.gov.bf
197.239.79.146,minio.sante.gov.bf
197.239.79.146,minio-admin.sante.gov.bf
197.239.79.146,netsigl-test.sante.gov.bf
197.239.79.146,portainer.sante.gov.bf
197.239.79.146,redop.sante.gov.bf
197.239.79.146,referentiel-qualite.sante.gov.bf
197.239.79.146,sppalu.sante.gov.bf
197.239.79.146,tbvih.ms.sante.gov.bf
197.239.79.146,zato-ms-oh.sante.gov.bf
197.239.79.146,zato-edm.sante.gov.bf
197.239.99.114,acces.oni.gov.bf
197.239.99.114,acces.oni.gov.bf
140.82.56.237,droits-humains.gov.bf
140.82.56.237,www.onef.gov.bf
192.250.239.86,autodiscover.isabel.edu.bf
192.250.239.86,cpanel.isabel.edu.bf
192.250.239.86,cpcalendars.isabel.edu.bf
192.250.239.86,cpcontacts.isabel.edu.bf
192.250.239.86,isabel.edu.bf
192.250.239.86,staging.isabel.edu.bf
192.250.239.86,www.staging.isabel.edu.bf
192.250.239.86,autodiscover.isabel.edu.bf
192.250.239.86,cpanel.isabel.edu.bf
192.250.239.86,cpcalendars.isabel.edu.bf
192.250.239.86,cpcontacts.isabel.edu.bf
192.250.239.86,isabel.edu.bf
192.250.239.86,staging.isabel.edu.bf
192.250.239.86,webdisk.isabel.edu.bf
192.250.239.86,webmail.isabel.edu.bf
192.250.239.86,www.staging.isabel.edu.bf
91.108.101.221,latermitiere.edu.bf
91.108.101.221,laravelformation.latermitiere.edu.bf
91.108.101.221,latermitiere.edu.bf
91.108.101.221,laravelformation.latermitiere.edu.bf
91.108.101.221,latermitiere.edu.bf
208.91.112.55,bclcc.gov.bf
208.91.112.55,formations.gov.bf
208.91.112.55,veuves.recensements.gov.bf
208.91.112.55,status.gov.bf
208.91.112.55,register.veneem.gov.bf
208.91.112.55,staging.isabel.edu.bf
208.91.112.55,open.esign.gov.bf
208.91.112.55,www.archive.ujkz.gov.bf
212.52.129.10,AutoDiscover.impots.gov.bf
212.52.129.10,impots.gov.bf
212.52.129.10,srv-dgi-mail.impots.gov.bf
212.52.129.16,opendata.gov.bf
212.52.129.34,oubri.gov.bf
212.52.129.36,diban.gov.bf
212.52.129.36,emploi.gov.bf
212.52.129.36,mpdh.gov.bf
212.52.129.36,mrp.gov.bf
212.52.129.36,tourisme.gov.bf
212.52.129.48,apfnl.gov.bf
212.52.129.48,d-cod.gov.bf
212.52.129.48,dgatdlr.gov.bf
212.52.129.48,habitat.gov.bf
212.52.129.48,mairie-pouytenga.gov.bf
212.52.129.48,mairie-pouytenga.gov.bf
212.52.129.48,mpf.gov.bf
212.52.129.48,muh.gov.bf
212.52.129.48,sp-cnlpe.gov.bf
212.52.129.48,yadega.gov.bf
212.52.129.48,mairie-pouytenga.gov.bf
212.52.129.62,e-citoyennete.gov.bf
212.52.129.62,e-citoyennete.gov.bf
212.52.129.62,e-justice.gov.bf
212.52.129.62,justice.gov.bf
212.52.129.62,carto-projets.justice.gov.bf
212.52.129.62,dggsp.justice.gov.bf
212.52.129.62,gitlab.justice.gov.bf
212.52.129.62,engsp.justice.gov.bf
212.52.129.62,gsp.justice.gov.bf
212.52.129.62,infos-pratiques.justice.gov.bf
212.52.129.62,lexprafaso.justice.gov.bf
212.52.129.62,tcouaga.justice.gov.bf
212.52.129.62,tribunal-travail.justice.gov.bf
212.52.129.62,tribunal-commerce.justice.gov.bf
212.52.129.62,justice-penale.gov.bf
212.52.129.62,e-citoyennete.gov.bf
212.52.129.62,carto-projets.justice.gov.bf
212.52.129.62,engsp.justice.gov.bf
212.52.129.62,gitlab.justice.gov.bf
212.52.129.62,justice.gov.bf
212.52.129.62,tcouaga.justice.gov.bf
212.52.129.62,rbe.gov.bf
212.52.129.63,e-actes-rccm.gov.bf
212.52.129.63,ecasier-judiciaire.gov.bf
212.52.129.63,ecasier-judiciaire.gov.bf
212.52.129.63,www.ecasier-judiciaire.gov.bf
212.52.129.63,e-actes-rccm.gov.bf
212.52.129.63,ecasier-judiciaire.gov.bf
212.52.129.64,dgifpe.gov.bf
212.52.129.64,ecoinfo-burkina.gov.bf
212.52.129.64,ecoinfo-burkina.gov.bf
212.52.129.65,dma-edge.gov.bf
212.52.129.65,meetme.gov.bf
212.52.129.65,video.gov.bf
212.52.129.66,mouhoun.gov.bf
212.52.129.66,spma.gov.bf
212.52.129.67,sised.gov.bf
212.52.129.71,ntoo.gov.bf
212.52.129.71,ntoo.gov.bf
212.52.129.72,ecertificat-nationalite.gov.bf
212.52.129.72,rbe.gov.bf
212.52.129.72,ecertificat-nationalite.gov.bf
212.52.129.72,rbe.gov.bf
212.52.129.72,rbe.gov.bf
212.52.129.73,pmg.gov.bf
212.52.129.75,sip.gov.bf
212.52.129.73,pmg.gov.bf
212.52.129.76,auth.qaveneem.gov.bf
212.52.129.76,config.qaveneem.gov.bf
212.52.129.76,countryconfig.qaveneem.gov.bf
212.52.129.76,gateway.qaveneem.gov.bf
212.52.129.76,kibana.qaveneem.gov.bf
212.52.129.76,login.qaveneem.gov.bf
212.52.129.76,metabase.qaveneem.gov.bf
212.52.129.76,minio.qaveneem.gov.bf
212.52.129.76,minio-console.qaveneem.gov.bf
212.52.129.76,qaveneem.gov.bf
212.52.129.76,register.qaveneem.gov.bf
212.52.129.76,ui-kit.qaveneem.gov.bf
212.52.129.76,webhooks.qaveneem.gov.bf
212.52.129.77,av.gov.bf
212.52.129.77,auth.stg-veneem.gov.bf
212.52.129.77,config.stg-veneem.gov.bf
212.52.129.77,countryconfig.stg-veneem.gov.bf
212.52.129.77,gateway.stg-veneem.gov.bf
212.52.129.77,kibana.stg-veneem.gov.bf
212.52.129.77,login.stg-veneem.gov.bf
212.52.129.77,minio-console.stg-veneem.gov.bf
212.52.129.77,minio.stg-veneem.gov.bf
212.52.129.77,register.stg-veneem.gov.bf
212.52.129.77,webhooks.stg-veneem.gov.bf
212.52.129.77,metabase.stg-veneem.gov.bf
212.52.129.77,ui-kit.stg-veneem.gov.bf
212.52.129.77,av.gov.bf
212.52.129.78,rp.gov.bf
212.52.129.78,rp.gov.bf
212.52.129.79,cifraf.gov.bf
212.52.129.79,e-sante.gov.bf
212.52.129.80,dgi.impots.gov.bf
212.52.129.80,impots.gov.bf
212.52.129.80,esintax.impots.gov.bf
212.52.129.81,abga.gov.bf
212.52.129.81,guichetvirtuel.gov.bf
212.52.129.93,mailer.gov.bf
212.52.129.93,mx2.gov.bf
212.52.129.93,mx2.gov.bf
212.52.129.97,ambf.gov.bf
212.52.129.97,bgouvernance.gov.bf
212.52.129.97,classe-rurale.gov.bf
212.52.129.97,cnlpal.gov.bf
212.52.129.97,mediateur.gov.bf
212.52.129.97,metss.gov.bf
212.52.129.97,yenega.gov.bf
212.52.129.103,sondja.gov.bf
212.52.129.103,sondja.gov.bf
212.52.129.109,dibina.gov.bf
212.52.129.109,dibina.gov.bf
212.52.129.112,demo.gov.bf
212.52.129.112,hdbogodogo.gov.bf
212.52.129.112,mrsi.gov.bf
212.52.129.112,kisibaga.gov.bf
212.52.129.115,affaires-etrangeres.gov.bf
212.52.129.115,cne.gov.bf
212.52.129.115,comitehadj.gov.bf
212.52.129.115,conasur.gov.bf
212.52.129.115,concours.gov.bf
212.52.129.115,www.enam.gov.bf
212.52.129.115,inspection-travail.gov.bf
212.52.129.115,inss.gov.bf
212.52.129.115,justice.gov.bf
212.52.129.115,maecr.gov.bf
212.52.129.115,matds.gov.bf
212.52.129.115,mcia.gov.bf
212.52.129.115,mica.gov.bf
212.52.129.115,mje.gov.bf
212.52.129.115,mjfpe.gov.bf
212.52.129.115,nakambe.gov.bf
212.52.129.115,mmce.gov.bf
212.52.129.115,onef.gov.bf
212.52.129.115,onef.gov.bf
