ip_address,domain
2a04:43c1::212:122:186:69,maila.president.bg
2a04:43c1::212:122:186:73,ns2.president.bg
2a04:43c1::212:122:186:69,president.bg
184.26.91.253,community.egov.bg
87.97.167.242,mdt.kaloyanovo.egov.bg
85.14.14.156,eea.government.bg
85.14.14.156,test.eea.government.bg
85.14.14.156,www.eea.government.bg
85.14.14.156,eea.government.bg
85.14.14.156,test.eea.government.bg
85.14.18.18,spartacus.grao.government.bg
85.14.18.18,grao.government.bg
85.14.18.18,spartacus.grao.government.bg
85.14.18.22,grao.government.bg
85.14.18.22,nbd.grao.government.bg
85.14.18.22,nbd.grao.government.bg
85.14.18.23,apps.grao.government.bg
85.14.18.29,galerius.grao.government.bg
85.14.18.29,galerius.grao.government.bg
85.14.19.2,dnsk.mrrb.government.bg
85.14.19.2,www.dnsk.mrrb.government.bg
85.14.19.3,portal.dnsk.mrrb.government.bg
85.14.19.5,del.dnsk.mrrb.government.bg
85.14.19.5,ex2016.dnsk.mrrb.government.bg
85.14.19.5,ns.dnsk.mrrb.government.bg
85.14.25.66,mi.government.bg
85.14.25.67,mi.government.bg
85.14.25.66,vhod.mi.government.bg
85.14.25.68,mi.government.bg
85.14.28.143,dams.damtn.government.bg
85.14.28.143,damtn.government.bg
85.14.28.144,damtn.government.bg
85.14.28.148,eu.damtn.government.bg
85.14.28.148,damtn.government.bg
85.14.28.148,eu.damtn.government.bg
85.14.28.150,mail.damtn.government.bg
85.14.28.150,autodiscover.damtn.government.bg
85.14.28.150,mail.damtn.government.bg
85.14.28.150,damtn.government.bg
85.14.28.149,damtn.government.bg
85.14.28.151,delovodstvo.damtn.government.bg
85.14.28.154,mail.damtn.government.bg
85.14.28.154,autodiscover.damtn.government.bg
85.14.28.154,mail.damtn.government.bg
85.14.28.155,legacy.damtn.government.bg
85.14.28.154,damtn.government.bg
85.14.28.156,damtn.government.bg
85.14.28.156,reg.damtn.government.bg
85.14.37.1,border-cluster.mrrb.government.bg
85.14.37.2,border1.mrrb.government.bg
85.14.37.1,border-cluster.mrrb.government.bg
85.14.37.2,border1.mrrb.government.bg
85.14.37.3,border2.mrrb.government.bg
85.14.37.10,gateway.mrrb.government.bg
85.14.37.3,border2.mrrb.government.bg
85.14.37.10,gateway.mrrb.government.bg
85.14.37.21,cpcp.mrrb.government.bg
85.14.37.21,mrrb.government.bg
85.14.37.21,cpcp.mrrb.government.bg
85.14.37.22,e-services.mrrb.government.bg
85.14.37.22,mrrb.government.bg
85.14.37.33,fw-cluster.mrrb.government.bg
85.14.37.37,ns2.dnsk.mrrb.government.bg
85.14.37.37,ns1.mrrb.government.bg
85.14.37.38,ns2.mrrb.government.bg
85.14.37.40,sharelink.mrrb.government.bg
85.14.37.40,sharelink.mrrb.government.bg
85.14.37.40,mrrb.government.bg
85.14.37.41,sp.mrrb.government.bg
85.14.37.41,projects.mrrb.government.bg
85.14.37.43,gz-test.mrrb.government.bg
85.14.37.41,sp.mrrb.government.bg
85.14.37.44,mis-007.mrrb.government.bg
85.14.37.44,mis-007.mrrb.government.bg
85.14.37.44,mis-008.mrrb.government.bg
85.14.37.44,mis-bgrs.mrrb.government.bg
85.14.37.22,e-services.mrrb.government.bg
85.14.37.47,mrrb.government.bg
85.14.37.47,mrrb.government.bg
85.14.37.47,mrrb.government.bg
85.14.37.47,www.mrrb.government.bg
85.14.37.51,gis.mrrb.government.bg
85.14.37.51,gis.mrrb.government.bg
85.14.37.52,gz-varna.mrrb.government.bg
85.14.37.52,gz-varna.mrrb.government.bg
85.14.37.53,gz-pernik.mrrb.government.bg
85.14.37.53,gz-pernik.mrrb.government.bg
85.14.37.54,gz-pleven.mrrb.government.bg
85.14.37.58,aids.mrrb.government.bg
85.14.37.58,aids.mrrb.government.bg
85.14.37.61,mail.mrrb.government.bg
85.14.37.61,mail.mrrb.government.bg
85.14.37.54,gz-pleven.mrrb.government.bg
85.14.37.61,_mta-sts.mrrb.government.bg
85.14.37.61,mrrb.government.bg
85.14.37.61,mail.mrrb.government.bg
87.118.147.163,www.bdi.mfa.government.bg
87.118.147.163,bdi.mfa.government.bg
87.118.147.163,www.bdi.mfa.government.bg
87.120.7.87,mba.government.bg
87.120.7.87,www.mba.government.bg
87.120.128.41,op.damtn.government.bg
87.120.128.41,op.damtn.government.bg
87.120.128.41,op.damtn.government.bg
87.120.176.244,profile-op.vss.justice.bg
87.120.176.244,profile-op.vss.justice.bg
87.120.176.244,profile-op.vss.justice.bg
87.121.128.122,egateway.bratsigovo.egov.bg
87.121.128.122,egateway.bratsigovo.egov.bg
193.8.4.28,aba.government.bg
193.8.4.28,aba.government.bg
193.8.4.28,www.aba.government.bg
193.8.4.48,staging.ipa.government.bg
193.8.4.48,is.ipa.government.bg
193.8.4.48,staging.ipa.government.bg
193.8.4.48,staging.ipa.government.bg
193.8.4.56,is-bbb.ipa.government.bg
193.8.4.56,is-bbb.ipa.government.bg
85.91.141.110,justice.bg
85.91.141.110,search-sofia-adms-g.justice.bg
85.91.142.194,bmx.nsi.bg
85.91.142.194,bmx.nsi.bg
84.54.132.66,oaburgas.egov.bg
93.152.172.17,nsm.government.bg
93.152.175.226,srs.justice.bg
93.152.175.226,spravki.srs.justice.bg
93.152.175.227,mail.srs.justice.bg
93.152.175.227,mail.srs.justice.bg
93.152.232.157,iasas.government.bg
93.152.232.157,www.iasas.government.bg
93.152.232.157,iasas.government.bg
93.152.232.157,www.iasas.government.bg
93.152.232.157,iasas.government.bg
93.152.232.157,www.iasas.government.bg
184.154.169.85,dbs.mon.bg
193.68.158.104,nccedi.government.bg
193.68.158.105,tourism.government.bg
193.68.158.105,tourism.government.bg
193.68.158.105,www.tourism.government.bg
193.107.69.36,stz.riew.gov.bg
193.107.69.36,mail.stz.riew.gov.bg
193.107.69.36,stz.riew.gov.bg
193.107.69.36,stz.riew.gov.bg
193.109.54.3,ns1.parliament.bg
193.109.54.3,ns1.parliament.bg
193.109.54.5,nssrv-ns01.abatnt.parliament.bg
193.109.54.5,NSSRV-NS01.abatnt.parliament.bg
193.109.54.5,ns2.parliament.bg
193.109.54.18,valinor.parliament.bg
193.109.54.18,valinor.parliament.bg
193.109.54.19,oldlibrary.parliament.bg
193.109.54.19,oldlibrary.parliament.bg
193.109.54.19,oldlibrary.parliament.bg
193.109.54.19,parliament.bg
193.109.54.20,library.parliament.bg
193.109.54.20,library.parliament.bg
193.109.54.58,int.parliament.bg
193.109.54.20,parliament.bg
193.109.54.58,parliament.bg
193.109.54.90,snake.parliament.bg
193.109.54.90,snake.parliament.bg
193.109.54.20,library.parliament.bg
193.109.54.91,viper.parliament.bg
193.109.54.100,www.parliament.bg
193.109.54.101,old.parliament.bg
193.109.54.101,old.parliament.bg
193.109.54.101,parliament.bg
193.109.54.102,dv.parliament.bg
193.109.54.102,dv.parliament.bg
193.109.54.102,parliament.bg
193.109.54.103,mail.parliament.bg
193.109.54.103,mail.parliament.bg
85.187.61.230,mdt.banite.egov.bg
85.187.61.230,mdt.banite.egov.bg
