ip_address,domain
141.94.197.17,edrms.gov.bi
141.95.148.19,migration.gov.bi
141.95.148.19,www.booking.migration.gov.bi
141.95.148.19,booking.migration.gov.bi
141.95.148.19,www.migration.gov.bi
141.95.148.19,booking.migration.gov.bi
141.95.148.19,migration.gov.bi
141.95.148.19,www.booking.migration.gov.bi
141.95.148.19,www.migration.gov.bi
141.95.148.19,migration.gov.bi
141.95.148.19,booking.migration.gov.bi
141.95.148.19,www.migration.gov.bi
141.95.148.19,www.booking.migration.gov.bi
47.56.175.143,api.hau.edu.bi
47.56.175.143,faka.hau.edu.bi
47.56.175.143,hau.edu.bi
41.79.224.86,enama.gov.bi
41.79.224.86,www.enama.gov.bi
41.79.224.86,enama.gov.bi
41.79.224.90,abrevpa.gov.bi
41.79.224.90,abrema.gov.bi
41.79.224.90,arct.gov.bi
41.79.224.90,ahamr.gov.bi
41.79.224.90,artisanat.gov.bi
41.79.224.90,arct.gov.bi
41.79.224.90,burundi.gov.bi
41.79.224.90,csirt.gov.bi
41.79.224.90,fdnb.gov.bi
41.79.224.90,fdnb.gov.bi
41.79.224.90,finances.gov.bi
41.79.224.90,fsu.gov.bi
41.79.224.90,hopitalrumonge.gov.bi
41.79.224.90,insp.gov.bi
41.79.224.90,iscam.gov.bi
41.79.224.90,mdnac.gov.bi
41.79.224.90,mdnac.gov.bi
41.79.224.90,mincotim.gov.bi
41.79.224.90,minfp.gov.bi
41.79.224.90,minfpte.gov.bi
41.79.224.90,test.minfpte.gov.bi
41.79.224.90,minisante.gov.bi
41.79.224.90,www.test.minfpte.gov.bi
41.79.224.90,minisante.gov.bi
41.79.224.90,otraco.gov.bi
41.79.224.90,primature.gov.bi
41.79.224.90,setic.gov.bi
41.79.224.90,tourisme.gov.bi
41.79.224.90,hosting01.setic.gov.bi
41.79.224.90,tourisme.gov.bi
41.79.224.90,vision-burundi.gov.bi
41.79.224.90,ahamr.gov.bi
41.79.224.90,abrema.gov.bi
41.79.224.90,arct.gov.bi
41.79.224.90,armc.gov.bi
41.79.224.90,artisanat.gov.bi
41.79.224.90,burundi.gov.bi
41.79.224.90,fdnb.gov.bi
41.79.224.90,finances.gov.bi
41.79.224.90,fsu.gov.bi
41.79.224.90,hopitalrumonge.gov.bi
41.79.224.90,ibikorwa.gov.bi
41.79.224.90,mineagrie.ibikorwa.gov.bi
41.79.224.90,web.ibikorwa.gov.bi
41.79.224.90,www.web.ibikorwa.gov.bi
41.79.224.90,insp.gov.bi
41.79.224.90,iscam.gov.bi
41.79.224.90,mdnac.gov.bi
41.79.224.90,mincotim.gov.bi
41.79.224.90,minfp.gov.bi
41.79.224.90,minfpte.gov.bi
41.79.224.90,mininterinfos.gov.bi
41.79.224.90,minisante.gov.bi
41.79.224.90,opddburundi.gov.bi
41.79.224.90,primature.gov.bi
41.79.224.90,ged.setic.gov.bi
41.79.224.90,tourisme.gov.bi
41.79.224.90,hosting01.setic.gov.bi
41.79.224.90,vision-burundi.gov.bi
41.79.226.2,setic.gov.bi
41.79.226.4,app.senat.bi
41.79.226.4,www.app.senat.bi
41.79.226.4,agasandugu.gov.bi
41.79.226.4,agasandugu.gov.bi
41.79.226.4,cpanel.agasandugu.gov.bi
41.79.226.4,cpcalendars.agasandugu.gov.bi
41.79.226.4,webdisk.agasandugu.gov.bi
41.79.226.4,webmail.agasandugu.gov.bi
41.79.226.4,cpcontacts.agasandugu.gov.bi
41.79.226.4,amategeko.gov.bi
41.79.226.4,amategeko.gov.bi
41.79.226.4,besdata.gov.bi
41.79.226.4,cnps.gov.bi
41.79.226.4,www.cnps.gov.bi
41.79.226.4,cnrf.gov.bi
41.79.226.4,cnps.gov.bi
41.79.226.4,courconstitutionnelle.gov.bi
41.79.226.4,courconstitutionnelle.gov.bi
41.79.226.4,enama.gov.bi
41.79.226.4,cpcalendars.kwantare.gov.bi
41.79.226.4,kwantare.gov.bi
41.79.226.4,webdisk.kwantare.gov.bi
41.79.226.4,webmail.kwantare.gov.bi
41.79.226.4,cpcontacts.kwantare.gov.bi
41.79.226.4,cpanel.kwantare.gov.bi
41.79.226.4,miels.gov.bi
41.79.226.4,pafen.gov.bi
41.79.226.4,pafen.gov.bi
41.79.226.4,app.senat.bi
41.79.226.4,senat.bi
41.79.226.4,www.app.senat.bi
41.79.226.4,senat.bi
41.79.226.4,webmail.senat.bi
41.79.226.4,setic.gov.bi
41.79.226.4,enquete.setic.gov.bi
41.79.226.4,setic.gov.bi
41.79.226.4,hosting.setic.gov.bi
41.79.226.4,sjc.setic.gov.bi
41.79.226.4,standardstic.gov.bi
41.79.226.4,agasandugu.gov.bi
41.79.226.4,amategeko.gov.bi
41.79.226.4,umurundikazi.gov.bi
41.79.226.4,cnps.gov.bi
41.79.226.4,njs.cnps.gov.bi
41.79.226.4,courconstitutionnelle.gov.bi
41.79.226.4,isoko.gov.bi
41.79.226.4,www.njs.cnps.gov.bi
41.79.226.4,miels.gov.bi
41.79.226.4,kwantare.gov.bi
41.79.226.4,pafen.gov.bi
41.79.226.4,enquete.setic.gov.bi
41.79.226.4,hosting.setic.gov.bi
41.79.226.4,labo.setic.gov.bi
41.79.226.4,setic.gov.bi
41.79.226.4,setic.gov.bi
41.79.226.4,standardstic.gov.bi
41.79.226.6,etatcivil.gov.bi
41.79.226.6,etatcivil.gov.bi
41.79.226.6,www.etatcivil.gov.bi
41.79.226.6,etatcivil.gov.bi
41.79.226.20,brb.bi
41.79.226.20,brb.bi
41.79.226.21,mail.brb.bi
41.79.226.21,brb.bi
41.79.226.21,mail.brb.bi
41.79.226.26,quicknotepad.obr.gov.bi
41.79.226.27,mail.obr.gov.bi
41.79.226.28,elearning.obr.gov.bi
41.79.226.27,mail.obr.gov.bi
41.79.226.27,obr.gov.bi
41.79.226.28,backend.umutangakori.obr.gov.bi
41.79.226.28,elearning.obr.gov.bi
41.79.226.28,obr.gov.bi
41.79.226.28,umutangakori.obr.gov.bi
41.79.226.28,elearning.obr.gov.bi
41.79.226.29,mail2.obr.gov.bi
41.79.226.118,psr.policenationale.gov.bi
41.79.226.118,cops.policenationale.gov.bi
41.79.226.118,www.cops.policenationale.gov.bi
41.79.226.118,www.psr.policenationale.gov.bi
41.79.226.118,cops.policenationale.gov.bi
41.79.226.118,psr.policenationale.gov.bi
41.79.226.118,www.cops.policenationale.gov.bi
41.79.226.118,www.psr.policenationale.gov.bi
41.79.226.246,gec.policenationale.gov.bi
41.79.226.246,rh.policenationale.gov.bi
41.79.226.246,www.gec.policenationale.gov.bi
41.79.226.246,www.rh.policenationale.gov.bi
41.79.226.246,policenationale.gov.bi
41.79.226.246,rh.policenationale.gov.bi
41.79.226.246,www.gec.policenationale.gov.bi
41.79.226.246,www.rh.policenationale.gov.bi
41.79.226.246,www.gec.policenationale.gov.bi
41.79.226.246,rh.policenationale.gov.bi
41.79.226.246,www.rh.policenationale.gov.bi
41.79.227.140,ns1.agasandugu.gov.bi
41.79.227.140,ns1.justice.gov.bi
41.79.227.140,ns1.mincotim.gov.bi
41.79.227.140,ns1.mesrs.gov.bi
41.79.227.140,autodiscover.presidence.gov.bi
41.79.227.140,cpanel.presidence.gov.bi
41.79.227.140,cpcontacts.presidence.gov.bi
41.79.227.140,cpcalendars.presidence.gov.bi
41.79.227.140,presidence.gov.bi
41.79.227.140,webdisk.presidence.gov.bi
41.79.227.140,mail.presidence.gov.bi
41.79.227.140,webmail.presidence.gov.bi
41.79.227.140,ns1.mininterinfos.gov.bi
41.79.227.140,www.presidence.gov.bi
41.79.227.140,presidence.gov.bi
41.79.227.141,abrema.gov.bi
41.79.227.141,autodiscover.abrema.gov.bi
41.79.227.141,cpanel.abrema.gov.bi
41.79.227.141,cpcalendars.abrema.gov.bi
41.79.227.141,cpcontacts.abrema.gov.bi
41.79.227.141,webdisk.abrema.gov.bi
41.79.227.141,www.admin.abrema.gov.bi
41.79.227.141,www.mairie.abrema.gov.bi
41.79.227.141,webmail.abrema.gov.bi
41.79.227.141,ns0.agasandugu.gov.bi
41.79.227.141,autodiscover.justice.gov.bi
41.79.227.141,burundi.justice.gov.bi
41.79.227.141,justice.gov.bi
41.79.227.141,cpcalendars.justice.gov.bi
41.79.227.141,cpcontacts.justice.gov.bi
41.79.227.141,ged.justice.gov.bi
41.79.227.141,cpanel.justice.gov.bi
41.79.227.141,justice.gov.bi
