ip_address,domain
190.4.104.10,vmpc.economiayfinanzas.gob.bo
44.201.181.38,defensacivil.gob.bo
190.11.80.147,mail.senape.gob.bo
190.11.80.157,smtp.agetic.gob.bo
190.11.80.158,mail.gob.bo
190.11.80.239,mail.ruat.gob.bo
190.11.83.19,sisin.vipfe.gob.bo
190.11.83.19,sisin.vipfe.gob.bo
190.11.83.23,www.vipfe.gob.bo
190.11.83.22,mail.vipfe.gob.bo
190.11.83.39,mail.contraloria.gob.bo
190.11.83.61,mail.planificacion.gob.bo
190.11.83.160,mail.senape.gob.bo
190.11.83.184,mail.justicia.gob.bo
190.14.72.6,oopp.gob.bo
190.14.72.11,zabbixtest.oopp.gob.bo
190.14.72.12,nextcloudtest.oopp.gob.bo
190.14.72.13,indicadoresurbanos.oopp.gob.bo
190.14.101.4,mail.comibol.gob.bo
190.14.104.9,sigep.gob.bo
190.14.104.10,vmpc.economiayfinanzas.gob.bo
190.14.104.11,ns1.sigma.gob.bo
190.14.104.11,sigma.gob.bo
190.14.104.12,ns2.sigma.gob.bo
190.14.104.12,sigma.gob.bo
190.14.104.13,sicoes.gob.bo
190.14.104.13,sigep.sigma.gob.bo
190.14.104.17,dgsgif.sigma.gob.bo
190.14.104.30,sicoes.gob.bo
190.14.104.31,sicoes.gob.bo
190.14.104.32,www.sicoes.gob.bo
190.14.104.33,correo.sicoes.gob.bo
190.14.104.44,mail.sigep.gob.bo
190.14.104.45,pmg.sigep.gob.bo
190.14.106.3,agetic.gob.bo
190.14.106.3,atuservicio.gob.bo
190.14.106.3,cgii.gob.bo
190.14.106.3,credito123.gob.bo
190.14.106.3,csirt.gob.bo
190.14.106.3,ctic.gob.bo
190.14.106.3,datos.gob.bo
190.14.106.3,gtic.gob.bo
190.14.106.3,ipi1.agetic.gob.bo
190.14.106.3,listas.agetic.gob.bo
190.14.106.3,motomendez.gob.bo
190.14.106.3,www.gob.bo
190.14.106.3,smtp.agetic.gob.bo
190.14.106.3,agetic.gob.bo
190.14.106.3,cgii.gob.bo
190.14.106.3,credito123.gob.bo
190.14.106.3,ctic.gob.bo
190.14.106.3,atuservicio.gob.bo
190.14.106.3,datos.gob.bo
190.14.106.3,ipi1.agetic.gob.bo
190.14.106.3,motomendez.gob.bo
190.14.106.3,ipp1.agetic.gob.bo
190.14.106.3,agetic.gob.bo
190.14.106.3,cgii.gob.bo
190.14.106.3,atuservicio.gob.bo
190.14.106.3,credito123.gob.bo
190.14.106.3,csirt.gob.bo
190.14.106.3,csirt.gob.bo
190.14.106.3,ctic.gob.bo
190.14.106.3,datos.gob.bo
190.14.106.3,digital.gob.bo
190.14.106.3,gob.bo
190.14.106.3,gtic.gob.bo
190.14.106.3,ipi1.agetic.gob.bo
190.14.106.3,listas.agetic.gob.bo
190.14.106.3,motomendez.gob.bo
190.14.106.3,imap.agetic.gob.bo
190.14.106.3,matrix.agetic.gob.bo
190.14.106.3,smtp.agetic.gob.bo
190.14.106.4,certificacion.probolivia.gob.bo
190.14.106.4,consumelonuestro.gob.bo
190.14.106.4,dobleaguinaldo.gob.bo
190.14.106.4,firstbolivia.agetic.gob.bo
190.14.106.4,ipi2.agetic.gob.bo
190.14.106.4,mail.gob.bo
190.14.106.4,mail.gob.bo
190.14.106.4,sishab.minedu.gob.bo
190.14.106.4,qmara.minsalud.gob.bo
190.14.106.4,sisunibol.minedu.gob.bo
190.14.106.4,consumelonuestro.gob.bo
190.14.106.4,certificacion.probolivia.gob.bo
190.14.106.4,firstbolivia.agetic.gob.bo
190.14.106.4,ipi2.agetic.gob.bo
190.14.106.4,dobleaguinaldo.gob.bo
190.14.106.4,qmara.minsalud.gob.bo
190.14.106.4,mail.gob.bo
190.14.106.4,sishab.minedu.gob.bo
190.14.106.4,sisunibol.minedu.gob.bo
190.14.106.4,agetic.gob.bo
190.14.106.4,firstbolivia.agetic.gob.bo
190.14.106.4,sishab.minedu.gob.bo
190.14.106.4,sisunibol.minedu.gob.bo
190.14.106.4,qmara.minsalud.gob.bo
190.14.106.5,ipa3.agetic.gob.bo
190.14.106.5,www.gob.bo
190.14.106.5,permiso.agetic.gob.bo
190.14.106.6,agetic.gob.bo
190.14.106.6,gitlab.agetic.gob.bo
190.14.106.4,certificacion.probolivia.gob.bo
190.14.106.6,mail.ciudadania.gob.bo
190.14.106.4,mail.gob.bo
190.14.106.4,dobleaguinaldo.gob.bo
190.14.106.4,consumelonuestro.gob.bo
190.14.106.8,ciudadania.gob.bo
190.14.106.8,ciudadania.gob.bo
190.14.106.8,mail.ciudadania.gob.bo
190.14.106.10,demo.gtic.gob.bo
190.14.106.12,apimivacuna.unidoscontraelcovid.gob.bo
190.14.106.13,anhabastecimiento.gob.bo
