ip_address,domain
44.192.102.30,www.messiasprev.al.gov.br
44.192.102.30,messiasprev.al.gov.br
44.193.41.10,api.serrinha.rn.gov.br
44.193.49.237,lb.sibbr.gov.br
44.193.49.237,nutricao.sibbr.gov.br
44.193.49.237,access-database.prd.sibbr.gov.br
44.193.49.237,ala-bie.prod.sibbr.gov.br
44.193.49.237,ala-bie.sibbr.gov.br
44.193.49.237,ala-hub.sibbr.gov.br
44.193.49.237,ala-hub.prod.sibbr.gov.br
44.193.49.237,apis.sibbr.gov.br
44.193.49.237,bie-webservice.prod.sibbr.gov.br
44.193.49.237,bie-webservice.sibbr.gov.br
44.193.49.237,biocache-service.prod.sibbr.gov.br
44.193.49.237,biocache-service.sibbr.gov.br
44.193.49.237,cas.sibbr.gov.br
44.193.49.237,biocollect.sibbr.gov.br
44.193.49.237,cas5.sibbr.gov.br
44.193.49.237,cassandra3.sibbr.gov.br
44.193.49.237,collectory.sibbr.gov.br
44.193.49.237,collectory.prod.sibbr.gov.br
44.193.49.237,commonui-bs3.sibbr.gov.br
44.193.49.237,dashboard.sibbr.gov.br
44.193.49.237,ecodata.sibbr.gov.br
44.193.49.237,ferramentas.sibbr.gov.br
44.193.49.237,images.sibbr.gov.br
44.193.49.237,ipt.sibbr.gov.br
44.193.49.237,logger.sibbr.gov.br
44.193.49.237,mycena.sibbr.gov.br
44.193.49.237,portal-espacial.sibbr.gov.br
44.193.49.237,prd.sibbr.gov.br
44.193.49.237,regions.sibbr.gov.br
44.193.49.237,sibbr.gov.br
44.193.49.237,specieslist.sibbr.gov.br
44.193.49.237,test-portal-espacial.sibbr.gov.br
44.193.49.237,www.sibbr.gov.br
44.193.49.237,rds-pgsql.sibbr.gov.br
44.193.49.237,teste.bie-index.sibbr.gov.br
44.193.49.237,jobs.sibbr.gov.br
44.193.49.237,access-database.prd.sibbr.gov.br
44.193.49.237,ala-bie.sibbr.gov.br
44.193.49.237,ala-hub.sibbr.gov.br
44.193.49.237,bie-webservice.sibbr.gov.br
44.193.49.237,biocache-service.sibbr.gov.br
44.193.49.237,biocollect.sibbr.gov.br
44.193.49.237,cas5.sibbr.gov.br
44.193.49.237,collectory.sibbr.gov.br
