ip_address,domain
43.230.208.2,pts.drc.gov.bt
43.230.208.2,pts.drc.gov.bt
43.230.208.2,pts.drc.gov.bt
43.230.208.3,dit.gov.bt
43.230.208.3,stg-api.dit.gov.bt
43.230.208.4,dit.gov.bt
43.230.208.4,api.dit.gov.bt
43.230.208.4,sso.dit.gov.bt
43.230.208.3,stg-sso.dit.gov.bt
43.230.208.6,www.moal.gov.bt
43.230.208.6,moal.gov.bt
43.230.208.6,moal.gov.bt
43.230.208.6,www.moal.gov.bt
43.230.208.6,moal.gov.bt
43.230.208.6,moal.gov.bt
43.230.208.6,www.moal.gov.bt
43.230.208.7,dit.gov.bt
43.230.208.7,ojs.moal.gov.bt
43.230.208.7,ojs.moal.gov.bt
43.230.208.7,ojs.moal.gov.bt
43.230.208.7,ojs.moal.gov.bt
43.230.208.9,bumthang.gov.bt
43.230.208.9,www.bumthang.gov.bt
43.230.208.9,chhukha.gov.bt
43.230.208.9,www.chhukha.gov.bt
43.230.208.9,dagana.gov.bt
43.230.208.9,www.dagana.gov.bt
43.230.208.9,gasa.gov.bt
43.230.208.9,haa.gov.bt
43.230.208.9,www.haa.gov.bt
43.230.208.9,lhuentse.gov.bt
43.230.208.9,www.lhuentse.gov.bt
43.230.208.9,www.mongar.gov.bt
43.230.208.9,www.gasa.gov.bt
43.230.208.9,paro.gov.bt
43.230.208.9,www.paro.gov.bt
43.230.208.9,pemagatshel.gov.bt
43.230.208.9,www.pemagatshel.gov.bt
43.230.208.9,www.punakha.gov.bt
43.230.208.9,www.samdrupjongkhar.gov.bt
43.230.208.9,samdrupjongkhar.gov.bt
43.230.208.9,samtse.gov.bt
43.230.208.9,www.samtse.gov.bt
43.230.208.9,www.sarpang.gov.bt
43.230.208.9,mongar.gov.bt
43.230.208.9,sjthromde.gov.bt
43.230.208.9,www.sjthromde.gov.bt
43.230.208.9,thimphu.gov.bt
43.230.208.9,www.thimphu.gov.bt
43.230.208.9,trashigang.gov.bt
43.230.208.9,www.trashigang.gov.bt
43.230.208.9,trashiyangtse.gov.bt
43.230.208.9,www.trashiyangtse.gov.bt
43.230.208.9,trongsa.gov.bt
43.230.208.9,www.trongsa.gov.bt
43.230.208.9,tsirang.gov.bt
43.230.208.9,www.tsirang.gov.bt
43.230.208.9,wangduephodrang.gov.bt
43.230.208.9,www.wangduephodrang.gov.bt
43.230.208.9,www.zhemgang.gov.bt
43.230.208.9,zhemgang.gov.bt
43.230.208.9,www.trashiyangtse.gov.bt
43.230.208.10,mof.gov.bt
43.230.208.10,www.mof.gov.bt
43.230.208.10,mof.gov.bt
43.230.208.10,www.mof.gov.bt
43.230.208.10,www.mof.gov.bt
43.230.208.12,dzongkha.gov.bt
43.230.208.12,dzongkha.gov.bt
43.230.208.12,www.dzongkha.gov.bt
43.230.208.12,dzongkha.gov.bt
43.230.208.12,www.dzongkha.gov.bt
43.230.208.12,www.dzongkha.gov.bt
43.230.208.13,www.health.gov.bt
43.230.208.13,moh.gov.bt
43.230.208.13,www.moh.gov.bt
43.230.208.13,www.health.gov.bt
43.230.208.14,www.cabinet.gov.bt
43.230.208.14,cabinet.gov.bt
43.230.208.14,www.cabinet.gov.bt
43.230.208.14,cabinet.gov.bt
43.230.208.14,www.cabinet.gov.bt
43.230.208.14,www.cabinet.gov.bt
43.230.208.15,www.mfa.gov.bt
43.230.208.15,mfa.gov.bt
43.230.208.15,mfa.gov.bt
43.230.208.15,www.mfa.gov.bt
43.230.208.15,www.mfa.gov.bt
43.230.208.16,www.ncwc.gov.bt
43.230.208.16,ncwc.gov.bt
43.230.208.16,ncwc.gov.bt
43.230.208.16,www.ncwc.gov.bt
43.230.208.16,ncwc.gov.bt
43.230.208.16,www.ncwc.gov.bt
43.230.208.16,www.ncwc.gov.bt
43.230.208.18,moic.gov.bt
43.230.208.18,www.moic.gov.bt
43.230.208.18,www.moic.gov.bt
43.230.208.19,www.doat.gov.bt
43.230.208.19,doat.gov.bt
43.230.208.19,www.doat.gov.bt
43.230.208.19,www.doat.gov.bt
43.230.208.19,www.doat.gov.bt
43.230.208.20,doim.gov.bt
43.230.208.20,www.doim.gov.bt
43.230.208.20,www.doim.gov.bt
43.230.208.21,bcta.gov.bt
43.230.208.21,www.bcta.gov.bt
43.230.208.21,bcta.gov.bt
43.230.208.21,www.bcta.gov.bt
43.230.208.21,www.rsta.gov.bt
43.230.208.21,bcta.gov.bt
43.230.208.21,www.bcta.gov.bt
43.230.208.21,www.rsta.gov.bt
43.230.208.22,carlep.gov.bt
43.230.208.22,www.carlep.gov.bt
43.230.208.22,carlep.gov.bt
43.230.208.22,www.carlep.gov.bt
43.230.208.22,carlep.gov.bt
43.230.208.22,www.carlep.gov.bt
43.230.208.23,nec.gov.bt
43.230.208.23,www.nec.gov.bt
43.230.208.23,www.nec.gov.bt
43.230.208.24,jdwnrh.gov.bt
43.230.208.24,www.jdwnrh.gov.bt
43.230.208.24,jdwnrh.gov.bt
43.230.208.24,www.jdwnrh.gov.bt
43.230.208.24,www.jdwnrh.gov.bt
43.230.208.25,oag.gov.bt
43.230.208.25,www.oag.gov.bt
43.230.208.25,oag.gov.bt
43.230.208.25,www.oag.gov.bt
43.230.208.25,oag.gov.bt
43.230.208.25,www.oag.gov.bt
43.230.208.26,www.nab.gov.bt
43.230.208.27,moit.gov.bt
43.230.208.27,www.moit.gov.bt
43.230.208.27,mowhs.gov.bt
43.230.208.27,www.mowhs.gov.bt
43.230.208.27,moit.gov.bt
43.230.208.27,www.moit.gov.bt
43.230.208.27,www.mowhs.gov.bt
43.230.208.28,moha.gov.bt
43.230.208.28,www.moha.gov.bt
43.230.208.28,moha.gov.bt
43.230.208.28,www.mohca.gov.bt
43.230.208.28,www.moha.gov.bt
43.230.208.29,jagger.neyduetewa.gov.bt
43.230.208.30,nvh.gov.bt
43.230.208.30,www.nvh.gov.bt
43.230.208.30,www.nvh.gov.bt
43.230.208.30,www.nvh.gov.bt
43.230.208.30,nvh.gov.bt
43.230.208.30,nvh.gov.bt
43.230.208.31,www.bcaa.gov.bt
43.230.208.31,bcaa.gov.bt
43.230.208.31,bcaa.gov.bt
43.230.208.31,www.bcaa.gov.bt
43.230.208.31,www.bcaa.gov.bt
43.230.208.32,ipbhutan.gov.bt
43.230.208.32,online.ipbhutan.gov.bt
43.230.208.32,www.ipbhutan.gov.bt
43.230.208.32,online.ipbhutan.gov.bt
43.230.208.30,www.nvh.gov.bt
43.230.208.34,pdms.gov.bt
43.230.208.34,www.pdms.gov.bt
43.230.208.34,pdms.gov.bt
43.230.208.34,www.pdms.gov.bt
43.230.208.34,pdms.gov.bt
43.230.208.34,www.pdms.gov.bt
43.230.208.35,www.ais.gov.bt
43.230.208.35,www.ais.gov.bt
43.230.208.36,oldfirms.dofps.gov.bt
43.230.208.36,oldfirms.dofps.gov.bt
43.230.208.37,bolts.nlcs.gov.bt
43.230.208.38,dl.gov.bt
43.230.208.38,www.dl.gov.bt
43.230.208.38,www.dl.gov.bt
43.230.208.38,www.dl.gov.bt
43.230.208.39,ncoa.gov.bt
43.230.208.39,www.ncoa.gov.bt
43.230.208.39,www.ncoa.gov.bt
43.230.208.39,ncoa.gov.bt
43.230.208.39,ncoa.gov.bt
43.230.208.39,www.ncoa.gov.bt
43.230.208.41,rcsc.gov.bt
43.230.208.41,www.rcsc.gov.bt
43.230.208.41,www.rcsc.gov.bt
43.230.208.41,rcsc.gov.bt
43.230.208.41,www.rcsc.gov.bt
43.230.208.42,online.ipbhutan.gov.bt
43.230.208.49,lms.tech.gov.bt
43.230.208.49,lms.tech.gov.bt
43.230.208.49,lms.tech.gov.bt
43.230.208.51,api.nlcs.gov.bt
43.230.208.51,esakorv1.nlcs.gov.bt
43.230.208.51,sep.nlcs.gov.bt
43.230.208.51,flb.nlcs.gov.bt
43.230.208.51,wa.nlcs.gov.bt
43.230.208.51,www.nlcs.gov.bt
43.230.208.51,bolts.nlcs.gov.bt
43.230.208.51,cloud.nlcs.gov.bt
43.230.208.51,esakor.nlcs.gov.bt
43.230.208.51,esakorv1.nlcs.gov.bt
43.230.208.51,my.nlcs.gov.bt
43.230.208.51,ncrp.nlcs.gov.bt
43.230.208.51,nlcs.gov.bt
43.230.208.51,sep.nlcs.gov.bt
43.230.208.51,training.nlcs.gov.bt
43.230.208.51,urban.nlcs.gov.bt
43.230.208.51,wa.nlcs.gov.bt
43.230.208.51,www.nlcs.gov.bt
43.230.208.51,api.nlcs.gov.bt
43.230.208.51,esakorv1.nlcs.gov.bt
43.230.208.51,flb.nlcs.gov.bt
43.230.208.51,nlcs.gov.bt
43.230.208.51,sep.nlcs.gov.bt
43.230.208.52,dol.gov.bt
43.230.208.52,www.dol.gov.bt
43.230.208.52,dol.gov.bt
43.230.208.52,www.dol.gov.bt
43.230.208.52,dol.gov.bt
43.230.208.52,www.dol.gov.bt
