ip_address,domain
44.198.176.192,1gov-accesschannels.gov.bw
44.198.176.192,1gov.gov.bw
44.198.176.192,gov.bw
44.201.6.110,accdev.gov.bw
44.201.6.110,accdev.gov.bw
41.79.139.213,STB01SW01EXEDGE.statistics.gov.bw
87.106.101.68,www.police.gov.bw
87.106.101.68,www.police.gov.bw
108.178.10.226,www.cdc.gov.bw
108.178.10.226,www.stc.gov.bw
108.178.10.226,www.stc.gov.bw
66.147.238.20,www.jtc.gov.bw
54.85.195.137,nowtv.gov.bw
168.167.72.72,www.training.cra.gov.bw
168.167.72.72,cra.gov.bw
168.167.72.72,training.cra.gov.bw
168.167.72.72,www.cra.gov.bw
168.167.72.72,www.training.cra.gov.bw
168.167.72.72,rims.gov.bw
168.167.72.72,training.rims.gov.bw
168.167.72.72,www.rims.gov.bw
168.167.72.72,www.training.rims.gov.bw
168.167.72.78,idverification-acc.gov.bw
168.167.72.79,pslregistration.gov.bw
168.167.72.79,gov.bw
168.167.72.79,server.gov.bw
168.167.72.86,cms.gov.bw
168.167.72.79,pslregistration.gov.bw
168.167.72.86,gov.bw
168.167.72.88,gov.bw
168.167.72.88,lands.gov.bw
168.167.72.88,lands.gov.bw
168.167.72.89,lands-acc.gov.bw
168.167.72.89,gov.bw
168.167.72.89,landscb-acc.gov.bw
168.167.72.89,landscb-acc.gov.bw
168.167.72.97,rts-app.gov.bw
168.167.72.101,cms.gov.bw
168.167.72.97,gov.bw
168.167.72.101,gov.bw
168.167.72.116,dhis.tsogojwame.gov.bw
168.167.72.116,tsogojwame.gov.bw
168.167.72.116,tsogojwame.gov.bw
168.167.72.116,tsogojwame.gov.bw
168.167.72.120,cms.gov.bw
168.167.72.120,gov.bw
168.167.72.126,cms.gov.bw
168.167.72.126,gov.bw
168.167.72.131,gitlab.gov.bw
168.167.72.131,gitlab.gov.bw
168.167.72.135,gov.bw
168.167.72.135,registry.gov.bw
168.167.72.148,assets-test.gov.bw
168.167.72.151,social-support-acc.gov.bw
168.167.72.151,gov.bw
168.167.72.158,1gov-dev-gateway-acc.gov.bw
168.167.72.160,1gov-dev-gateway.gov.bw
168.167.72.160,1gov-dev-gateway.gov.bw
168.167.72.160,1gov-dev-gateway.gov.bw
168.167.72.163,gov.bw
168.167.72.163,jenkins.gov.bw
168.167.72.163,jenkins.gov.bw
168.167.72.168,crmportal.gov.bw
168.167.72.168,crmportal.gov.bw
168.167.72.170,cms.gov.bw
168.167.72.170,gov.bw
168.167.72.174,1gov-ext-gateway-acc.gov.bw
168.167.72.174,1gov-iam-acc.gov.bw
168.167.72.174,1gov-iam-acc.gov.bw
168.167.72.174,gateway-cus-acc.gov.bw
168.167.72.174,gateway-ext-acc.gov.bw
