ip_address,domain
93.84.83.40,institut.sudexpert.gov.by
93.84.112.221,portal.gov.by
93.84.114.18,minedu.gov.by
93.85.84.121,mail.dyatlovo.gov.by
93.85.84.121,mail.grodno-region.gov.by
93.85.84.121,map.grodno-region.gov.by
93.85.84.121,mail.ostrovets.gov.by
93.85.84.178,db.minsk.gov.by
93.85.84.178,minsk.gov.by
93.85.84.179,gov.minsk.gov.by
93.85.84.179,intm.minsk.gov.by
93.85.84.179,minsk.gov.by
93.85.84.179,minsk.gov.by
93.125.21.131,brest.ssf.gov.by
93.125.21.131,gomel.ssf.gov.by
93.125.21.131,grodno.ssf.gov.by
93.125.21.131,mail.ssf.gov.by
93.125.21.131,minsk.ssf.gov.by
93.125.21.131,minskreg.ssf.gov.by
93.125.21.131,mogilev.ssf.gov.by
93.125.21.131,nserv.ssf.gov.by
93.125.21.131,vitebsk.ssf.gov.by
93.125.21.131,minskreg.ssf.gov.by
93.125.21.140,remote.ssf.gov.by
93.125.22.10,portal.ssf.gov.by
93.125.22.10,portal2.ssf.gov.by
93.125.22.10,portal2osz.ssf.gov.by
93.125.22.36,ushachi.vitebsk-region.gov.by
93.125.22.63,medportal.grodnouzo.gov.by
93.125.22.63,inf.sch27.lengrodno.gov.by
93.125.22.63,museum.gymn5.lengrodno.gov.by
93.125.22.63,muz.sch27.lengrodno.gov.by
93.125.22.63,tourism.logoysk-edu.gov.by
93.125.22.63,ecolab.minskedu.gov.by
93.125.22.63,fkiz.sch223.minskedu.gov.by
93.125.22.63,ideolog.ddu2.minskedu.gov.by
93.125.22.63,ideolog.ddu566.minskedu.gov.by
93.125.22.63,ideologue.sch182.minskedu.gov.by
93.125.22.63,imk.ddu2.minskedu.gov.by
93.125.22.63,imk.ddu239.minskedu.gov.by
93.125.22.63,libraryworld.sch182.minskedu.gov.by
93.125.22.63,mp-parue.minskedu.gov.by
93.125.22.63,olimp.sch182.minskedu.gov.by
93.125.22.63,pioner.parctdm.minskedu.gov.by
93.125.22.63,prof.ddu239.minskedu.gov.by
93.125.22.63,terra-notum.sch223.minskedu.gov.by
93.125.22.63,umk.mayak.minskedu.gov.by
93.125.22.63,vimk.ddu2.minskedu.gov.by
93.125.22.63,virt.gymn20.minskedu.gov.by
93.125.22.63,vmk.sch182.minskedu.gov.by
93.125.22.63,energy.sch12.pervroo-vitebsk.gov.by
93.125.22.63,inf.st3.roo-stolin.gov.by
93.125.22.63,du.medno.roobrest.gov.by
93.125.22.63,estet.sch3.rooivacevichi.gov.by
93.125.22.63,primary.sch3.rooivacevichi.gov.by
93.125.22.63,sport.sch3.rooivacevichi.gov.by
93.125.22.63,spps.sch3.rooivacevichi.gov.by
93.125.22.63,tourism.rooivacevichi.gov.by
93.125.22.63,trud.sch3.rooivacevichi.gov.by
93.125.22.63,staskevich.rooivacevichi.gov.by
93.125.22.63,ms.kozlovich.slutsk-vedy.gov.by
93.125.22.63,vesti.slutsk-vedy.gov.by
