ip_address,domain
141.94.199.168,cpanel.uak.ac.cd
141.94.199.168,cpcalendars.uak.ac.cd
141.94.199.168,cpcontacts.uak.ac.cd
141.94.199.168,uak.ac.cd
141.94.199.168,webdisk.uak.ac.cd
34.30.197.197,jitsi.uea.ac.cd
35.90.14.61,unikis.ac.cd
35.90.14.61,www.unikis.ac.cd
44.218.68.110,are.gouv.cd
44.218.68.110,are.gouv.cd
41.60.25.116,dnspub1.unilu.ac.cd
41.60.25.116,uv.unilu.ac.cd
41.60.25.116,www.bib.unilu.ac.cd
41.76.212.160,ambardc-londres.gouv.cd
41.76.212.160,autodiscover.ambardc-londres.gouv.cd
41.76.212.160,cpanel.ambardc-londres.gouv.cd
41.76.212.160,cpcontacts.ambardc-londres.gouv.cd
41.76.212.160,cpcalendars.ambardc-londres.gouv.cd
41.76.212.160,cspp-finances.gouv.cd
41.76.212.160,v2.cspp-finances.gouv.cd
41.76.212.160,webdisk.ambardc-londres.gouv.cd
41.76.212.160,webmail.ambardc-londres.gouv.cd
41.76.212.160,www.dev.cspp-finances.gouv.cd
41.76.212.160,www.v2.cspp-finances.gouv.cd
41.76.212.160,ambardc-londres.gouv.cd
41.76.212.160,cpanel.ambardc-londres.gouv.cd
41.76.212.160,autodiscover.ambardc-londres.gouv.cd
41.76.212.160,cpcalendars.ambardc-londres.gouv.cd
41.76.212.160,cspp-finances.gouv.cd
41.76.212.160,cpcontacts.ambardc-londres.gouv.cd
41.76.212.160,webdisk.ambardc-londres.gouv.cd
41.76.212.160,webmail.ambardc-londres.gouv.cd
41.76.212.160,www.dev.cspp-finances.gouv.cd
41.76.212.160,ambardc-londres.gouv.cd
41.76.212.160,autodiscover.ambardc-londres.gouv.cd
41.76.212.160,cpanel.ambardc-londres.gouv.cd
41.76.212.160,cpcalendars.ambardc-londres.gouv.cd
41.76.212.160,cpcontacts.ambardc-londres.gouv.cd
41.76.212.160,cspp-finances.gouv.cd
41.76.212.160,dev.cspp-finances.gouv.cd
41.76.212.160,experts.cspp-finances.gouv.cd
41.76.212.160,www.dev.cspp-finances.gouv.cd
41.76.212.160,www.experts.cspp-finances.gouv.cd
41.79.233.98,autodiscover.economie.gouv.cd
41.79.233.98,courrier.economie.gouv.cd
41.79.233.98,webmail.economie.gouv.cd
41.79.235.69,cloud-vps.finances.gouv.cd
41.79.235.69,finances.gouv.cd
41.79.235.69,host-1.finances.gouv.cd
41.79.235.69,maj.finances.gouv.cd
41.79.235.69,test.finances.gouv.cd
41.79.235.69,v1.finances.gouv.cd
41.79.235.69,cloud-vps.finances.gouv.cd
41.79.235.69,finances.gouv.cd
41.79.235.69,test.finances.gouv.cd
41.79.235.69,v1.finances.gouv.cd
41.79.235.69,cloud-vps.finances.gouv.cd
41.79.235.69,finances.gouv.cd
41.79.235.69,host-1.finances.gouv.cd
41.79.235.69,v1.finances.gouv.cd
41.79.235.70,admin.cf-finances.cf-finances.gouv.cd
41.79.235.70,admin.cf-finances.gouv.cd
41.79.235.70,armca.gouv.cd
41.79.235.70,cati.gouv.cd
41.79.235.70,cnd-si.gouv.cd
41.79.235.70,client.cf-finances.cf-finances.gouv.cd
41.79.235.70,comco.gouv.cd
41.79.235.70,environnement-rdc.gouv.cd
41.79.235.70,environnement.gouv.cd
41.79.235.70,imnc.gouv.cd
41.79.235.70,industrie.gouv.cd
41.79.235.70,minas.gouv.cd
41.79.235.70,sghydro.gouv.cd
41.79.235.70,rdcpass.gouv.cd
41.79.235.70,sgrrfonctionpublique.gouv.cd
41.79.235.70,isipa.ac.cd
41.79.235.70,und.ac.cd
41.79.235.70,upkan.ac.cd
41.79.235.70,armca.gouv.cd
41.79.235.70,autodiscover.comco.gouv.cd
41.79.235.70,cati.gouv.cd
41.79.235.70,cf-finances.gouv.cd
41.79.235.70,client.cf-finances.cf-finances.gouv.cd
41.79.235.70,comco.gouv.cd
41.79.235.70,cpanel.comco.gouv.cd
41.79.235.70,cnd-si.gouv.cd
41.79.235.70,cpcalendars.comco.gouv.cd
41.79.235.70,cpcontacts.comco.gouv.cd
41.79.235.70,environnement.gouv.cd
41.79.235.70,environnement-rdc.gouv.cd
41.79.235.70,identificationcentrale.gouv.cd
41.79.235.70,immat.gouv.cd
41.79.235.70,imnc.gouv.cd
41.79.235.70,fis.gouv.cd
41.79.235.70,rdcpass.gouv.cd
41.79.235.70,industrie.gouv.cd
41.79.235.70,webdisk.comco.gouv.cd
41.79.235.70,webmail.comco.gouv.cd
41.79.235.70,sgrrfonctionpublique.gouv.cd
41.79.235.70,www.zes.cati.gouv.cd
41.79.235.70,zes.cati.gouv.cd
41.79.235.70,immatriculation.gouv.cd
41.79.235.70,isipa.ac.cd
41.79.235.70,issimatadi.edu.cd
41.79.235.70,umd.ac.cd
41.79.235.70,upkan.ac.cd
41.79.235.73,apps.interieur.gouv.cd
