ip_address,domain
2a00:7ee0:9:3:46:1:0:bf,plan.gouv.cg
2a00:7ee0:9:3:46:1:0:bf,www.dgpd.plan.gouv.cg
2a00:7ee0:9:3:47:1:0:a3,energie-hydraulique.gouv.cg
2a00:7ee0:9:3:58:1:0:355,mines.gouv.cg
87.98.154.146,diplomatie.gouv.cg
87.98.154.146,www.diplomatie.gouv.cg
84.32.84.198,enseignement-technique.gouv.cg
193.203.239.64,communication.gouv.cg
193.203.239.64,communication.gouv.cg
160.113.10.20,finances.gouv.cg
160.113.10.20,finances.gouv.cg
160.113.10.22,impots.gouv.cg
160.113.10.20,ns1.finances.gouv.cg
160.113.10.22,impots.gouv.cg
160.113.10.22,ns2.teleservices.gouv.cg
160.113.10.22,teleservices.gouv.cg
160.113.10.22,www.impots.gouv.cg
160.113.12.83,mangwele.sante.gouv.cg
160.113.12.83,mangwele.sante.gouv.cg
160.113.12.84,kobo.sante.gouv.cg
160.113.12.84,www.ee.kobo.sante.gouv.cg
160.113.12.84,www.kf.kobo.sante.gouv.cg
160.113.12.84,www.kobo.sante.gouv.cg
160.113.12.84,kobo.sante.gouv.cg
160.113.12.84,www.kc.kobo.sante.gouv.cg
160.113.12.84,www.kobo.sante.gouv.cg
88.222.243.16,enseignement-technique.gouv.cg
34.155.85.191,cese.gouv.cg
34.155.85.191,cese.gouv.cg
145.223.37.34,apps.enseignement-technique.gouv.cg
145.223.37.34,enseignement-technique.gouv.cg
145.223.37.34,new.enseignement-technique.gouv.cg
145.223.37.34,apps.enseignement-technique.gouv.cg
145.223.37.34,budgetets.enseignement-technique.gouv.cg
145.223.37.34,new.enseignement-technique.gouv.cg
145.223.37.34,apps.enseignement-technique.gouv.cg
145.223.37.34,enseignement-technique.gouv.cg
169.255.120.218,mail.finances.gouv.cg
169.255.120.218,mail.finances.gouv.cg
169.255.120.218,mail.finances.gouv.cg
169.255.122.180,teleservices.gouv.cg
169.255.122.180,www.teleservices.gouv.cg
169.255.122.181,cg-manifeste.finances.gouv.cg
199.16.130.102,budget.gouv.cg
199.16.130.102,fepac2024.budget.gouv.cg
199.16.130.102,mail.budget.gouv.cg
199.16.130.102,sga-api.budget.gouv.cg
199.16.130.102,v1.budget.gouv.cg
199.16.130.102,wpt-xxg8.199-16-130-102.cprapid.com.budget.gouv.cg
199.16.130.102,www.fepac2024.budget.gouv.cg
199.16.130.102,www.mail.budget.gouv.cg
199.16.130.102,www.sga-api.budget.gouv.cg
199.16.130.102,www.wpt-xxg8.199-16-130-102.cprapid.com.budget.gouv.cg
199.16.130.102,budget.gouv.cg
199.16.130.102,fepac2024.budget.gouv.cg
199.16.130.102,mail.budget.gouv.cg
199.16.130.102,v1.budget.gouv.cg
199.16.130.102,www.fepac2024.budget.gouv.cg
199.16.130.102,www.mail.budget.gouv.cg
199.16.130.102,www.sga-api.budget.gouv.cg
199.16.130.102,sga-api.budget.gouv.cg
199.16.130.102,www.v1.budget.gouv.cg
199.16.130.102,wpt-xxg8.199-16-130-102.cprapid.com.budget.gouv.cg
199.16.130.102,www.wpt-xxg8.199-16-130-102.cprapid.com.budget.gouv.cg
199.16.130.127,agriculture.agriculture.gouv.cg
199.16.130.127,agriculture.gouv.cg
199.16.130.127,mage-agro.agriculture.gouv.cg
199.16.130.127,gfac.agriculture.gouv.cg
199.16.130.127,mail.agriculture.agriculture.gouv.cg
199.16.130.127,mail.agriculture.gouv.cg
199.16.130.127,mail.gfac.agriculture.gouv.cg
199.16.130.127,mail.mage-agro.agriculture.gouv.cg
199.16.130.127,test.agriculture.gouv.cg
199.16.130.127,mail.test.agriculture.gouv.cg
199.16.130.127,agriculture.agriculture.gouv.cg
199.16.130.127,gfac.agriculture.gouv.cg
199.16.130.127,agriculture.gouv.cg
199.16.130.127,mage-agro.agriculture.gouv.cg
199.16.130.127,mail.agriculture.agriculture.gouv.cg
199.16.130.127,mail.agriculture.gouv.cg
199.16.130.127,mail.mage-agro.agriculture.gouv.cg
199.16.130.127,mail.gfac.agriculture.gouv.cg
199.16.130.127,mail.test.agriculture.gouv.cg
199.16.130.127,test.agriculture.gouv.cg
199.16.130.127,mail.agriculture.gouv.cg
199.16.130.127,agriculture.gouv.cg
199.16.130.127,mail.test.agriculture.gouv.cg
199.16.130.127,test.agriculture.gouv.cg
