ip_address,domain
2a00:d70:0:b:2002:0:d91a:3d7d,rapidmapping.admin.ch
2a00:d70:0:b:2002:0:d91a:3d7d,www.rapidmapping.admin.ch
2a00:17c8:0:103::201,account.post.ch
2a00:17c8:0:103::201,n.account.post.ch
2a00:17c8:0:103::201,post.ch
2a00:17c8:0:103::20a,post.ch
2a00:17c8:0:103::20a,www.post.ch
2a00:17c8:0:103::20a,www1.post.ch
2a00:17c8:0:103::20a,www2.post.ch
2a00:17c8:0:103::201,service.post.ch
2a00:17c8:0:103::201,sorry.post.ch
2a00:17c8:0:103::201,swisspost.ch
2a00:17c8:0:103::201,www.swisspost.ch
2a00:17c8::200,dns1.post.ch
2a00:17c8:0:103::201,www.post.ch
2a00:17c8::201,dns2.post.ch
2a00:17c8:0:103::20a,www3.post.ch
2a00:17c8:0:103::211,www1.swisspost.ch
2a00:17c8:0:103::20a,www4.post.ch
2a00:17c8:0:103::211,swisspost.ch
2a00:17c8:0:103::211,www.swisspost.ch
2a00:17c8:0:103::211,www2.swisspost.ch
2a00:17c8:0:8000::200,dns3.post.ch
2a00:17c8:0:8000::201,dns4.post.ch
2a00:17c8:0:8103::200,int.post.ch
2a00:17c8:0:8103::200,int2.post.ch
2a00:17c8:0:8103::200,int1.post.ch
2a00:17c8:0:8103::207,int.swisspost.ch
2a00:17c8:0:8103::207,int1.swisspost.ch
2a00:17c8:0:8103::20f,micrositesint.post.ch
2a00:17c8:0:8103::20f,micrositesint1.post.ch
2a00:17c8:0:8103::20f,micrositesint2.post.ch
2a00:17c8:0:8103::214,sorryint.post.ch
2a00:17c8:0:8103::207,int2.swisspost.ch
35.71.128.90,b2b-mtls.datahub.nivel.bazg.admin.ch
35.71.138.255,b2b-mtls.camiuns-dev.nivel.bazg.admin.ch
35.71.148.119,b2b.via-dev.nivel.bazg.admin.ch
35.71.157.96,b2b.borderguard-dev.nivel.bazg.admin.ch
35.71.191.30,b2b.wvs-abn.nivel.bazg.admin.ch
111.84.161.171,www.dfae.admin.ch
111.84.161.171,www.bundesreisezentrale.admin.ch
111.84.161.171,www.eda.admin.ch
111.84.161.171,www.fdfa.admin.ch
111.84.161.171,www.post2015.admin.ch
111.84.161.171,www.schweizerbeitrag.admin.ch
2a02:26f0:4:18a::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:4:18a::3529,www.dfae.admin.ch
2a02:26f0:4:18a::3529,www.eda.admin.ch
2a02:26f0:4:18a::3529,www.post2015.admin.ch
2a02:26f0:4:18a::3529,www.fdfa.admin.ch
2a02:26f0:4:18a::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:60:282::1c11,ch.ch
2a02:26f0:60:282::1c11,www.ch.ch
2a02:26f0:60:28d::1c11,ch.ch
2a02:26f0:60:28d::1c11,www.ch.ch
2a02:26f0:60:29e::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:60:29e::3529,www.dfae.admin.ch
2a02:26f0:60:29e::3529,www.eda.admin.ch
2a02:26f0:60:29e::3529,www.fdfa.admin.ch
2a02:26f0:60:29e::3529,www.post2015.admin.ch
2a02:26f0:60:29e::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:6b:18a::1c11,www.ch.ch
2a02:26f0:6b:18a::1c11,ch.ch
2a02:26f0:ad:183::1c11,ch.ch
2a02:26f0:ad:183::1c11,www.ch.ch
2a02:26f0:ad:19f::1c11,ch.ch
2a02:26f0:ad:19f::1c11,www.ch.ch
2a02:26f0:d8:385::1c11,ch.ch
2a02:26f0:d8:385::1c11,www.ch.ch
2a02:26f0:d8:388::1c11,ch.ch
2a02:26f0:d8:388::1c11,www.ch.ch
2a02:26f0:dc:2a6::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:dc:2a6::3529,www.eda.admin.ch
2a02:26f0:dc:2a6::3529,www.dfae.admin.ch
2a02:26f0:dc:2a6::3529,www.fdfa.admin.ch
2a02:26f0:dc:2a6::3529,www.post2015.admin.ch
2a02:26f0:dc:2a6::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:dc:2b0::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:dc:2b0::3529,www.dfae.admin.ch
2a02:26f0:dc:2b0::3529,www.eda.admin.ch
2a02:26f0:dc:2b0::3529,www.fdfa.admin.ch
2a02:26f0:dc:2b0::3529,www.post2015.admin.ch
2a02:26f0:dc:2b0::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:e2:185::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:e2:185::3529,www.dfae.admin.ch
2a02:26f0:e2:185::3529,www.eda.admin.ch
2a02:26f0:e2:185::3529,www.fdfa.admin.ch
2a02:26f0:e2:185::3529,www.post2015.admin.ch
2a02:26f0:e2:185::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:e2:195::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:e2:195::3529,www.dfae.admin.ch
2a02:26f0:e2:195::3529,www.eda.admin.ch
2a02:26f0:e2:195::3529,www.fdfa.admin.ch
2a02:26f0:e2:195::3529,www.post2015.admin.ch
2a02:26f0:e2:195::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:e2:197::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:e2:197::3529,www.dfae.admin.ch
2a02:26f0:e2:197::3529,www.eda.admin.ch
2a02:26f0:e2:197::3529,www.fdfa.admin.ch
2a02:26f0:e2:197::3529,www.post2015.admin.ch
2a02:26f0:e2:197::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:f3:18a::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:f3:18a::3529,www.dfae.admin.ch
2a02:26f0:f3:18a::3529,www.eda.admin.ch
2a02:26f0:f3:18a::3529,www.fdfa.admin.ch
2a02:26f0:f3:18a::3529,www.post2015.admin.ch
2a02:26f0:f3:18a::3529,www.schweizerbeitrag.admin.ch
2a02:26f0:11a:180::3529,www.bundesreisezentrale.admin.ch
2a02:26f0:11a:180::3529,www.dfae.admin.ch
2a02:26f0:11a:180::3529,www.eda.admin.ch
2a02:26f0:11a:180::3529,www.fdfa.admin.ch
2a02:26f0:11a:180::3529,www.post2015.admin.ch
