ip_address,domain
43.250.142.50,environment.gov.ck
43.250.142.50,members.environment.gov.ck
43.250.142.50,nesmembers.environment.gov.ck
43.250.142.50,www.nesmembers.environment.gov.ck
43.250.142.50,cpanel.environment.gov.ck
43.250.142.50,cpcalendars.environment.gov.ck
43.250.142.50,cpcontacts.environment.gov.ck
43.250.142.50,environment.gov.ck
43.250.142.50,mail.members.environment.gov.ck
43.250.142.50,mail.environment.gov.ck
43.250.142.50,members.environment.gov.ck
43.250.142.50,webdisk.environment.gov.ck
43.250.142.50,webmail.environment.gov.ck
43.250.142.50,www.nesmembers.environment.gov.ck
43.250.142.50,nesmembers.environment.gov.ck
43.250.142.50,environment.gov.ck
43.250.142.50,members.environment.gov.ck
43.250.142.50,nesmembers.environment.gov.ck
43.250.142.50,www.nesmembers.environment.gov.ck
141.193.213.10,btib.gov.ck
34.70.105.249,mfai.gov.ck
141.193.213.10,btib.gov.ck
141.193.213.11,btib.gov.ck
141.193.213.11,btib.gov.ck
84.32.84.56,health.gov.ck
35.185.225.97,parliament.gov.ck
35.185.225.97,www.parliament.gov.ck
35.185.225.97,parliament.gov.ck
35.185.225.97,www.parliament.gov.ck
35.213.198.55,mocs.gov.ck
35.213.198.55,mocs.gov.ck
35.213.198.55,mocs.gov.ck
66.29.146.125,emci.gov.ck
188.114.96.0,btib.gov.ck
188.114.96.0,www.intaff.gov.ck
188.114.96.0,maraemoana.gov.ck
188.114.96.0,maraemoana.gov.ck
188.114.96.0,ombudsman.gov.ck
35.231.158.222,airport.gov.ck
35.231.158.222,www.airport.gov.ck
35.231.158.222,airport.gov.ck
35.231.158.222,www.airport.gov.ck
35.231.158.222,www.airport.gov.ck
35.231.158.222,airport.gov.ck
188.114.96.1,intaff.gov.ck
188.114.96.1,maraemoana.gov.ck
188.114.96.1,ombudsman.gov.ck
188.114.96.1,www.ombudsman.gov.ck
23.95.116.194,naturalheritage.gov.ck
23.95.116.194,naturalheritage.gov.ck
23.95.116.194,naturalheritage.gov.ck
188.114.96.1,www.ombudsman.gov.ck
188.114.96.1,tmu.gov.ck
66.96.140.136,mx.agriculture.gov.ck
66.96.140.136,mx.met.gov.ck
66.96.140.137,mx.agriculture.gov.ck
66.96.140.137,mx.met.gov.ck
188.114.96.2,intaff.gov.ck
54.79.33.130,fsc.gov.ck
188.114.96.3,btib.gov.ck
188.114.96.3,covid-19.gov.ck
188.114.96.3,covid19.gov.ck
188.114.96.3,covid19.gov.ck
188.114.96.3,www.intaff.gov.ck
188.114.96.3,www.maraemoana.gov.ck
188.114.96.3,maraemoana.gov.ck
188.114.96.3,www.tmu.gov.ck
188.114.96.3,covid-19.gov.ck
188.114.96.3,covid19.gov.ck
188.114.96.3,immigration.gov.ck
188.114.96.3,maraemoana.gov.ck
54.153.196.221,pre.fsc.gov.ck
188.114.96.4,covid19.gov.ck
188.114.96.4,intaff.gov.ck
188.114.96.4,tmu.gov.ck
188.114.96.4,covid-19.gov.ck
188.114.96.5,intaff.gov.ck
188.114.96.5,btib.gov.ck
188.114.96.7,covid19.gov.ck
188.114.96.7,covid19.gov.ck
188.114.96.7,ombudsman.gov.ck
210.7.14.249,api.mfai.gov.ck
210.7.14.249,apitt.mfai.gov.ck
210.7.14.249,asypx.mfai.gov.ck
210.7.14.249,asypxtt.mfai.gov.ck
210.7.14.249,sso.mfai.gov.ck
210.7.14.249,ssott.mfai.gov.ck
210.7.14.249,api.mfai.gov.ck
210.7.14.249,asypx.mfai.gov.ck
210.7.14.249,sso.mfai.gov.ck
210.7.14.249,api.mfai.gov.ck
210.7.14.249,apitt.mfai.gov.ck
210.7.14.249,asypx.mfai.gov.ck
210.7.14.249,sso.mfai.gov.ck
210.7.14.249,asypxtt.mfai.gov.ck
210.7.14.249,ssott.mfai.gov.ck
188.114.96.8,intaff.gov.ck
54.206.93.9,cookislandslaws.gov.ck
54.206.206.255,cookislandslaws.gov.ck
54.206.206.255,www.cookislandslaws.gov.ck
188.114.96.8,intaff.gov.ck
188.114.96.9,covid19.gov.ck
188.114.96.9,tmu.gov.ck
188.114.96.10,tmu.gov.ck
188.114.96.11,covid-19.gov.ck
188.114.96.11,www.intaff.gov.ck
188.114.96.11,maraemoana.gov.ck
188.114.96.11,tmu.gov.ck
188.114.96.11,covid-19.gov.ck
188.114.96.12,ombudsman.gov.ck
65.60.9.2,cookislandsaudit.gov.ck
65.60.9.2,cookislandsaudit.gov.ck
2.57.91.139,health.gov.ck
188.114.97.0,btib.gov.ck
188.114.97.0,www.intaff.gov.ck
188.114.97.0,maraemoana.gov.ck
188.114.97.0,maraemoana.gov.ck
188.114.97.0,ombudsman.gov.ck
188.114.97.1,intaff.gov.ck
188.114.97.1,maraemoana.gov.ck
188.114.97.1,www.ombudsman.gov.ck
188.114.97.1,ombudsman.gov.ck
54.252.214.96,fsc.gov.ck
54.253.3.69,justice.gov.ck
54.253.3.69,www.justice.gov.ck
54.253.3.69,justice.gov.ck
54.253.3.69,www.justice.gov.ck
54.253.3.69,justice.gov.ck
54.253.3.69,www.justice.gov.ck
188.114.97.1,www.ombudsman.gov.ck
188.114.97.1,tmu.gov.ck
188.114.97.2,intaff.gov.ck
52.65.7.182,cookislandslaws.gov.ck
52.65.7.182,www.cookislandslaws.gov.ck
52.65.44.224,cookislandslaws.gov.ck
52.65.44.224,www.cookislandslaws.gov.ck
52.65.53.205,cookislandslaws.gov.ck
52.65.53.205,www.cookislandslaws.gov.ck
52.65.161.217,met.gov.ck
52.65.161.217,www.met.gov.ck
52.65.161.217,met.gov.ck
52.65.161.217,www.met.gov.ck
188.114.97.3,btib.gov.ck
188.114.97.3,covid19.gov.ck
188.114.97.3,covid-19.gov.ck
188.114.97.3,covid19.gov.ck
188.114.97.3,www.intaff.gov.ck
188.114.97.3,www.maraemoana.gov.ck
188.114.97.3,maraemoana.gov.ck
188.114.97.3,www.tmu.gov.ck
188.114.97.3,covid-19.gov.ck
188.114.97.3,covid19.gov.ck
188.114.97.3,immigration.gov.ck
188.114.97.3,maraemoana.gov.ck
188.114.97.4,intaff.gov.ck
188.114.97.4,covid19.gov.ck
188.114.97.4,tmu.gov.ck
188.114.97.4,covid-19.gov.ck
188.114.97.5,btib.gov.ck
188.114.97.5,intaff.gov.ck
13.70.109.20,www.fsc.gov.ck
13.70.109.20,www.fsc.gov.ck
13.70.109.20,www.fsc.gov.ck
118.139.186.1,auditoffice.gov.ck
118.139.186.1,www.auditoffice.gov.ck
188.114.97.7,covid19.gov.ck
188.114.97.7,covid19.gov.ck
188.114.97.7,ombudsman.gov.ck
13.210.28.174,submit.health.gov.ck
13.210.127.74,fsc.gov.ck
188.114.97.8,intaff.gov.ck
188.114.97.8,intaff.gov.ck
188.114.97.9,covid19.gov.ck
188.114.97.9,tmu.gov.ck
188.114.97.10,tmu.gov.ck
188.114.97.11,covid-19.gov.ck
188.114.97.11,www.intaff.gov.ck
188.114.97.11,maraemoana.gov.ck
188.114.97.11,tmu.gov.ck
208.91.112.55,cpanel.emci.gov.ck
188.114.97.11,covid-19.gov.ck
188.114.97.12,ombudsman.gov.ck
188.114.98.224,mfai.gov.ck
