ip_address,domain
41.204.84.131,dad.minepat.gov.cm
41.204.94.155,minepded.gov.cm
41.204.94.155,webmail.minepded.gov.cm
41.204.94.155,bourse-des-dechets.minepded.gov.cm
41.204.94.155,webmail.minepded.gov.cm
41.204.94.156,mail.minep.gov.cm
41.204.94.156,mail.minep.gov.cm
41.204.94.155,webmail.minepded.gov.cm
41.204.94.157,minep.gov.cm
41.204.94.157,bourse-des-dechets.minepded.gov.cm
41.204.94.157,minepded.gov.cm
41.204.94.157,bourse-des-dechets.minepded.gov.cm
41.204.94.157,minepded.gov.cm
41.204.94.157,webmail.minepded.gov.cm
41.204.94.226,mintoul.gov.cm
41.204.94.226,www.mintoul.gov.cm
41.204.94.226,mail.mintour.gov.cm
41.204.94.226,mail.mintour.gov.cm
197.159.0.211,minddevel.gov.cm
197.159.0.211,minddevel.gov.cm
197.159.0.211,minddevel.gov.cm
197.159.0.214,mail.minddevel.gov.cm
197.159.0.214,mail.minddevel.gov.cm
197.159.2.130,minhdu.gov.cm
197.159.2.130,mfoundi.minhdu.gov.cm
197.159.2.130,www.minhdu.gov.cm
197.159.3.34,minjustice.gov.cm
197.159.3.36,svrmail.minjustice.gov.cm
197.159.3.43,mint.gov.cm
197.159.3.46,mail.mint.gov.cm
197.159.3.46,mail.mint.gov.cm
199.188.204.229,mail.minmidt.gov.cm
91.121.64.167,travauxpublics-serv.travauxpublics.gov.cm
91.121.64.167,travauxpublics.gov.cm
129.0.121.43,minproff.gov.cm
188.165.151.163,clonecpanel.minesup.gov.cm
188.165.151.163,minesup.gov.cm
162.210.96.116,ecommerce.gov.cm
162.210.96.116,systra.gov.cm
91.234.195.40,minjec.gov.cm
91.234.195.40,minjec.gov.cm
91.234.195.40,minjec.gov.cm
185.24.203.49,minjeun-web.minjeun.gov.cm
165.210.32.57,minat.gov.cm
165.210.32.57,minat.gov.cm
165.210.32.138,mail.minesec.gov.cm
165.210.32.138,minesec.gov.cm
165.210.32.138,mail.minesec.gov.cm
165.210.32.138,mail.minesec.gov.cm
165.210.32.139,minesec.gov.cm
165.210.32.139,files.minesec.gov.cm
165.210.32.139,rh.minesec.gov.cm
165.210.32.139,services.minesec.gov.cm
165.210.32.139,www.minesec.gov.cm
165.210.32.139,minesec.gov.cm
165.210.32.139,minesec.gov.cm
165.210.32.139,rh.minesec.gov.cm
165.210.32.139,files.minesec.gov.cm
165.210.32.139,services.minesec.gov.cm
165.210.32.139,www.minesec.gov.cm
165.210.32.140,minesec.gov.cm
165.210.32.140,vod.minesec.gov.cm
165.210.33.60,mail.minac.gov.cm
165.210.33.60,minac.gov.cm
165.210.33.60,mail.minac.gov.cm
165.210.33.60,minac.gov.cm
165.210.33.73,mindcaf.gov.cm
165.210.33.73,mindcaf.gov.cm
165.210.33.192,minat-serv.minat.gov.cm
165.210.33.192,minat.gov.cm
165.210.33.192,mincommerce.gov.cm
165.210.33.192,mincommerce.gov.cm
165.210.33.192,minresi.gov.cm
165.210.33.192,minresi.gov.cm
165.210.33.192,minat-serv.minat.gov.cm
165.210.33.192,mincommerce.gov.cm
165.210.33.192,minat.gov.cm
165.210.33.192,minresi.gov.cm
165.211.16.42,portailaigles.gov.cm
165.211.16.50,support.aigles.gov.cm
165.211.16.50,supportaigles.gov.cm
165.211.16.50,support.aigles.gov.cm
165.211.16.50,workspace.minfopra.gov.cm
165.211.16.190,divcoop.mindef.gov.cm
165.211.16.190,video-gec-divcoop.mindef.gov.cm
165.211.21.54,aigles.gov.cm
165.211.21.54,mail.aigles.gov.cm
165.211.21.54,portail.aigles.gov.cm
165.211.21.54,svrmail.aigles.gov.cm
104.196.5.89,abs-cameroon.minepded.gov.cm
89.116.147.151,meteocameroon.gov.cm
89.116.147.151,meteocameroon.gov.cm
173.254.24.13,cnc.gov.cm
173.254.24.13,mail.cnc.gov.cm
173.254.24.13,cnc.gov.cm
173.254.24.13,mail.cnc.gov.cm
173.254.24.13,cnc.gov.cm
173.254.24.13,mail.cnc.gov.cm
173.254.25.235,cnc.gov.cm
195.24.195.2,autodiscover.minpostel.gov.cm
195.24.195.2,mail.minpostel.gov.cm
195.24.195.2,miambo.minpostel.gov.cm
195.24.195.2,minpostel.gov.cm
195.24.195.2,perso.minpostel.gov.cm
195.24.195.3,tcp.minpostel.gov.cm
195.24.195.2,www.minpostel.gov.cm
195.24.195.6,Exch2010.minpostel.gov.cm
195.24.195.6,exch2010.minpostel.gov.cm
195.24.195.6,minpostel.gov.cm
195.24.195.6,minpostel.gov.cm
195.24.196.81,nyong.mincom.gov.cm
195.24.196.81,nyong.mincom.gov.cm
195.24.196.91,lobo.mincom.gov.cm
195.24.196.91,lobo.mincom.gov.cm
