ip_address,domain
111.0.31.115,jxhqydgl.ybj.jinhua.gov.cn
111.1.6.195,tzwqb.gov.cn
111.1.6.195,www.tzlgb.gov.cn
111.1.6.195,tzlgb.gov.cn
111.1.6.195,www.tzwqb.gov.cn
111.1.6.195,tzwjjq.gov.cn
111.1.25.10,tzkcsjts.jsj.zjtz.gov.cn
111.1.25.28,zjtz.gov.cn
111.1.29.38,bmxt.zjjxedu.gov.cn
111.1.29.27,www.jiaxing.jcy.gov.cn
111.1.29.7,jw.nanhu.gov.cn
111.1.29.38,zscx.zjjxedu.gov.cn
111.1.29.68,xczph.rlsbj.jiaxing.gov.cn
111.1.29.7,jw.nanhu.gov.cn
111.1.29.10,www.zjjxedu.gov.cn
111.1.29.136,whgdlyj3.jiaxing.gov.cn
111.1.29.87,gqzhcg.jxgq.jiaxing.gov.cn
111.1.29.87,gqzhcg.jxgq.jiaxing.gov.cn
111.1.29.92,www.txwhlt.gov.cn
111.1.29.163,jpcourse.zjjxedu.gov.cn
111.1.29.163,taskapi.zjjxedu.gov.cn
111.1.29.163,taskcenter.zjjxedu.gov.cn
111.1.29.163,taskmanage.zjjxedu.gov.cn
111.1.29.163,taskpc.zjjxedu.gov.cn
111.1.29.163,taskwap.zjjxedu.gov.cn
111.1.29.163,jpcourse.zjjxedu.gov.cn
111.1.29.214,xbwsbsdt.xiuzhou.gov.cn
111.1.30.1,zhzfj4.jiaxing.gov.cn
111.1.30.46,phxptztb.pinghu.gov.cn
111.1.30.83,ztb.jxgq.jiaxing.gov.cn
111.1.30.83,ztbbzj.jxgq.jiaxing.gov.cn
111.1.30.83,ztbczj.jxgq.jiaxing.gov.cn
111.1.30.157,gzzs.zjjxedu.gov.cn
111.1.30.157,gzzs.zjjxedu.gov.cn
111.1.32.28,css.zjport.gov.cn
111.1.32.28,dubai.zjport.gov.cn
111.1.32.28,image.zjport.gov.cn
111.1.32.28,jmt.zjport.gov.cn
111.1.32.28,ssz.zjport.gov.cn
111.1.30.99,www.txsjw.gov.cn
111.1.30.109,xzqjczzjsc.xiuzhou.gov.cn
111.1.30.110,njzl.haining.gov.cn
111.1.30.110,nyoa.haining.gov.cn
