ip_address,domain
44.192.111.6,vpn.dev.cartagena.gov.co
44.193.38.177,emergenciaclimatica.gov.co
44.193.71.75,sigab.gov.co
44.193.77.20,prueba.repositorio.banrep.gov.co
44.193.111.148,www.reportes.conalpe.gov.co
44.193.115.82,saludpasto.gov.co
44.193.115.82,www.saludpasto.gov.co
44.193.115.82,saludpasto.gov.co
44.193.115.82,www.saludpasto.gov.co
44.193.115.82,saludpasto.gov.co
44.193.115.82,www.saludpasto.gov.co
44.193.126.244,emergenciaclimatica.gov.co
44.193.147.31,apps.valormas.gov.co
44.193.156.116,rap-pacifico.gov.co
44.193.156.116,www.rap-pacifico.gov.co
44.193.156.116,rap-pacifico.gov.co
34.8.22.194,alejandria.dev.cnmh.gov.co
34.8.22.194,alejandria.dev.cnmh.gov.co
44.193.192.73,back.evaluacion.rtvc.gov.co
44.193.209.185,id.pasto.gov.co
44.193.209.185,www.id.pasto.gov.co
44.194.10.125,sigab.gov.co
44.194.10.125,www.sigab.gov.co
44.194.94.167,sgc.gov.co
44.194.94.167,saeadmin.sgc.gov.co
44.194.94.167,saeadmin.sgc.gov.co
44.194.104.232,back.evaluacion.rtvc.gov.co
34.8.73.85,modelos.mintic.gov.co
34.8.73.85,modelos.mintic.gov.co
190.0.2.38,mail.enviaseo.gov.co
190.0.2.38,mail.evas.gov.co
190.0.2.38,mail.evas.gov.co
190.0.2.61,medellin.gov.co
190.0.2.62,medellin.gov.co
34.8.83.73,dev.atlas.mindefensa.gov.co
34.8.83.73,dev.atlas.mindefensa.gov.co
34.8.83.73,dev.atlas.mindefensa.gov.co
190.0.7.86,homo.gov.co
190.0.7.86,homo.gov.co
190.0.8.38,banca.copacabana.gov.co
190.0.15.50,mail.laestrella.gov.co
34.8.87.246,bi-reports.prod.sgdea.mindefensa.gov.co
34.8.87.246,dashboard.prod.sgdea.mindefensa.gov.co
34.8.87.246,mas.prod.sgdea.mindefensa.gov.co
34.8.87.246,hub.prod.sgdea.mindefensa.gov.co
34.8.87.246,mastv.prod.sgdea.mindefensa.gov.co
34.8.87.246,encuestamas.prod.sgdea.mindefensa.gov.co
34.8.87.246,procesox.prod.sgdea.mindefensa.gov.co
34.8.87.246,procesoxv2.prod.sgdea.mindefensa.gov.co
34.8.87.246,procesoxvirtualoffice.prod.sgdea.mindefensa.gov.co
34.8.87.246,prod.sgdea.mindefensa.gov.co
34.8.87.246,sgdea-integration-services.prod.sgdea.mindefensa.gov.co
34.8.87.246,sgdea.mindefensa.gov.co
34.8.87.246,signax.prod.sgdea.mindefensa.gov.co
34.8.87.246,viewer.prod.sgdea.mindefensa.gov.co
34.8.87.246,dashboard.prod.sgdea.mindefensa.gov.co
34.8.87.246,encuestamas.prod.sgdea.mindefensa.gov.co
34.8.87.246,hub.prod.sgdea.mindefensa.gov.co
34.8.87.246,archivox.prod.sgdea.mindefensa.gov.co
34.8.87.246,mas.prod.sgdea.mindefensa.gov.co
34.8.87.246,mastv.prod.sgdea.mindefensa.gov.co
34.8.87.246,procesoxv2.prod.sgdea.mindefensa.gov.co
34.8.87.246,procesox.prod.sgdea.mindefensa.gov.co
34.8.87.246,procesoxvirtualoffice.prod.sgdea.mindefensa.gov.co
34.8.87.246,prod.sgdea.mindefensa.gov.co
34.8.87.246,sedeelectronica.mindefensa.gov.co
34.8.87.246,sgdea-integration-services.prod.sgdea.mindefensa.gov.co
34.8.87.246,sgdea.mindefensa.gov.co
34.8.87.246,viewer.prod.sgdea.mindefensa.gov.co
34.8.87.246,signax.prod.sgdea.mindefensa.gov.co
34.8.87.246,virtualoffice.prod.sgdea.mindefensa.gov.co
44.194.169.116,pensionesdeantioquia.gov.co
190.0.23.193,hospitalelsantuario.gov.co
190.0.23.194,correo.hospitalelsantuario.gov.co
190.0.23.195,hospitalelsantuario.gov.co
190.0.23.196,hospitalelsantuario.gov.co
190.0.23.197,hospitalelsantuario.gov.co
190.0.23.198,hospitalelsantuario.gov.co
190.0.34.154,correo.isvimed.gov.co
190.0.34.154,correo.isvimed.gov.co
190.0.35.94,mail.envicarnicos.gov.co
190.0.37.226,mail.santamargarita.gov.co
190.0.38.62,mail.hgmm.gov.co
190.0.38.170,imagenologia.hgm.gov.co
190.0.38.170,mail.hgm.gov.co
190.0.45.50,correo.metroparques.gov.co
190.0.45.50,felectronica.metroparques.gov.co
190.0.45.50,www.correo.metroparques.gov.co
190.0.45.50,webmail.metroparques.gov.co
190.0.45.50,correo.metroparques.gov.co
190.0.45.50,certificados.metroparques.gov.co
190.0.46.54,mail.eeppdelaceja.gov.co
190.0.47.242,auth.bibliotecasmedellin.gov.co
190.0.61.202,pqrsdfadmiarchi.corpocaldas.gov.co
190.0.62.182,correo.eso.gov.co
190.0.62.182,correo.c-rionegro.gov.co
44.195.13.228,fac.mil.co
34.8.130.179,elearning.cancilleria.gov.co
34.8.130.179,elearning.cancilleria.gov.co
34.8.130.255,dev.modelos.mintic.gov.co
34.8.130.255,dev.modelos.mintic.gov.co
44.195.50.220,cosmoteca.gov.co
44.195.50.220,test.cosmoteca.gov.co
44.195.50.220,www.cosmoteca.gov.co
44.195.95.177,r3047.dssa.gov.co
34.8.140.147,cpanel.fondoadaptacion.gov.co
34.8.140.147,cpanel.fondoadaptacion.gov.co
44.195.105.192,firmas.madridcundinamarca.gov.co
44.195.105.192,firmas.madridcundinamarca.gov.co
44.195.105.192,firmas.madridcundinamarca.gov.co
190.0.241.34,app.ifc.gov.co
190.0.241.34,app-sta.ifc.gov.co
190.0.241.34,api.ifc.gov.co
190.0.241.34,app-sta.ifc.gov.co
190.0.241.34,app.ifc.gov.co
190.0.241.34,app-sta.ifc.gov.co
190.0.241.35,api-sta.ifc.gov.co
190.0.241.34,app.ifc.gov.co
190.0.241.35,api.ifc.gov.co
190.0.241.35,dev-api.ifc.gov.co
190.0.241.35,api-sta.ifc.gov.co
190.0.241.35,api-sta.ifc.gov.co
190.0.241.35,api.ifc.gov.co
