ip_address,domain
190.6.66.194,mx20.presidencia.gob.cu
190.6.66.197,mx10.presidencia.gob.cu
190.6.68.4,ns1.minint.gob.cu
190.6.68.8,ns2.minint.gob.cu
190.6.69.178,minjus.gob.cu
190.6.69.178,msp.gob.cu
190.6.69.178,minjus.gob.cu
190.6.69.178,minjus.gob.cu
190.6.69.228,feriarenovables.minem.gob.cu
190.6.69.228,ocem.minem.gob.cu
190.6.69.228,repogeominsal.minem.gob.cu
190.6.69.228,vivo.cipimm.minem.gob.cu
190.6.69.228,feriarenovables.minem.gob.cu
190.6.69.228,ocem.minem.gob.cu
190.6.69.228,repogeominsal.minem.gob.cu
190.6.69.228,vivo.cipimm.minem.gob.cu
190.6.75.194,mx1.mincex.gob.cu
190.6.75.193,conferencia.mincex.gob.cu
190.6.75.194,mx1.mincex.gob.cu
190.6.75.195,mincex.gob.cu
190.6.75.195,ns2.mincex.gob.cu
190.6.75.197,observatorio.mincex.gob.cu
190.6.75.197,observatorio.mincex.gob.cu
190.6.75.197,admin-home.vucecuba.mincex.gob.cu
190.6.75.197,correo.mincex.gob.cu
190.6.78.226,iagric.minag.gob.cu
190.6.78.226,noticias.minag.gob.cu
190.6.78.226,iagric.minag.gob.cu
190.6.78.226,noticias.minag.gob.cu
190.6.78.226,iagric.minag.gob.cu
190.6.78.226,noticias.minag.gob.cu
190.6.78.226,smtp-4.minag.gob.cu
190.6.78.228,ns4.minag.gob.cu
190.6.80.230,cbc.minint.gob.cu
190.6.80.230,cgb.minint.gob.cu
190.6.80.230,diie.minint.gob.cu
190.6.80.230,pnr.minint.gob.cu
190.6.80.230,tgf.minint.gob.cu
190.6.80.230,www.minint.gob.cu
190.6.81.4,conferencias.etecsa.cu
190.6.81.4,conferencias.etecsa.cu
190.6.81.4,conferencias.etecsa.cu
190.6.81.8,www.mes.gob.cu
190.6.81.8,www.mes.gob.cu
190.6.81.11,api.mes.gob.cu
190.6.81.11,copep.mes.gob.cu
190.6.81.11,gitlab.mes.gob.cu
190.6.81.11,jenkins.mes.gob.cu
190.6.81.11,kibana.mes.gob.cu
190.6.81.11,monitor.mes.gob.cu
190.6.81.11,portainer.mes.gob.cu
190.6.81.11,prometheus.mes.gob.cu
190.6.81.11,qa-api.mes.gob.cu
190.6.81.11,qa-servicios-admin.mes.gob.cu
190.6.81.11,qa-copep.mes.gob.cu
190.6.81.11,redmine.mes.gob.cu
190.6.81.11,servicios-admin.mes.gob.cu
190.6.81.11,servicios.mes.gob.cu
190.6.81.11,sigenu.mes.gob.cu
190.6.81.11,traefik.mes.gob.cu
190.6.81.11,api.mes.gob.cu
190.6.81.11,copep.mes.gob.cu
190.6.81.11,jenkins.mes.gob.cu
190.6.81.11,monitor.mes.gob.cu
190.6.81.11,kibana.mes.gob.cu
190.6.81.11,portainer.mes.gob.cu
190.6.81.11,prometheus.mes.gob.cu
190.6.81.11,qa-api.mes.gob.cu
190.6.81.11,gitlab.mes.gob.cu
190.6.81.11,qa-servicios-admin.mes.gob.cu
190.6.81.11,redmine.mes.gob.cu
190.6.81.11,qa-copep.mes.gob.cu
190.6.81.11,servicios-admin.mes.gob.cu
190.6.81.11,servicios.mes.gob.cu
190.6.81.11,sigenu.mes.gob.cu
190.6.81.11,traefik.mes.gob.cu
190.6.81.11,api.mes.gob.cu
190.6.81.11,copep.mes.gob.cu
190.6.81.11,gitlab.mes.gob.cu
190.6.81.11,jenkins.mes.gob.cu
190.6.81.11,kibana.mes.gob.cu
190.6.81.11,portainer.mes.gob.cu
190.6.81.11,prometheus.mes.gob.cu
190.6.81.11,qa-api.mes.gob.cu
190.6.81.11,qa-servicios-admin.mes.gob.cu
190.6.81.11,redmine.mes.gob.cu
190.6.81.11,qa-copep.mes.gob.cu
