ip_address,domain
41.221.194.229,teste10.gov.cv
41.221.194.230,gov.cv
41.221.194.231,gov.cv
41.221.194.219,mirex.gov.cv
41.221.194.231,gov.cv
41.221.194.232,teste8.gov.cv
41.221.194.230,gov.cv
41.221.194.233,gov.cv
41.221.194.233,gov.cv
41.221.194.234,gov.cv
41.221.194.233,ns1.gov.cv
41.221.194.234,ns2.gov.cv
41.221.194.234,gov.cv
41.221.194.234,ns2.gov.cv
41.221.194.235,adminweb.gov.cv
41.221.194.235,dgci.gov.cv
41.221.194.235,mtie.gov.cv
41.221.194.235,oge2013.gov.cv
41.221.194.235,teste5.gov.cv
41.221.194.236,dengue.gov.cv
41.221.194.236,caboverde2016.gov.cv
41.221.194.237,cultura.gov.cv
41.221.194.237,madrm.gov.cv
41.221.194.237,incv.gov.cv
41.221.194.237,teste3.gov.cv
41.221.194.237,mtfs.gov.cv
41.221.194.238,portoncv.gov.cv
41.221.194.239,legacy.gov.cv
41.221.194.239,teste1.gov.cv
41.221.194.247,mdhot.gov.cv
41.221.194.247,mne.gov.cv
41.221.199.60,ease.gov.cv
41.221.202.230,guestmeet.dnre.gov.cv
41.221.202.231,api.dnre.gov.cv
41.221.202.231,api.dnre.gov.cv
41.221.202.231,api.dnre.gov.cv
41.221.202.233,auth.dnre.gov.cv
41.221.202.233,auth.dnre.gov.cv
41.221.202.233,auth.dnre.gov.cv
41.221.202.233,dnre.gov.cv
41.221.202.234,sign.dnre.gov.cv
41.221.202.234,sign.dnre.gov.cv
41.221.202.234,sign.dnre.gov.cv
41.221.202.235,apps.dnre.gov.cv
41.221.202.235,app.dnre.gov.cv
41.221.202.235,apps.dnre.gov.cv
41.221.202.235,apps.dnre.gov.cv
41.221.202.235,dnre.gov.cv
41.221.202.235,balcao.dnre.gov.cv
41.221.202.235,dnre.gov.cv
41.221.203.12,ease.gov.cv
41.221.203.12,public-api.ease.gov.cv
41.221.203.12,ease.gov.cv
41.221.203.12,public-api.ease.gov.cv
41.221.203.12,viator.gerencia.ease.gov.cv
41.221.203.12,ease.gov.cv
41.221.203.12,public-api.ease.gov.cv
41.221.203.12,viator.gerencia.ease.gov.cv
41.221.203.13,admin.gerencia.ease.gov.cv
41.221.203.13,multi.gerencia.ease.gov.cv
41.221.203.13,admin.gerencia.ease.gov.cv
41.221.203.13,ease.gov.cv
41.221.203.13,multi.gerencia.ease.gov.cv
41.221.203.13,admin.gerencia.ease.gov.cv
41.221.203.13,multi.gerencia.ease.gov.cv
41.221.206.21,apps.dnre.gov.cv
41.221.206.22,apps.dnre.gov.cv
41.221.206.23,dnre.gov.cv
41.221.206.24,dnre.gov.cv
41.221.206.25,apps.dnre.gov.cv
41.221.206.26,apps.dnre.gov.cv
41.221.206.132,aeoi.dnre.gov.cv
41.221.206.132,appsdev.dnre.gov.cv
41.221.206.132,idm.dnre.gov.cv
41.221.206.132,vpn.dnre.gov.cv
41.221.206.132,aeoi.dnre.gov.cv
