ip_address,domain
35.156.230.176,staging.foodintegrity.sgl.moh.gov.cy
93.109.208.135,vaccines.moh.gov.cy
93.109.208.135,vaccines.moh.gov.cy
93.109.208.136,dashboard.vaccines.moh.gov.cy
93.109.208.135,reportcovid.vaccines.moh.gov.cy
93.109.208.136,dashboard.vaccines.moh.gov.cy
93.109.208.137,reportcovid.tst.vaccines.moh.gov.cy
93.109.208.137,vaccines.tst.moh.gov.cy
93.109.208.138,dashboard.tst.vaccines.moh.gov.cy
93.109.208.138,dashboard.tst.vaccines.moh.gov.cy
93.109.208.145,eudcc.gov.cy
93.109.208.145,eudcc.gov.cy
93.109.208.146,eudcc.gov.cy
93.109.208.146,acc-api.eudcc.gov.cy
93.109.208.149,eudcc.gov.cy
93.109.208.154,eudcc.gov.cy
93.109.208.158,elaw.law.gov.cy
93.109.208.158,elaw.law.gov.cy
93.109.208.159,www.matomo.dits.dmrid.gov.cy
93.109.208.159,www.matomo.dits.dmrid.gov.cy
93.109.208.159,www.matomo.dits.dmrid.gov.cy
93.109.208.161,admin.e-kalathi.gov.cy
93.109.208.161,e-kalathi.gov.cy
93.109.208.161,opendata.e-kalathi.gov.cy
93.109.208.161,ws.e-kalathi.gov.cy
93.109.208.161,ekalathi.gov.cy
93.109.208.161,www.ekalathi.gov.cy
93.109.208.161,www.e-kalathi.gov.cy
93.109.208.161,admin.e-kalathi.gov.cy
93.109.208.161,opendata.e-kalathi.gov.cy
93.109.208.161,e-kalathi.gov.cy
93.109.208.161,ws.e-kalathi.gov.cy
93.109.208.161,ekalathi.gov.cy
93.109.208.161,www.ekalathi.gov.cy
93.109.208.161,www.e-kalathi.gov.cy
93.109.208.194,ijustice.judicial.gov.cy
93.109.208.194,ijustice.judicial.gov.cy
93.109.208.197,cyprusflightpass.gov.cy
93.109.208.198,vaccines.moh.gov.cy
93.109.208.199,dashboard.vaccines.moh.gov.cy
93.109.208.200,dashboard.tst.vaccines.moh.gov.cy
93.109.208.201,reportcovid.tst.vaccines.moh.gov.cy
93.109.208.201,vaccines.tst.moh.gov.cy
93.109.208.202,acc-api.eudcc.gov.cy
93.109.208.202,acc-helpdesk.eudcc.gov.cy
93.109.208.198,reportcovid.vaccines.moh.gov.cy
93.109.208.202,acc.eudcc.gov.cy
93.109.208.203,eudcc.gov.cy
93.109.208.222,wallet.gov.cy
93.109.208.231,wp.matomo.dits.dmrid.gov.cy
93.109.208.231,wp.matomo.dits.dmrid.gov.cy
93.109.209.46,cyineu.gov.cy
93.109.209.46,pio.gov.cy
93.109.209.46,www.pio.gov.cy
93.109.209.46,publications.gov.cy
93.109.209.46,publications.gov.cy
93.109.209.46,www.publications.gov.cy
93.109.209.46,cyineu.gov.cy
93.109.209.46,publications.gov.cy
93.109.209.46,www.publications.gov.cy
93.109.209.46,www.cyineu.gov.cy
93.109.209.67,drmiweb01.cyprusflightpass.gov.cy
93.109.209.67,drmiweb01.cyprusflightpass.gov.cy
93.109.209.102,publications.gov.cy
93.109.209.102,www.publications.gov.cy
93.109.209.120,drmiweb02.cyprusflightpass.gov.cy
93.109.209.120,drmiweb02.cyprusflightpass.gov.cy
93.109.209.134,cyineu.gov.cy
93.109.209.134,cyineu.pio.gov.cy
93.109.209.158,admin.cystat.gov.cy
93.109.209.158,beta.cystat.gov.cy
93.109.209.158,census2021.cystat.gov.cy
93.109.209.158,cystatdb.cystat.gov.cy
93.109.209.158,cystatdb20px.cystat.gov.cy
93.109.209.158,cystatdb20.cystat.gov.cy
93.109.209.158,cystatdb23.cystat.gov.cy
93.109.209.158,cystatdbpx.cystat.gov.cy
93.109.209.158,cystatdb23px.cystat.gov.cy
93.109.209.158,eu2026.cystat.gov.cy
93.109.209.158,www.census2021.cystat.gov.cy
93.109.209.158,www.cystat.gov.cy
93.109.209.158,www.beta.cystat.gov.cy
93.109.209.158,admin.cystat.gov.cy
93.109.209.158,beta.cystat.gov.cy
93.109.209.158,census2021.cystat.gov.cy
93.109.209.158,cystatdb20.cystat.gov.cy
93.109.209.158,cystatdb.cystat.gov.cy
93.109.209.158,cystatdb23.cystat.gov.cy
93.109.209.158,cystatdb20px.cystat.gov.cy
93.109.209.158,cystatdb23px.cystat.gov.cy
93.109.209.158,cystatdbpx.cystat.gov.cy
93.109.209.158,www.census2021.cystat.gov.cy
93.109.209.158,www.beta.cystat.gov.cy
93.109.209.158,www.cystat.gov.cy
93.109.209.158,census.cystat.mof.gov.cy
93.109.209.158,census.cystat.mof.gov.cy
93.109.209.158,www.census.cystat.mof.gov.cy
93.109.209.158,www.census.cystat.mof.gov.cy
93.109.209.158,admin.cystat.gov.cy
93.109.209.158,beta.cystat.gov.cy
93.109.209.158,census2021.cystat.gov.cy
93.109.209.158,cystatdb.cystat.gov.cy
93.109.209.158,cystatdb20.cystat.gov.cy
93.109.209.158,cystatdb20px.cystat.gov.cy
93.109.209.158,cystatdb23.cystat.gov.cy
93.109.209.158,cystatdb23px.cystat.gov.cy
93.109.209.158,cystatdbpx.cystat.gov.cy
93.109.209.158,www.beta.cystat.gov.cy
93.109.209.158,www.census2021.cystat.gov.cy
93.109.209.158,www.cystat.gov.cy
93.109.209.158,census.cystat.mof.gov.cy
93.109.209.158,www.census.cystat.mof.gov.cy
93.109.209.169,acc-issuer.eudcc.gov.cy
93.109.209.169,acc-verifier.eudcc.gov.cy
93.109.209.169,acc-api.wallet.gov.cy
93.109.209.169,acc-issuersrv.eudcc.gov.cy
93.109.209.169,acc-helpdesk.wallet.gov.cy
93.109.209.169,acc-businessrules.wallet.gov.cy
93.109.209.169,acc-verifier.wallet.gov.cy
93.109.209.181,digitalcoalition.gov.cy
93.109.209.181,digitalcoalition.gov.cy
93.109.209.181,digitalcoalition.gov.cy
93.109.209.189,borgway.cysec.gov.cy
93.109.209.189,cytbor-test.cysec.gov.cy
93.109.209.189,cytbor.cysec.gov.cy
93.109.209.189,borgwayacc.cysec.gov.cy
93.109.209.189,borgway.cysec.gov.cy
93.109.209.189,borgwayacc.cysec.gov.cy
93.109.209.189,cytbor-test.cysec.gov.cy
93.109.209.189,cytbor.cysec.gov.cy
93.109.209.189,borgwayacc.cysec.gov.cy
93.109.209.189,borgway.cysec.gov.cy
93.109.209.189,cytbor.cysec.gov.cy
93.109.209.189,cytbor-test.cysec.gov.cy
93.109.224.149,companies.gov.cy
93.109.224.150,intellectualproperty.gov.cy
93.109.248.61,webx-conf.gun.gov.cy
93.109.248.61,webx1-conf.gun.gov.cy
93.109.248.61,webx2-conf.gun.gov.cy
93.109.248.61,www.webx-conf.gun.gov.cy
93.109.248.61,webx-conf.gun.gov.cy
93.109.248.61,webx2-conf.gun.gov.cy
93.109.248.62,expe.gun.gov.cy
93.109.248.62,gun.gov.cy
93.109.248.62,gunmofexpe01.gun.gov.cy
93.109.248.62,gunpapexpe02.gun.gov.cy
93.109.248.62,www.expe.gun.gov.cy
93.109.248.62,gunpapexpe02.gun.gov.cy
93.109.254.10,espo.cpa.gov.cy
93.109.254.11,mail.cpa.gov.cy
93.109.254.11,mail.cpa.gov.cy
93.109.254.11,mail.cpa.gov.cy
87.76.28.165,fundingprogrammesportal.gov.cy
108.142.37.112,digital-citizen.gov.cy
108.142.37.112,digital-citizen.gov.cy
93.127.221.131,e-consultation.gov.cy
93.127.221.131,e-consultation.gov.cy
84.53.133.251,live.elections.moi.gov.cy
135.236.112.125,acc.digital-citizen.gov.cy
35.209.232.21,drones.gov.cy
35.209.232.21,uas.drones.gov.cy
35.209.232.21,www.drones.gov.cy
85.132.249.100,ejustice.judicial.gov.cy
85.132.249.100,www.ejustice.judicial.gov.cy
85.132.249.101,ejcuatportal.judicial.gov.cy
85.132.255.62,gws.moi.gov.cy
85.132.255.62,test.gws.moi.gov.cy
85.132.255.62,gws.moi.gov.cy
87.228.184.99,vpn.nba.gov.cy
87.228.184.99,vpn.nba.gov.cy
87.228.184.100,expe.nba.gov.cy
87.228.184.124,expe.nba.gov.cy
87.228.184.124,expecluster.nba.gov.cy
87.228.184.124,expedr.nba.gov.cy
87.228.184.124,nba.gov.cy
87.228.184.124,www.expecluster.nba.gov.cy
87.228.184.126,vpndr.nba.gov.cy
87.228.184.126,vpndr.nba.gov.cy
87.228.206.5,webx1-conf.gun.gov.cy
87.228.206.5,webx2-conf.gun.gov.cy
87.228.206.5,webx-conf.gun.gov.cy
87.228.206.5,www.webx-conf.gun.gov.cy
87.228.206.5,webx-conf.gun.gov.cy
87.228.206.5,webx1-conf.gun.gov.cy
87.228.206.6,expe.gun.gov.cy
87.228.206.6,gun.gov.cy
87.228.206.6,gunmofexpe01.gun.gov.cy
87.228.206.6,gunpapexpe02.gun.gov.cy
87.228.206.6,www.expe.gun.gov.cy
87.228.206.6,gunmofexpe01.gun.gov.cy
87.228.233.207,biocare.moh.gov.cy
35.214.129.141,e-consultation.gov.cy
23.55.51.171,bfu.meci.gov.cy
23.55.51.171,subsidy-schemes.dl.mlsi.gov.cy
35.214.160.72,applications.socialsupport.gov.cy
35.214.160.72,socialsupport.gov.cy
35.214.160.72,applications.socialsupport.gov.cy
35.214.191.146,airquality.gov.cy
35.214.191.146,www.airquality.gov.cy
35.214.191.146,airquality.gov.cy
35.214.191.146,dev.airquality.gov.cy
35.214.191.146,www.airquality.gov.cy
35.214.191.146,www.dev.airquality.gov.cy
35.214.191.146,airquality.dli.mlsi.gov.cy
35.214.191.146,radiation.dli.mlsi.gov.cy
35.214.191.146,www.airquality.dli.mlsi.gov.cy
35.214.191.146,www.radiation.dli.mlsi.gov.cy
35.214.191.146,airquality.dli.mlsi.gov.cy
35.214.191.146,dev.airquality.dli.mlsi.gov.cy
35.214.191.146,radiation.dli.mlsi.gov.cy
35.214.191.146,www.airquality.dli.mlsi.gov.cy
35.214.191.146,www.radiation.dli.mlsi.gov.cy
35.214.191.146,www.dev.airquality.dli.mlsi.gov.cy
35.214.191.146,airquality.gov.cy
35.214.191.146,www.airquality.gov.cy
35.214.191.146,airquality.dli.mlsi.gov.cy
35.214.191.146,radiation.dli.mlsi.gov.cy
35.214.191.146,www.airquality.dli.mlsi.gov.cy
35.214.191.146,www.radiation.dli.mlsi.gov.cy
35.214.209.184,e-consultation.gov.cy
35.214.209.184,e-consultation.gov.cy
35.214.247.167,drones.gov.cy
35.214.247.167,cc.drones.gov.cy
35.214.247.167,cc.drones.gov.cy
35.214.247.167,drones.gov.cy
35.214.247.167,uas.drones.gov.cy
35.214.247.167,cc.drones.gov.cy
35.214.247.167,drones.gov.cy
127.0.0.1,service.gov.cy
127.0.0.1,services.gov.cy
127.0.0.1,service.gov.cy
127.0.0.1,services.gov.cy
188.114.96.0,cyprusmade.gov.cy
88.208.200.101,ekloges.pio.gov.cy
88.208.200.101,www.ekloges.pio.gov.cy
88.208.200.101,www.euroelections2009.gov.cy
131.189.24.210,hello-world.ea-staging.service.gov.cy
131.189.75.253,citizenvoice.gov.cy
131.189.75.253,apply-for-board-of-directors.service.gov.cy
131.189.75.253,apply-foreign-labour.service.gov.cy
131.189.75.253,citizen-documents.service.gov.cy
131.189.75.253,child-birth-grant.service.gov.cy
131.189.75.253,citizen-voice.service.gov.cy
