ip_address,domain
2a00:11b0:f100:400::246,sujb.gov.cz
2a01:430:3c:11::160:112,mzv.gov.cz
34.8.226.26,portalkvality.gov.cz
34.8.226.26,portalkvality.gov.cz
85.13.96.6,sslvpn2.vlada.cz
85.13.96.6,sslvpn2.vlada.cz
85.13.96.6,www.sslvpn2.vlada.cz
35.157.174.232,desu.gov.cz
35.157.174.232,desu.gov.cz
35.157.174.232,desu.gov.cz
141.147.25.37,testmachmgmt.szif.gov.cz
141.147.25.37,testmachi.szif.gov.cz
141.147.25.37,testmachi.szif.gov.cz
141.147.25.37,testmachmgmt.szif.gov.cz
141.147.30.100,testmach.szif.gov.cz
141.147.30.100,testmach.szif.gov.cz
57.153.38.224,dev.portalpodnikatele.gov.cz
98.64.24.201,stagejepek.gov.cz
98.71.236.99,stavebnisprava-skolici.gov.cz
98.71.236.99,stavebnisprava-skolici.gov.cz
35.187.26.183,superset.ris3.gov.cz
35.187.26.183,ris3.gov.cz
35.187.26.183,www.ris3.gov.cz
35.187.26.183,ris3.gov.cz
35.187.26.183,superset.ris3.gov.cz
35.187.26.183,www.ris3.gov.cz
108.141.121.93,mpsv.gov.cz
108.141.121.93,uradprace.gov.cz
108.141.121.93,mpsv.gov.cz
193.16.104.92,hygs.gov.cz
193.16.104.92,portal.hygs.gov.cz
193.16.104.111,ezcatest.mzd.gov.cz
193.16.104.111,ezca.mzd.gov.cz
193.16.104.152,covid.gov.cz
193.16.104.152,covid.gov.cz
193.16.104.246,uzis.gov.cz
193.16.104.246,uzis.gov.cz
193.37.226.10,library.nbu.gov.cz
193.37.226.10,library.nbu.gov.cz
93.185.102.202,di.gov.cz
93.185.102.202,di.gov.cz
93.185.102.202,coi.gov.cz
93.185.102.202,www.coi.gov.cz
93.185.102.202,di.gov.cz
93.185.102.202,evropskyspotrebitel.gov.cz
93.185.102.202,www.evropskyspotrebitel.gov.cz
193.84.96.6,mail.mpo.gov.cz
193.84.96.6,mail.mpo.gov.cz
193.84.96.9,barborb.mpo.gov.cz
193.84.96.12,barbora.mpo.gov.cz
193.84.99.9,cafe.mpo.gov.cz
193.84.99.25,certauth.adfs.mpo.gov.cz
193.84.99.25,enterpriseregistration.mpo.gov.cz
193.84.99.25,adfs.mpo.gov.cz
193.84.99.25,autodiscover.mpo.gov.cz
193.84.99.25,certauth.adfs.mpo.gov.cz
193.84.99.25,enterpriseregistration.mpo.gov.cz
193.84.99.25,certauth.adfs.mpo.gov.cz
193.84.99.25,enterpriseregistration.mpo.gov.cz
193.84.99.25,autodiscover.mpo.gov.cz
193.84.99.26,homeoffice.mpo.gov.cz
193.84.99.28,dip.gov.cz
193.84.245.16,mzp.gov.cz
193.84.245.16,mzp.gov.cz
193.84.245.35,cizp.gov.cz
193.84.245.35,dsms.gov.cz
193.84.245.35,jes.gov.cz
193.84.245.35,mzp.gov.cz
193.84.245.35,cgs.gov.cz
193.84.245.35,cizp.gov.cz
193.84.245.35,jes.gov.cz
193.84.245.35,mzp.gov.cz
193.84.245.136,cenia.gov.cz
193.84.245.136,cenia.gov.cz
193.84.245.136,cenia.gov.cz
193.84.245.165,cgs.gov.cz
193.84.245.174,cgs.gov.cz
193.84.245.185,hybrid.cizp.gov.cz
193.84.245.186,prostorovadata.cizp.gov.cz
193.84.245.186,prostorovadata.cizp.gov.cz
193.84.245.190,cizp.gov.cz
193.84.245.190,cizp.gov.cz
193.85.7.188,sps.gov.cz
193.85.7.188,mx2.sps.gov.cz
193.85.7.188,sps.gov.cz
193.85.19.114,www.sps-test.gov.cz
193.85.19.114,www-test.sps.gov.cz
193.85.19.114,www-test.sps.gov.cz
193.85.19.117,sps.gov.cz
193.85.19.117,mx1.sps.gov.cz
193.85.19.117,sps.gov.cz
193.85.19.118,git.sps.gov.cz
193.85.19.118,git.sps.gov.cz
193.85.19.121,meet.sps.gov.cz
193.85.19.121,meet.sps.gov.cz
193.85.19.125,meet.sps.gov.cz
193.85.22.1,spu.gov.cz
193.85.22.1,spu.gov.cz
193.85.23.146,krizkom26.gov.cz
193.85.23.146,krizkom26.gov.cz
193.86.21.64,czechtrade.gov.cz
193.86.21.64,czechtrade.gov.cz
193.86.67.135,rzp.gov.cz
193.86.67.135,rzp.gov.cz
193.86.115.85,caa.gov.cz
193.86.115.94,portal2020.caa.gov.cz
193.86.125.98,1914-1918.npmk.gov.cz
193.86.125.98,cteme.npmk.gov.cz
193.86.125.98,did.npmk.gov.cz
193.86.125.98,npmk.gov.cz
193.86.125.98,kramerius.npmk.gov.cz
193.86.125.98,katalog.pitter.npmk.gov.cz
193.86.125.98,pitter.npmk.gov.cz
193.86.125.98,skolnibudovy.npmk.gov.cz
193.86.125.98,1914-1918.npmk.gov.cz
193.86.125.98,csk.npmk.gov.cz
193.86.125.98,cteme.npmk.gov.cz
193.86.125.98,katalog.pitter.npmk.gov.cz
193.86.125.98,did.npmk.gov.cz
193.86.125.98,kramerius.npmk.gov.cz
193.86.125.98,npmk.gov.cz
193.86.125.98,pitter.npmk.gov.cz
193.86.125.98,skolnibudovy.npmk.gov.cz
193.86.125.105,katalog.npmk.gov.cz
