ip_address,domain
35.208.18.125,cbiu.gov.dm
35.208.18.125,fee.cbiu.gov.dm
35.208.18.125,www.cbiu.gov.dm
35.208.18.125,staging4.cbiu.gov.dm
35.208.18.125,staging5.cbiu.gov.dm
72.29.86.151,websites.dominica.gov.dm
34.174.201.198,fee.cbiu.gov.dm
34.174.201.198,cbiu.gov.dm
34.174.201.198,staging4.cbiu.gov.dm
34.174.201.198,cbiu.gov.dm
34.174.201.198,staging5.cbiu.gov.dm
34.174.201.198,staging4.cbiu.gov.dm
34.174.201.198,fee.cbiu.gov.dm
34.174.201.198,staging4.cbiu.gov.dm
34.174.201.198,staging5.cbiu.gov.dm
34.174.201.198,cbiu.gov.dm
188.114.96.3,cbiu.gov.dm
188.114.96.12,cbiu.gov.dm
199.127.198.52,autodiscover.dominica.gov.dm
199.127.198.52,cpanel.dominica.gov.dm
199.127.198.52,cpcalendars.dominica.gov.dm
199.127.198.52,cpcontacts.dominica.gov.dm
199.127.198.52,dominica.gov.dm
199.127.198.52,mail.dominica.gov.dm
199.127.198.52,webdisk.dominica.gov.dm
199.127.198.52,webmail.dominica.gov.dm
199.127.198.52,www.dominica.gov.dm
199.127.198.52,mail.dominica.gov.dm
199.127.198.53,caricad.dominica.gov.dm
199.127.198.53,pensioners.dominica.gov.dm
199.127.198.53,ecurfewpass.dominica.gov.dm
199.127.198.53,vcas.gov.dm
199.127.198.53,apply.dominica.gov.dm
199.127.198.53,vcas.gov.dm
199.127.198.53,vcas.gov.dm
199.127.198.54,defs.fiu.gov.dm
199.127.198.54,defs.fiu.gov.dm
199.127.198.55,cipo.gov.dm
199.127.198.55,cbiu.gov.dm
199.127.198.55,efiling.cipo.gov.dm
199.127.198.55,registry.cipo.gov.dm
199.127.198.55,www.cipo.gov.dm
199.127.198.55,autodiscover.dominica.gov.dm
199.127.198.55,dominica.gov.dm
199.127.198.55,expe.dominica.gov.dm
199.127.198.55,mail.dominica.gov.dm
199.127.198.55,pdc00-expe-1.dominica.gov.dm
199.127.198.55,sdc01-expe-2.dominica.gov.dm
199.127.198.55,eservices.gov.dm
199.127.198.55,www.eservices.gov.dm
199.127.198.55,stats.gov.dm
199.127.198.55,defs.fiu.gov.dm
199.127.198.56,sdc01-expe-2.dominica.gov.dm
199.127.198.57,minio.dominode.dm
199.127.198.57,dominode.dm
199.127.198.57,minioui.dominode.dm
199.127.198.57,calipseo.agriculture.gov.dm
199.127.198.57,landlease.agriculture.gov.dm
199.127.198.57,namis.agriculture.gov.dm
199.127.198.57,calipseo.agriculture.gov.dm
199.127.198.57,helpdesk.agriculture.gov.dm
199.127.198.57,apps.gov.dm
199.127.198.57,ezbankrecon.apps.gov.dm
199.127.198.57,apps.gov.dm
199.127.198.57,test.apps.gov.dm
199.127.198.57,ezbankrecon.apps.gov.dm
199.127.198.57,asycuda.gov.dm
199.127.198.57,api.cardtp.gov.dm
199.127.198.57,apply4grants.cardtp.gov.dm
199.127.198.57,coop.cardtp.gov.dm
199.127.198.57,grants.cardtp.gov.dm
199.127.198.57,suppliers.cardtp.gov.dm
199.127.198.57,procurement.cardtp.gov.dm
199.127.198.57,api.cardtp.gov.dm
199.127.198.57,admin.cardtp.gov.dm
199.127.198.57,apply4grants.cardtp.gov.dm
199.127.198.57,coop.cardtp.gov.dm
199.127.198.57,grants.cardtp.gov.dm
199.127.198.57,procurement.cardtp.gov.dm
199.127.198.57,suppliers.cardtp.gov.dm
199.127.198.57,cases.cdpf.gov.dm
199.127.198.57,scheduler.cdpf.gov.dm
199.127.198.57,scheduler.cdpf.gov.dm
199.127.198.57,cases.cdpf.gov.dm
199.127.198.57,efiling.cipo.gov.dm
199.127.198.57,efilingtest.cipo.gov.dm
199.127.198.57,registry.cipo.gov.dm
199.127.198.57,registrytest.cipo.gov.dm
199.127.198.57,registryapitest.cipo.gov.dm
199.127.198.57,efiling.cipo.gov.dm
199.127.198.57,efilingapitest.cipo.gov.dm
199.127.198.57,efilingtest.cipo.gov.dm
199.127.198.57,registry.cipo.gov.dm
199.127.198.57,registryapitest.cipo.gov.dm
199.127.198.57,registrytest.cipo.gov.dm
199.127.198.57,dexia.gov.dm
199.127.198.57,digidom.gov.dm
199.127.198.57,mail.digidom.gov.dm
199.127.198.57,digidom.gov.dm
199.127.198.57,mail.digidom.gov.dm
199.127.198.57,birt.dominica.gov.dm
199.127.198.57,caricad.dominica.gov.dm
199.127.198.57,assets.dominica.gov.dm
199.127.198.57,cellular.dominica.gov.dm
199.127.198.57,dev.dominica.gov.dm
199.127.198.57,digidomtest.dominica.gov.dm
