ip_address,domain
44.193.240.41,tellme.inposdom.gob.do
44.193.240.41,tellme.inposdom.gob.do
44.193.240.41,tellme.inposdom.gob.do
190.6.140.103,mail.coraasan.gov.do
190.6.141.134,idecoop.gob.do
190.6.141.176,coraasan.gov.do
190.8.41.50,cos.infotep.gov.do
190.8.41.106,ns1.indotel.gob.do
190.8.43.130,mail.iad.gob.do
190.8.44.18,cei-rd.gov.do
190.8.43.235,smtp.hosting.gob.do
190.8.43.238,encuesta.optic.gob.do
190.8.44.146,smtp1.hosting.gob.do
190.8.45.2,smtp.hosting.gob.do
190.8.45.6,311.optic.gob.do
190.8.45.7,firma-digital.api.ogtic.gob.do
190.8.45.7,firma-digital.ogtic.gob.do
190.8.45.7,firma-digital.api.ogtic.gob.do
190.8.45.7,firma-digital.ogtic.gob.do
190.8.45.8,password.ogtic.gob.do
190.8.45.8,ogtic.gob.do
190.8.45.9,api.digeig.311.ogtic.gob.do
190.8.45.8,password.ogtic.gob.do
190.8.45.9,api.digeig.311.ogtic.gob.do
190.8.45.10,be.nortic.ogtic.gob.do
190.8.45.10,nortic.ogtic.gob.do
190.8.45.10,be.nortic.ogtic.gob.do
190.8.45.10,nortic.ogtic.gob.do
190.8.45.24,firma-digital.ogtic.gob.do
190.8.45.24,firma-digital.api.ogtic.gob.do
190.8.45.24,firma-digital.api.ogtic.gob.do
190.8.45.25,ogtic.gob.do
190.8.45.27,password.ogtic.gob.do
190.8.45.27,password.ogtic.gob.do
190.8.45.28,api.digeig.311.ogtic.gob.do
190.8.45.29,be.nortic.ogtic.gob.do
190.8.45.24,firma-digital.ogtic.gob.do
190.8.45.29,be.nortic.ogtic.gob.do
190.8.45.29,nortic.ogtic.gob.do
44.204.65.60,regional11.gob.do
44.204.65.60,www.regional11.gob.do
34.23.166.123,vuln.digital.gob.do
34.23.166.123,vuln.digital.gob.do
44.208.119.21,ss1.mived.gob.do
34.30.44.57,ogtic.gob.do
34.30.44.57,search-poc.ogtic.gob.do
34.31.45.96,consultapublica.rumr.digital.gob.do
34.31.45.96,consultapublica.rumr.digital.gob.do
34.31.45.96,consultapublica.rumr.digital.gob.do
34.36.83.22,recaptcha.digital.gob.do
34.36.83.22,recaptcha.digital.gob.do
34.36.220.128,registro.digital.gob.do
34.36.220.128,registro.digital.gob.do
34.36.220.128,registro.digital.gob.do
34.36.247.120,cybertraining.tss.gob.do
34.36.247.120,cybertraining.tss.gob.do
34.48.18.139,api-apim-beta.digital.gob.do
34.48.18.139,api.devs.digital.gob.do
34.48.18.139,apim.devs.digital.gob.do
34.48.18.139,console-apim-beta.digital.gob.do
34.48.18.139,console.devs.digital.gob.do
34.48.18.139,devs-apim-beta.digital.gob.do
34.48.18.139,gw-apim-beta.digital.gob.do
34.48.18.139,npm-apim-beta.digital.gob.do
34.48.18.139,portainer-beta.digital.gob.do
34.48.18.139,portal.devs.digital.gob.do
34.48.18.139,api-apim-beta.digital.gob.do
34.48.18.139,api.devs.digital.gob.do
34.48.18.139,apim.devs.digital.gob.do
34.48.18.139,console.devs.digital.gob.do
34.48.18.139,console-apim-beta.digital.gob.do
34.48.18.139,gw-apim-beta.digital.gob.do
34.48.18.139,npm-apim-beta.digital.gob.do
34.48.18.139,portainer-beta.digital.gob.do
34.48.18.139,portal.devs.digital.gob.do
34.48.18.139,devs-apim-beta.digital.gob.do
34.48.18.139,api-apim-beta.digital.gob.do
34.48.18.139,apim.devs.digital.gob.do
34.48.18.139,console-apim-beta.digital.gob.do
34.48.18.139,console.devs.digital.gob.do
34.48.18.139,api.devs.digital.gob.do
34.48.18.139,devs-apim-beta.digital.gob.do
34.48.18.139,npm-apim-beta.digital.gob.do
34.48.18.139,portal.devs.digital.gob.do
190.80.144.106,idac.gob.do
190.80.144.106,idac.gov.do
190.80.144.106,idac.gob.do
190.80.144.106,idac.gov.do
190.80.144.195,mail.inap.gov.do
190.80.188.235,vpn.jce.gob.do
190.80.189.154,bpm.inabie.gob.do
190.80.189.154,inabie.gob.do
190.80.189.154,www.inabie.gob.do
190.80.189.155,app.inabie.gob.do
190.80.189.155,acceso.inabie.gob.do
190.80.189.155,emp.inabie.gob.do
190.80.189.155,inabie.gob.do
190.80.189.155,prueba.inabie.gob.do
190.80.189.155,servicios.inabie.gob.do
190.80.189.155,bpm.inabie.gob.do
190.80.189.155,www.inabie.gob.do
190.80.189.155,acceso.inabie.gob.do
190.80.189.155,app.inabie.gob.do
190.80.189.155,bpm.inabie.gob.do
190.80.189.155,inabie.gob.do
190.80.189.155,emp.inabie.gob.do
190.80.189.155,prueba.inabie.gob.do
190.80.189.155,servicios.inabie.gob.do
190.80.189.155,www.inabie.gob.do
190.80.189.155,app.inabie.gob.do
190.80.189.155,bpm.inabie.gob.do
190.80.189.155,inabie.gob.do
190.80.189.202,dev.c5iffaa.gob.do
190.80.189.202,plantilla.c5iffaa.gob.do
190.80.189.202,cesep.mil.do
190.80.189.202,www.cesep.mil.do
190.80.189.202,hospitalcentral.mil.do
190.80.189.202,www.hospitalcentral.mil.do
190.80.189.204,cpanel.c5iffaa.gob.do
190.80.189.204,cpcalendars.c5iffaa.gob.do
190.80.189.204,cpcontacts.c5iffaa.gob.do
190.80.189.204,mail.c5iffaa.gob.do
190.80.189.204,webdisk.c5iffaa.gob.do
190.80.189.204,c5iffaa.gob.do
190.80.189.204,webmail.c5iffaa.gob.do
190.80.189.204,www.c5iffaa.gob.do
190.80.239.158,mail.j2.mil.do
190.80.242.58,mail.medioambiente.gob.do
190.80.254.29,cityappapi.adn.gob.do
190.80.254.82,uaf.gob.do
190.80.254.83,uaf.gob.do
190.80.254.84,mail.uaf.gob.do
190.80.254.84,www.mail.uaf.gob.do
190.80.254.86,uaf.gob.do
190.80.254.91,consultapagos.gob.do
190.80.254.91,www.consultapagos.gov.do
190.80.254.91,consultapagos.gov.do
190.80.254.174,bancentral.gov.do
