ip_address,domain
34.8.237.157,www.censoecuador.gob.ec
34.23.51.104,certificacion.secap.gob.ec
34.23.51.104,certificacion.secap.gob.ec
190.11.14.3,paga.presidencia.gob.ec
190.11.14.16,sigpe2.presidencia.gob.ec
190.11.14.18,wiki.presidencia.gob.ec
190.11.14.18,decretos.presidencia.gob.ec
190.11.14.18,sigpe.presidencia.gob.ec
190.11.14.21,fichas.presidencia.gob.ec
190.11.14.21,fichas.presidencia.gob.ec
190.11.14.22,minka.presidencia.gob.ec
190.11.14.22,minka.presidencia.gob.ec
190.11.14.25,portal.presidencia.gob.ec
190.11.14.26,avanzada.presidencia.gob.ec
190.11.14.30,presidencia.gob.ec
190.11.14.30,webmail.presidencia.gob.ec
190.11.14.30,presidencia.gob.ec
190.11.14.30,webmail.presidencia.gob.ec
190.11.14.50,mail.controlrecursosyenergia.gob.ec
190.11.14.50,mail.controlrecursosyenergia.gob.ec
190.11.14.52,reportes.controlrecursosyenergia.gob.ec
190.11.14.52,sisdat.controlrecursosyenergia.gob.ec
190.11.14.52,controlrecursosyenergia.gob.ec
190.11.14.52,reportes.controlrecursosyenergia.gob.ec
190.11.14.52,sisdat.controlrecursosyenergia.gob.ec
190.11.14.53,mail.controlrecursosyenergia.gob.ec
190.11.14.53,mail.controlrecursosyenergia.gob.ec
190.11.14.54,arconel.gob.ec
190.11.14.54,controlelectrico.gob.ec
190.11.14.54,notificaciones.controlelectrico.gob.ec
190.11.14.54,sirha.controlelectrico.gob.ec
190.11.14.54,sisrehu.conelec.gob.ec
190.11.14.54,webserver.arconel.gob.ec
190.11.14.54,www.controlelectrico.gob.ec
190.11.14.54,notificaciones.controlelectrico.gob.ec
190.11.14.54,pagina.controlelectrico.gob.ec
190.11.14.54,controlelectrico.gob.ec
190.11.14.54,pagina.controlelectrico.gob.ec
190.11.14.54,sirha.controlelectrico.gob.ec
190.11.14.54,webserver.arconel.gob.ec
190.11.14.54,www.controlelectrico.gob.ec
190.11.14.54,controlelectrico.gob.ec
190.11.14.54,pagina.controlelectrico.gob.ec
190.11.14.54,www.controlelectrico.gob.ec
190.11.14.56,controlrecursosyenergia.gob.ec
190.11.14.56,databox.controlrecursosyenergia.gob.ec
190.11.14.57,mail.controlelectrico.gob.ec
190.11.14.57,sigpro.controlrecursosyenergia.gob.ec
190.11.14.58,sigcon.controlrecursosyenergia.gob.ec
190.11.14.60,mail.controlrecursosyenergia.gob.ec
190.11.14.60,mail.controlrecursosyenergia.gob.ec
190.11.14.60,antispam.controlrecursosyenergia.gob.ec
190.11.14.60,controlrecursosyenergia.gob.ec
190.11.14.60,mail.controlrecursosyenergia.gob.ec
190.11.14.61,controlrecursosyenergia.gob.ec
190.11.14.61,sisdatbi.controlrecursosyenergia.gob.ec
190.11.14.61,controlrecursosyenergia.gob.ec
190.11.14.61,www.controlrecursosyenergia.gob.ec
190.11.14.61,controlrecursosyenergia.gob.ec
190.11.14.61,notificaciones.controlrecursosyenergia.gob.ec
190.11.14.61,planillita.controlrecursosyenergia.gob.ec
190.11.14.61,sisdatbi.controlrecursosyenergia.gob.ec
190.11.14.194,mx1.fae.mil.ec
190.11.14.244,www.proteccionfamiliar.gob.ec
190.11.14.244,www.proteccionfamiliar.gob.ec
190.11.14.245,www.pps.gob.ec
190.11.14.243,proteccionsocial.inclusion.gob.ec
190.11.14.245,pagoencuenta.inclusion.gob.ec
190.11.14.245,www.pps.gob.ec
190.11.14.245,inclusion.gob.ec
190.11.14.246,siimiespruebas.inclusion.gob.ec
190.11.14.247,inclusion.gob.ec
190.11.14.247,tramitesenlinea.inclusion.gob.ec
190.11.14.251,www.cdh.gob.ec
190.11.14.248,mail.pps.gob.ec
190.11.14.252,inclusion.gob.ec
190.11.16.219,mail.hbnhn.gob.ec
190.11.16.220,mail.13d12.mspz4.gob.ec
190.11.16.250,fw.secretariamar.gob.ec
190.11.16.251,mail.secretariamar.gob.ec
190.11.18.211,correosdelecuador.gob.ec
190.11.20.20,atencionintegral.gob.ec
190.11.20.20,sisasp.atencionintegral.gob.ec
190.11.20.21,sisvis.atencionintegral.gob.ec
190.11.20.22,reclutamientosnai.atencionintegral.gob.ec
190.11.20.25,atencionintegral.gob.ec
190.11.20.30,seguridadpenitenciaria.gob.ec
190.11.20.37,correo3.ministeriodelinterior.gob.ec
190.11.20.38,correo4.ministeriodelinterior.gob.ec
190.11.20.39,correo5.ministeriodelinterior.gob.ec
190.11.20.40,correo6.ministeriodelinterior.gob.ec
190.11.20.41,correo7.ministeriodelinterior.gob.ec
190.11.20.42,correo8.ministeriodelinterior.gob.ec
190.11.20.43,correo9.ministeriodelinterior.gob.ec
190.11.20.44,correo10.ministeriodelinterior.gob.ec
190.11.20.45,correo11.ministeriodelinterior.gob.ec
190.11.20.51,elearning.mdi.gob.ec
190.11.20.52,sga.mdi.gob.ec
190.11.20.67,mail.finanzas.gob.ec
190.11.20.67,mail.finanzas.gob.ec
190.11.20.66,vpn.finanzas.gob.ec
190.11.20.68,mail1.finanzas.gob.ec
190.11.20.69,dns.finanzas.gob.ec
190.11.20.68,mail1.finanzas.gob.ec
190.11.20.71,apmmef.finanzas.gob.ec
190.11.20.71,aplicaciones.finanzas.gob.ec
190.11.20.71,autodiscover.finanzas.gob.ec
190.11.20.71,bienes.finanzas.gob.ec
190.11.20.71,cloud.finanzas.gob.ec
190.11.20.71,cloudtest.finanzas.gob.ec
190.11.20.71,correo.finanzas.gob.ec
190.11.20.71,corresponderse.finanzas.gob.ec
190.11.20.71,datos.finanzas.gob.ec
190.11.20.71,denuncias.finanzas.gob.ec
190.11.20.71,dns.finanzas.gob.ec
190.11.20.71,mefintranet.finanzas.gob.ec
190.11.20.71,monitoreo.finanzas.gob.ec
190.11.20.71,owa.finanzas.gob.ec
190.11.20.71,permisos.finanzas.gob.ec
190.11.20.71,planifico.finanzas.gob.ec
190.11.20.71,pruebas.finanzas.gob.ec
190.11.20.71,redes.finanzas.gob.ec
190.11.20.71,sise.finanzas.gob.ec
190.11.20.71,soporte1700.finanzas.gob.ec
190.11.20.71,visitas.finanzas.gob.ec
190.11.20.71,vehiculos.finanzas.gob.ec
190.11.20.71,webmail.finanzas.gob.ec
190.11.20.74,mail.info.finanzas.gob.ec
190.11.20.71,vpn.finanzas.gob.ec
190.11.20.74,seguimientopresupuesto.finanzas.gob.ec
190.11.20.79,vehiculos.finanzas.gob.ec
190.11.20.80,accesoremoto.finanzas.gob.ec
190.11.20.76,docs.finanzas.gob.ec
190.11.20.81,dialin.finanzas.gob.ec
190.11.20.81,cloud.finanzas.gob.ec
190.11.20.81,lyncweb.finanzas.gob.ec
190.11.20.81,meet.finanzas.gob.ec
190.11.20.84,mefintranet.finanzas.gob.ec
190.11.20.81,lyncdiscover.finanzas.gob.ec
190.11.20.106,mail.ieps.gob.ec
190.11.20.124,mail.sntg.gob.ec
190.11.20.140,contactociudadano.gob.ec
190.11.20.195,correo.ministeriodegobierno.gob.ec
190.11.20.196,mail.ministeriodegobierno.gob.ec
190.11.20.195,sitmint.ministeriodegobierno.gob.ec
190.11.20.196,mail.ministeriodegobierno.gob.ec
