ip_address,domain
141.101.90.16,eelnoud.valitsus.ee
141.101.90.16,sitikas-risk-test.valitsus.ee
141.101.90.16,sitikas-risk.valitsus.ee
141.101.90.16,sitikas-test.valitsus.ee
141.101.90.16,sitikas.valitsus.ee
141.101.90.16,valitsus.ee
141.101.90.16,company.e-resident.gov.ee
141.101.90.16,manage.e-resident.gov.ee
141.101.90.16,company.e-resident.gov.ee
141.101.90.16,manage.e-resident.gov.ee
141.101.90.16,marketplace.e-resident.gov.ee
141.101.90.16,eelnoud.valitsus.ee
141.101.90.16,sitikas-test.valitsus.ee
141.101.90.16,sitikas-risk-test.valitsus.ee
141.101.90.16,sitikas.valitsus.ee
141.101.90.16,valitsus.ee
141.101.90.16,eelnoud.valitsus.ee
141.101.90.16,sitikas-risk-test.valitsus.ee
141.101.90.16,sitikas-risk.valitsus.ee
141.101.90.16,sitikas-risk.valitsus.ee
141.101.90.16,sitikas-test.valitsus.ee
141.101.90.16,sitikas.valitsus.ee
141.101.90.16,valitsus.ee
141.101.90.16,company.e-resident.gov.ee
141.101.90.16,manage.e-resident.gov.ee
141.101.90.16,marketplace.e-resident.gov.ee
141.101.90.17,eelnoud.valitsus.ee
141.101.90.17,sitikas-risk-test.valitsus.ee
141.101.90.17,sitikas-test.valitsus.ee
141.101.90.17,valitsus.ee
141.101.90.17,sitikas-risk.valitsus.ee
141.101.90.17,sitikas.valitsus.ee
141.101.90.17,company.e-resident.gov.ee
141.101.90.17,company.e-resident.gov.ee
141.101.90.17,manage.e-resident.gov.ee
141.101.90.17,manage.e-resident.gov.ee
141.101.90.17,marketplace.e-resident.gov.ee
141.101.90.17,eelnoud.valitsus.ee
141.101.90.17,sitikas-risk.valitsus.ee
141.101.90.17,sitikas-risk-test.valitsus.ee
141.101.90.17,sitikas-test.valitsus.ee
141.101.90.17,valitsus.ee
141.101.90.17,sitikas.valitsus.ee
141.101.90.17,sitikas-risk-test.valitsus.ee
141.101.90.17,eelnoud.valitsus.ee
141.101.90.17,sitikas-test.valitsus.ee
141.101.90.17,sitikas-risk.valitsus.ee
141.101.90.17,valitsus.ee
141.101.90.17,sitikas.valitsus.ee
141.101.90.17,manage.e-resident.gov.ee
141.101.90.17,marketplace.e-resident.gov.ee
141.101.90.17,company.e-resident.gov.ee
171.22.245.79,id-sitikas-test.valitsus.ee
171.22.245.79,sitikas-test1.valitsus.ee
171.22.245.79,id-sitikas-test.valitsus.ee
171.22.245.79,sitikas-test1.valitsus.ee
171.22.245.128,id-sitikas-demo.valitsus.ee
171.22.245.128,sitikas-demo.valitsus.ee
171.22.245.128,id-sitikas-demo.valitsus.ee
171.22.245.128,sitikas-demo.valitsus.ee
171.22.245.141,api.prelive.iamis.gov.ee
171.22.245.141,argo.prelive.iamis.gov.ee
171.22.245.141,aspire.prelive.iamis.gov.ee
171.22.245.141,pgadmin.prelive.iamis.gov.ee
171.22.245.141,prelive.iamis.gov.ee
171.22.245.141,scheduler.prelive.iamis.gov.ee
171.22.245.141,api.prelive.iamis.gov.ee
171.22.245.141,argo.prelive.iamis.gov.ee
171.22.245.141,aspire.prelive.iamis.gov.ee
171.22.245.141,prelive.iamis.gov.ee
