ip_address,domain
41.32.4.34,ermed.gov.eg
41.32.143.140,mail.meedco.gov.eg
41.33.0.34,mx.ipi.gov.eg
41.33.0.130,moss.gov.eg
41.33.0.130,rapidpro.moss.gov.eg
41.33.0.134,tk.moss.gov.eg
41.33.3.150,collab-edge.dnpp.gov.eg
41.33.3.150,dnpp.gov.eg
41.33.3.150,exp-e.dnpp.gov.eg
41.33.3.150,meet.dnpp.gov.eg
41.33.4.181,kfs.gov.eg
41.33.4.181,kfs.gov.eg
41.33.10.163,ueedc.gov.eg
41.33.10.163,ueedc.gov.eg
41.33.12.83,mped.gov.eg
41.33.13.66,mail.tamseel-ecs.gov.eg
41.33.13.66,mail.tamseel-ecs.gov.eg
41.33.13.71,mail2.tamseel-ecs.gov.eg
41.33.13.71,mail2.tamseel-ecs.gov.eg
41.33.13.73,mail.ecs.gov.eg
41.33.13.73,mail.ecs.gov.eg
41.33.13.74,ecs.gov.eg
41.33.13.74,tamseel-ecs.gov.eg
41.33.13.75,shams.ecs.gov.eg
41.33.20.194,www.ecensus.capmas.gov.eg
41.33.20.194,ecensus.capmas.gov.eg
41.33.20.195,census2017.capmas.gov.eg
41.33.20.195,www.census2017.capmas.gov.eg
41.33.20.196,capmas.gov.eg
41.33.20.196,geoportal.capmas.gov.eg
41.33.20.196,www.geoportal.capmas.gov.eg
41.33.20.197,capmastat.capmas.gov.eg
41.33.20.197,www.capmastat.capmas.gov.eg
41.33.22.70,darelkotob.gov.eg
41.33.25.21,dpa.gov.eg
41.33.25.21,dpa.gov.eg
41.33.25.22,cargo.dpa.gov.eg
41.33.25.25,mail.dpa.gov.eg
41.33.25.25,mail.dpa.gov.eg
41.33.25.26,webmail.dpa.gov.eg
41.33.25.30,eservice.dpa.gov.eg
41.33.25.30,mawany.gov.eg
41.33.25.30,mawany.gov.eg
41.33.25.45,dchc-cap.dpa.gov.eg
41.33.29.201,jp.gov.eg
41.33.30.133,autodiscover.ITDA.GOV.EG
41.33.30.133,Mail.itda.gov.eg
41.33.30.133,itda.gov.eg
41.33.30.133,mail.itda.gov.eg
41.33.30.133,Mail.itda.gov.eg
41.33.30.135,itda.gov.eg
41.33.30.135,www.itda.gov.eg
41.33.30.135,itda.gov.eg
41.33.30.135,itda.gov.eg
41.33.30.136,itda.gov.eg
41.33.30.137,bor.itda.gov.eg
41.33.30.137,www.bor.itda.gov.eg
41.33.31.227,owa.moe.gov.eg
41.33.31.241,mail1.moe.gov.eg
41.33.31.242,mail2.moe.gov.eg
41.33.31.243,sts.moe.gov.eg
41.33.31.246,mail1.moe.gov.eg
41.33.31.250,tdc2.moe.gov.eg
41.33.31.251,tdc3.moe.gov.eg
41.33.38.171,kayani.gov.eg
41.33.38.171,www.kayani.gov.eg
41.33.39.52,moj.gov.eg
41.33.39.52,moj.gov.eg
41.33.39.52,moj.gov.eg
41.33.40.146,eha.gov.eg
41.33.40.146,eha.gov.eg
41.33.41.18,jp.gov.eg
41.33.42.123,qastal.ldp.gov.eg
41.33.42.123,qastal.ldp.gov.eg
41.33.42.130,awkafegypt.gov.eg
41.33.43.235,ncedc.gov.eg
41.33.43.235,ncedc.gov.eg
41.33.45.73,www.basicict.gov.eg
41.33.45.73,www.basicict.gov.eg
41.33.45.73,www.basicict.gov.eg
41.33.45.75,www.idd.gov.eg
41.33.45.75,www.idd.gov.eg
41.33.45.194,uengagementportal.uhia.gov.eg
41.33.45.195,engagementportal.uhia.gov.eg
41.33.45.197,stg-cp.uhia.gov.eg
41.33.45.196,stg-pp.uhia.gov.eg
41.33.45.198,stg-sso.uhia.gov.eg
41.33.53.133,moi.gov.eg
41.33.53.133,moi.gov.eg
41.33.53.134,fei.moi.gov.eg
41.33.53.135,wpo.moi.gov.eg
41.33.53.136,cso.moi.gov.eg
41.33.53.136,cso.moi.gov.eg
41.33.53.136,moi.gov.eg
41.33.53.137,traffic.moi.gov.eg
41.33.53.137,traffic.moi.gov.eg
41.33.53.138,moi.gov.eg
41.33.53.138,publicservices.moi.gov.eg
41.33.53.141,acca.moi.gov.eg
41.33.53.143,emoves.moi.gov.eg
41.33.53.143,moi.gov.eg
41.33.53.144,touristmovements.moi.gov.eg
41.33.53.144,www.touristmovements.moi.gov.eg
41.33.53.144,touristmovements.moi.gov.eg
41.33.53.145,secassis.moi.gov.eg
41.33.53.147,gara.moi.gov.eg
41.33.53.150,services.moi.gov.eg
41.33.53.152,enationality.moi.gov.eg
41.33.53.152,moi.gov.eg
41.33.53.156,img.moi.gov.eg
41.33.54.65,banban.aswancity.gov.eg
41.33.54.65,west.aswancity.gov.eg
41.33.54.67,sonoinnovators.gov.eg
41.33.54.70,sonoheroes.gov.eg
41.33.55.162,minya.gov.eg
41.33.55.163,minya.gov.eg
41.33.55.163,minya.gov.eg
41.33.55.163,minya.gov.eg
41.33.55.165,mail.minya.gov.eg
41.33.55.165,mail.minya.gov.eg
41.33.55.165,minya.gov.eg
41.33.55.165,mail.minya.gov.eg
41.33.55.168,gis.minya.gov.eg
41.33.55.169,hayakarima.minya.gov.eg
41.33.55.169,minya.gov.eg
41.33.55.171,portal.minya.gov.eg
41.33.55.201,elec.eecourts.gov.eg
41.33.56.18,studea.emis.gov.eg
41.33.61.234,tansik.egypt.gov.eg
41.33.61.234,www.tansik.egypt.gov.eg
41.33.61.235,tansik.digital.gov.eg
41.33.61.235,www.tansik.digital.gov.eg
41.33.61.235,tansik.egypt.gov.eg
41.33.61.235,www.tansik.egypt.gov.eg
41.33.61.235,tansik.egypt.gov.eg
41.33.61.235,www.tansik.egypt.gov.eg
41.33.61.235,tansik.digital.gov.eg
41.33.61.235,www.tansik.digital.gov.eg
41.33.61.235,tansik.egypt.gov.eg
41.33.61.235,www.tansik.egypt.gov.eg
41.33.61.236,TANSIKNATIGA.DIGITAL.gov.eg
41.33.61.236,tansiknatiga.digital.gov.eg
41.33.61.236,www.tansiknatiga.digital.gov.eg
41.33.61.236,www.tansiknatiga.digital.gov.eg
41.33.61.236,tansiknatiga.digital.gov.eg
41.33.62.26,mail.cc.gov.eg
41.33.62.27,mail.cc.gov.eg
41.33.63.66,www.tansik.egypt.gov.eg
41.33.63.66,tansik.egypt.gov.eg
41.33.63.67,www.tansik.digital.gov.eg
41.33.63.67,tansik.digital.gov.eg
41.33.63.67,www.tansik.egypt.gov.eg
41.33.63.67,tansik.egypt.gov.eg
41.33.63.67,www.tansik.egypt.gov.eg
41.33.63.67,tansik.digital.gov.eg
41.33.63.67,tansik.egypt.gov.eg
41.33.63.67,tansik.egypt.gov.eg
41.33.63.67,www.tansik.digital.gov.eg
41.33.63.67,www.tansik.egypt.gov.eg
41.33.63.68,TANSIKNATIGA.DIGITAL.gov.eg
41.33.63.68,tansiknatiga.digital.gov.eg
41.33.63.68,www.tansiknatiga.digital.gov.eg
41.33.63.68,tansiknatiga.digital.gov.eg
41.33.63.68,www.tansiknatiga.digital.gov.eg
41.33.64.15,fpstats.mohp.gov.eg
41.33.64.16,takleef.mohp.gov.eg
41.33.64.55,sc.mohp.gov.eg
41.33.64.52,nmhp.mohp.gov.eg
41.33.64.58,mentalhealth.mohp.gov.eg
41.33.64.61,hitstc.mohp.gov.eg
41.33.64.68,db.egyboard.ehc.gov.eg
41.33.64.70,pge.mohp.gov.eg
41.33.64.84,mohp.gov.eg
