ip_address,domain
196.200.102.18,mtiserver1.mti.gov.er
196.200.102.26,mail.mlsw.gov.er
196.200.102.26,mlsw.gov.er
196.200.102.26,mail.mlsw.gov.er
196.200.102.50,server1.zobamaakel.gov.er
196.200.102.50,zobamaakel.gov.er
196.200.102.58,mail.mmr.gov.er
196.200.102.58,mail.mmr.gov.er
196.200.102.58,mmr.gov.er
196.200.102.94,server.din.gov.er
196.200.102.110,exchange.nso.gov.er
196.200.102.110,nso.gov.er
196.200.102.110,exchange.nso.gov.er
196.200.102.110,nso.gov.er
196.200.102.122,eisa.gov.er
196.200.102.122,eisaserver.eisa.gov.er
196.200.102.122,eisaserver.eisa.gov.er
196.200.102.126,server.mot.gov.er
196.200.102.150,server.mopw.gov.er
196.200.102.230,moa.gov.er
196.200.102.230,server.moa.gov.er
196.200.102.230,moa.gov.er
196.200.102.230,server.moa.gov.er
196.200.102.238,mof.gov.er
196.200.102.238,mof-1.mof.gov.er
196.200.102.238,mof-1.mof.gov.er
196.200.102.238,mof.gov.er
196.200.102.242,moem.gov.er
196.200.102.242,mainserver.moem.gov.er
196.200.103.170,consular-mailex.erica.gov.er
196.200.103.170,Consular-MAILEX.erica.gov.er
196.200.103.170,erica.gov.er
196.200.103.170,Consular-MAILEX.erica.gov.er
196.200.104.10,ip10.noc.gov.er
196.200.104.42,boe.gov.er
196.200.104.42,mail.boe.gov.er
196.200.104.42,server.boe.gov.er
196.200.104.42,server.boe.gov.er
196.200.104.46,mfa.gov.er
196.200.104.46,mfa-dc.mfa.gov.er
196.200.104.46,mfa.gov.er
196.200.104.46,mfa-dc.mfa.gov.er
196.200.104.90,moh.gov.er
196.200.104.90,mohserver1.moh.gov.er
196.200.104.90,mohserver1.moh.gov.er
40.65.199.91,mail.zena.gov.er
40.65.199.91,zena.gov.er
