ip_address,domain
35.71.131.197,publications.europa.eu
35.71.131.197,publications.europa.eu
35.71.131.197,formex.publications.europa.eu
35.71.131.197,publications.europa.eu
84.14.207.26,iam-idm.ecb.europa.eu
84.15.53.18,mail2.eige.europa.eu
84.15.53.18,ns2.eige.europa.eu
84.15.53.21,eige.europa.eu
84.15.53.27,3stepsforward.eige.europa.eu
84.15.53.27,eige.europa.eu
84.15.53.27,eige.europa.eu
84.15.53.27,eurogender-s.eige.europa.eu
84.15.53.27,eurogender.eige.europa.eu
84.15.53.27,experts.eige.europa.eu
84.15.53.27,genderequalityforum2022.eige.europa.eu
84.15.53.27,old.eige.europa.eu
84.15.53.30,eige.europa.eu
141.85.223.26,vpn.eccc.europa.eu
2a01:4f9:2a:2cea::23,webstats.cepol.europa.eu
2a01:7080:14:100::666:19,eeas.europa.eu
2a01:7080:14:100::666:20,e-justice.acceptance.europa.eu
2a01:7080:14:100::666:20,e-justice.europa.eu
2a01:7080:14:100::666:23,esentool.ted.europa.eu
2a01:7080:14:100::666:24,etendering.ted.europa.eu
2a01:7080:14:100::666:25,europa.eu
2a01:7080:14:100::666:25,www.europa.eu
2a01:7080:14:100::666:26,data.europa.eu
2a01:7080:14:100::666:27,publications.europa.eu
2a01:7080:14:100::666:29,acceptance.ec.europa.eu
2a01:7080:14:100::666:30,ec.europa.eu
2a01:7080:14:100::666:31,ec.europa.eu
2a01:7080:14:100::666:45,europa.eu
2a01:7080:14:100::666:45,www.europa.eu
2a01:7080:14:100::666:48,wbtted.publications.europa.eu
2a01:7080:14:100::666:58,ec.europa.eu
2a01:7080:14:100::666:76,vocbench.op.europa.eu
2a01:7080:14:100::666:78,tech.ec.europa.eu
2a01:7080:14:100::666:83,showvoc.op.europa.eu
2a01:7080:14:100::666:94,eurolib.europa.eu
2a01:7080:24:100::666:19,eeas.europa.eu
2a01:7080:24:100::666:20,e-justice.europa.eu
2a01:7080:24:100::666:20,e-justice.acceptance.europa.eu
2a01:7080:24:100::666:23,esentool.ted.europa.eu
2a01:7080:24:100::666:25,europa.eu
2a01:7080:24:100::666:24,etendering.ted.europa.eu
2a01:7080:24:100::666:25,www.europa.eu
2a01:7080:24:100::666:27,publications.europa.eu
2a01:7080:24:100::666:26,data.europa.eu
2a01:7080:24:100::666:29,acceptance.ec.europa.eu
2a01:7080:24:100::666:30,ec.europa.eu
2a01:7080:24:100::666:45,europa.eu
2a01:7080:24:100::666:48,wbtted.publications.europa.eu
2a01:7080:24:100::666:55,madb.europa.eu
2a01:7080:24:100::666:58,ec.europa.eu
2a01:7080:24:100::666:45,www.europa.eu
2a01:7080:24:100::666:78,tech.ec.europa.eu
2a01:7080:24:100::666:76,vocbench.op.europa.eu
2a01:7080:24:100::666:94,eurolib.europa.eu
141.94.105.157,crossposter.social.network.europa.eu
141.94.105.157,social.network.europa.eu
141.94.105.157,social.network.europa.eu
93.20.31.233,cpvo.europa.eu
93.20.31.234,revproxy.cpvo.europa.eu
93.20.31.235,cpvo.europa.eu
93.20.31.234,cpvo.europa.eu
93.20.31.235,revproxy2.cpvo.europa.eu
93.20.31.235,www.cpvo.europa.eu
93.20.31.236,out.cpvo.europa.eu
93.20.31.236,out.cpvo.europa.eu
141.101.90.96,adfs.csirt.enisa.europa.eu
141.101.90.96,ag.enisa.europa.eu
141.101.90.96,chat.csirt.enisa.europa.eu
141.101.90.96,enisa.europa.eu
141.101.90.96,nlos.enisa.europa.eu
141.101.90.96,portal.csirt.enisa.europa.eu
141.101.90.96,tools.enisa.europa.eu
141.101.90.96,www.enisa.europa.eu
141.101.90.96,chat.csirt.enisa.europa.eu
141.101.90.96,portal.csirt.enisa.europa.eu
141.101.90.96,csirtoos.csirt.enisa.europa.eu
141.101.90.97,adfs.csirt.enisa.europa.eu
141.101.90.97,ag.enisa.europa.eu
141.101.90.97,chat.csirt.enisa.europa.eu
141.101.90.97,enisa.europa.eu
141.101.90.97,nlos.enisa.europa.eu
141.101.90.97,portal.csirt.enisa.europa.eu
141.101.90.97,tools.enisa.europa.eu
141.101.90.97,www.enisa.europa.eu
2a02:cb40:200::1f9,mta-sts.ecb.europa.eu
141.101.90.97,chat.csirt.enisa.europa.eu
141.101.90.97,portal.csirt.enisa.europa.eu
141.101.90.97,csirtoos.csirt.enisa.europa.eu
2a06:98c1:58::61,adfs.csirt.enisa.europa.eu
141.101.90.98,adfs.csirt.enisa.europa.eu
141.101.90.98,ag.enisa.europa.eu
141.101.90.98,chat.csirt.enisa.europa.eu
141.101.90.98,enisa.europa.eu
141.101.90.98,nlos.enisa.europa.eu
141.101.90.98,tools.enisa.europa.eu
141.101.90.98,portal.csirt.enisa.europa.eu
141.101.90.98,www.enisa.europa.eu
141.101.90.98,chat.csirt.enisa.europa.eu
141.101.90.98,portal.csirt.enisa.europa.eu
141.101.90.98,csirtoos.csirt.enisa.europa.eu
141.101.90.99,adfs.csirt.enisa.europa.eu
141.101.90.99,chat.csirt.enisa.europa.eu
141.101.90.99,enisa.europa.eu
141.101.90.99,ag.enisa.europa.eu
141.101.90.99,portal.csirt.enisa.europa.eu
141.101.90.99,tools.enisa.europa.eu
141.101.90.99,nlos.enisa.europa.eu
141.101.90.99,www.enisa.europa.eu
141.101.90.99,chat.csirt.enisa.europa.eu
141.101.90.99,csirtoos.csirt.enisa.europa.eu
141.101.90.99,portal.csirt.enisa.europa.eu
85.10.128.219,code.europa.eu
35.156.56.68,eda.europa.eu
35.156.121.212,q.ppe.data.europa.eu
35.156.139.69,btn.frontex.europa.eu
35.156.198.163,eda.europa.eu
35.156.208.193,pesco.europa.eu
93.49.123.36,mockapetris.etf.europa.eu
93.49.123.44,mail.etf.europa.eu
93.49.123.47,notes1.etf.europa.eu
93.49.123.59,etf.europa.eu
93.49.123.60,etf.europa.eu
93.49.123.61,etf.europa.eu
35.156.227.59,flextool.easa.europa.eu
35.156.227.59,iamhub.easa.europa.eu
35.156.227.59,organisationapprovals.easa.europa.eu
35.156.227.59,connect.easa.europa.eu
35.156.234.161,websocketapi.dev.esurveillance.tech.ec.europa.eu
34.49.246.67,cor.europa.eu
34.49.246.67,cor.europa.eu
35.157.37.46,domibus-cyprus.acceptance.data.health.europa.eu
35.157.37.46,domibus-europe.acceptance.data.health.europa.eu
35.157.37.46,domibus-greece.acceptance.data.health.europa.eu
35.157.37.46,health-data-access.acceptance.data.health.europa.eu
35.157.37.46,health-data-auth.acceptance.data.health.europa.eu
35.157.37.46,health-data-dispatcher.acceptance.data.health.europa.eu
35.157.37.46,health-data-itb-rdf-validator.acceptance.data.health.europa.eu
35.157.37.46,piveau-hub-search.acceptance.data.health.europa.eu
35.157.37.46,virtuoso.acceptance.data.health.europa.eu
35.157.37.46,shadow-virtuoso.acceptance.data.health.europa.eu
35.157.39.195,eda.europa.eu
35.157.49.168,health-data-national-dispatcher.acceptance.data.health.europa.eu
35.157.49.168,health-data-national-dispatcher.acceptance.data.health.europa.eu
35.157.62.191,confluence.ecb.europa.eu
35.157.62.191,jira.ecb.europa.eu
35.157.62.191,www.jira.ecb.europa.eu
35.157.92.189,dpl.cis.consilium.europa.eu
35.157.97.246,idstore.myworkplace.services.ec.europa.eu
35.157.127.71,itb-test-services.dev.data.health.europa.eu
35.157.145.198,auth.smart-ths.europarl.europa.eu
35.157.145.198,backup.smart-ths.europarl.europa.eu
35.157.145.198,downloads.smart-ths.europarl.europa.eu
35.157.145.198,smart-ths.europarl.europa.eu
35.157.145.198,static.smart-ths.europarl.europa.eu
35.157.201.201,health-data-national-cyprus-dispatcher.dev.data.health.europa.eu
35.157.201.201,health-data-national-dispatcher.dev.data.health.europa.eu
35.157.201.201,piveau-hub-repo.dev.data.health.europa.eu
35.158.3.102,domibus-greece.qa.data.health.europa.eu
35.158.68.168,acc.ecdp.tech.ec.europa.eu
35.158.145.173,webanalytics.acc.fpfis.tech.ec.europa.eu
35.158.154.247,ehr-bff.dev.data.health.europa.eu
35.158.253.48,idstore.myworkplace.services.ec.europa.eu
35.159.4.181,national-dispatcher-itb.acceptance.data.health.europa.eu
141.145.113.5,iamtest.efsa.europa.eu
143.204.98.58,sparql.op-tech.publications.europa.eu
143.204.98.94,sparql.op-tech.publications.europa.eu
143.204.98.96,sparql.op-tech.publications.europa.eu
143.204.98.128,sparql.op-tech.publications.europa.eu
143.204.106.47,fishers.recreational-fishing.ec.europa.eu
143.204.106.68,fishers.recreational-fishing.ec.europa.eu
143.204.106.111,fishers.recreational-fishing.ec.europa.eu
143.204.106.118,fishers.recreational-fishing.ec.europa.eu
143.204.160.19,datadump.op-tech.publications.europa.eu
143.204.160.49,datadump.op-tech.publications.europa.eu
143.204.160.63,datadump.op-tech.publications.europa.eu
143.204.160.96,datadump.op-tech.publications.europa.eu
143.204.176.3,qfng.acc.ocean-store.tech.ec.europa.eu
143.204.176.36,qfng.acc.ocean-store.tech.ec.europa.eu
143.204.176.107,qfng.acc.ocean-store.tech.ec.europa.eu
143.204.176.117,qfng.acc.ocean-store.tech.ec.europa.eu
87.54.7.2,walrus.eea.europa.eu
87.54.7.3,koala.eea.europa.eu
87.54.7.2,ns0.eea.europa.eu
87.54.7.2,walrus.eea.europa.eu
87.54.7.3,ns1.eea.europa.eu
87.54.7.4,ironport1.eea.europa.eu
