ip_address,domain
143.204.237.11,cdn.verkkopalvelu.suomi.fi
143.204.237.20,cdn.verkkopalvelu.suomi.fi
143.204.237.68,cdn.verkkopalvelu.suomi.fi
143.204.237.103,cdn.verkkopalvelu.suomi.fi
108.128.44.131,green.sisallonhallinta.www.dev.suomi.fi
108.128.44.131,blue.sisallonhallinta.www.dev.suomi.fi
108.128.68.93,viestilomake.qa.suomi.fi
108.128.69.30,core.sfim.suomi.fi
108.128.103.49,core.sfim.qa.suomi.fi
108.128.109.88,iri.suomi.fi
108.128.109.88,rhp.suomi.fi
108.128.109.88,sanastot.suomi.fi
108.128.109.88,tietomallit.suomi.fi
108.128.109.88,uri.suomi.fi
108.128.109.88,koodistot.suomi.fi
108.128.109.88,yhteentoimiva.suomi.fi
108.128.135.184,sfim.dev.suomi.fi
108.128.139.153,sisallonhallinta.verkkopalvelu.suomi.fi
108.139.119.26,designsystem.suomi.fi
108.139.119.33,designsystem.suomi.fi
108.139.119.35,designsystem.suomi.fi
108.139.119.40,designsystem.suomi.fi
108.139.210.10,designsystem.suomi.fi
108.139.210.58,designsystem.suomi.fi
108.139.210.62,designsystem.suomi.fi
108.139.210.75,designsystem.suomi.fi
108.157.214.57,cdn.verkkopalvelu.suomi.fi
108.157.214.61,cdn.verkkopalvelu.suomi.fi
108.157.214.82,cdn.verkkopalvelu.suomi.fi
108.157.214.110,cdn.verkkopalvelu.suomi.fi
108.157.229.30,designsystem.suomi.fi
108.157.229.95,designsystem.suomi.fi
108.157.229.125,designsystem.suomi.fi
108.157.229.127,designsystem.suomi.fi
108.157.254.102,auth.messages-dev.suomi.fi
108.157.254.120,auth.messages-dev.suomi.fi
108.157.254.125,auth.messages-dev.suomi.fi
108.157.254.127,auth.messages-dev.suomi.fi
108.158.213.11,cdn.www.qa.suomi.fi
108.158.213.63,cdn.www.qa.suomi.fi
108.158.213.65,cdn.www.qa.suomi.fi
108.158.213.120,cdn.www.qa.suomi.fi
193.166.25.90,www.palveluhallinta.test.suomi.fi
193.166.25.90,palveluhallinta.test.suomi.fi
131.207.15.49,api.sevi.suomi.fi
131.207.15.227,beta-admin.qa.suomi.fi
131.207.15.228,admin.suomi.fi
131.207.15.228,beta-admin.suomi.fi
131.207.16.1,todistukset.suomi.fi
131.207.16.14,nimenmuutos.suomi.fi
131.207.16.14,www.nimenmuutos.suomi.fi
131.207.22.27,portti.suomi.fi
131.207.22.27,portti.suomi.fi
131.207.22.65,beta-sso.suomi.fi
131.207.22.66,tunnistaminen.suomi.fi
131.207.22.65,beta.suomi.fi
131.207.22.69,beta-sso.qa.suomi.fi
131.207.22.75,beta-content.qa.suomi.fi
131.207.22.71,tunnistaminen.qa.suomi.fi
131.207.22.199,palveluhallinta.qa.suomi.fi
131.207.22.199,www.palveluhallinta.qa.suomi.fi
131.207.22.200,palveluhallinta.suomi.fi
131.207.22.200,www.palveluhallinta.suomi.fi
54.72.43.179,grafana.sfim.qa.suomi.fi
54.72.50.214,admin.www.dev.suomi.fi
54.72.85.153,vaha.www.qa.suomi.fi
54.72.107.148,grafana.www.dev.suomi.fi
54.72.107.148,admin.www.dev.suomi.fi
54.72.115.251,grafana.sfim.qa.suomi.fi
54.72.182.180,dev.avoindata.suomi.fi
54.72.193.230,auroraai.suomi.fi
54.72.196.25,sisallonhallinta.verkkopalvelu.suomi.fi
54.74.28.39,tunnistautuminen.qa.suomi.fi
54.75.16.128,www.dev.suomi.fi
54.75.42.228,grafana.www.dev.suomi.fi
54.75.254.243,tunnistautuminen.suomi.fi
54.76.3.14,green.viestilomake.www.dev.suomi.fi
54.76.3.14,blue.viestilomake.www.dev.suomi.fi
54.76.18.17,auroraai.qa.suomi.fi
54.76.27.243,vaha.www.dev.suomi.fi
54.76.71.245,core.sfim.qa.suomi.fi
54.76.72.213,api.palvelutietovaranto.trn.suomi.fi
54.76.91.145,palveluhallinta.suomi.fi
54.76.96.17,sfim.dev.suomi.fi
54.76.101.234,sisallonhallinta.www.dev.suomi.fi
54.76.107.142,sfim.qa.suomi.fi
54.76.149.5,sisallonhallinta.verkkopalvelu.suomi.fi
54.76.235.241,admin.www.qa.suomi.fi
54.76.249.66,kehittajille.www.dev.suomi.fi
54.77.17.35,viestilomake.qa.suomi.fi
54.77.19.55,grafana.sfim.qa.suomi.fi
54.77.57.12,grafana.sfim.qa.suomi.fi
54.77.102.130,gradle.www.dev.suomi.fi
54.77.106.226,admin.verkkopalvelu.suomi.fi
54.77.135.141,grafana.www.dev.suomi.fi
54.77.177.13,palveluhallinta.suomi.fi
54.77.203.8,kommentit.suomi.fi
54.77.203.8,koodistot.suomi.fi
54.77.203.8,sanastot.suomi.fi
54.77.203.8,rhp.suomi.fi
54.77.203.8,tietomallit.suomi.fi
54.77.203.8,yhteentoimiva.suomi.fi
54.77.203.8,uri.suomi.fi
54.77.212.233,iri.suomi.fi
54.77.212.233,kommentit.suomi.fi
