ip_address,domain
151.101.65.195,carefijiportal.digitalfiji.gov.fj
151.101.65.195,carefijiportal.digitalfiji.gov.fj
151.101.65.195,carefijiportal.digitalfiji.gov.fj
35.213.167.23,judiciary.gov.fj
35.213.167.23,staging4.staging1.judiciary.gov.fj
35.213.167.23,judiciary.gov.fj
35.213.167.23,staging4.staging1.judiciary.gov.fj
35.213.167.23,judiciary.gov.fj
35.213.167.23,staging4.staging1.judiciary.gov.fj
66.29.212.65,reservebank.gov.fj
66.96.140.138,mx.ag.gov.fj
66.96.140.138,mx.fiji.gov.fj
66.96.140.138,mx.fijifiu.gov.fj
66.96.140.139,mx.ag.gov.fj
66.96.140.139,mx.fiji.gov.fj
66.96.140.139,mx.fijifiu.gov.fj
66.96.144.20,webmail.ag.gov.fj
66.96.144.190,cpanel.ag.gov.fj
66.96.144.190,documents.ag.gov.fj
66.96.144.190,cpcontacts.ag.gov.fj
66.96.144.190,mail.ag.gov.fj
66.96.144.190,webdisk.ag.gov.fj
66.96.144.190,mail.fiji.gov.fj
216.55.181.132,events.oag.gov.fj
216.55.181.132,events.sugar.gov.fj
216.55.185.46,parliament.gov.fj
216.55.185.46,www.parliament.gov.fj
216.55.185.221,vms.finance.gov.fj
216.55.185.221,www.finance.gov.fj
216.55.185.221,finance.gov.fj
216.128.27.87,psc.gov.fj
45.60.22.85,mcttt.gov.fj
45.60.22.85,www.mcttt.gov.fj
45.60.23.85,mcttt.gov.fj
45.60.23.85,www.mcttt.gov.fj
45.60.24.85,mcttt.gov.fj
45.60.24.85,www.mcttt.gov.fj
45.60.25.85,mcttt.gov.fj
45.60.25.85,www.mcttt.gov.fj
45.60.26.85,www.mcttt.gov.fj
45.60.26.85,mcttt.gov.fj
45.60.97.199,mcttt.gov.fj
45.60.98.85,mcttt.gov.fj
45.60.98.85,www.mcttt.gov.fj
188.114.96.3,mlmr.gov.fj
188.114.96.3,www.mlmr.gov.fj
54.153.132.85,laws.gov.fj
54.153.224.209,laws.gov.fj
188.114.96.4,mlmr.gov.fj
66.226.73.181,corrections.gov.fj
66.226.73.181,corrections.gov.fj
66.226.73.181,www.corrections.gov.fj
66.226.73.181,www.corrections.gov.fj
66.226.73.181,www.culture.gov.fj
66.226.73.181,finance.gov.fj
66.226.73.181,www.finance.gov.fj
66.226.73.181,flrc.gov.fj
