ip_address,domain
85.159.208.210,status.dev.gov.fk
188.114.96.1,www.assembly.gov.fk
188.114.96.1,customs.gov.fk
188.114.96.1,assembly.fig.gov.fk
160.153.234.31,brexitfalklands.gov.fk
160.153.234.31,www.brexitfalklands.gov.fk
160.153.234.31,courts.gov.fk
160.153.234.31,courts.gov.fk
160.153.234.31,www.courts.gov.fk
160.153.234.31,dl.nationalarchives.gov.fk
160.153.234.31,police.gov.fk
160.153.234.31,www.police.gov.fk
160.153.234.31,www.courts.gov.fk
160.153.234.31,police.gov.fk
160.153.234.31,courts.gov.fk
160.153.234.31,www.police.gov.fk
160.153.250.127,falklands.gov.fk
160.153.250.127,fig.gov.fk
160.153.250.127,www.fig.gov.fk
160.153.250.127,www.falklands.gov.fk
160.153.250.127,nationalarchives.gov.fk
160.153.250.127,www.nationalarchives.gov.fk
160.153.250.127,nationalarchives.gov.fk
160.153.250.127,www.nationalarchives.gov.fk
188.114.96.2,customs.gov.fk
188.114.96.2,www.customs.gov.fk
188.114.96.3,assembly.gov.fk
188.114.96.3,www.assembly.gov.fk
188.114.96.3,customs.gov.fk
188.114.96.3,assembly.gov.fk
188.114.96.3,www.assembly.gov.fk
188.114.96.3,www.customs.gov.fk
188.114.96.4,assembly.gov.fk
188.114.96.5,www.assembly.gov.fk
188.114.96.6,assembly.gov.fk
188.114.96.7,assembly.gov.fk
81.144.255.234,autodiscover.falklands.gov.fk
81.144.255.234,mail.falklands.gov.fk
81.144.255.234,mail.falklands.gov.fk
81.144.255.234,mail.falklands.gov.fk
188.114.96.8,customs.gov.fk
192.168.61.22,kemh.gov.fk
188.114.96.11,assembly.gov.fk
188.114.96.11,www.assembly.gov.fk
188.114.96.11,customs.gov.fk
188.114.97.1,www.assembly.gov.fk
188.114.97.1,customs.gov.fk
188.114.97.1,assembly.fig.gov.fk
188.114.97.2,customs.gov.fk
188.114.97.2,www.customs.gov.fk
188.114.97.3,assembly.gov.fk
188.114.97.3,www.assembly.gov.fk
188.114.97.3,customs.gov.fk
188.114.97.3,assembly.gov.fk
188.114.97.3,www.assembly.gov.fk
188.114.97.3,www.customs.gov.fk
188.114.97.4,assembly.gov.fk
188.114.97.5,www.assembly.gov.fk
13.91.111.99,publishing.legislation.gov.fk
13.91.111.99,publishing.legislation.gov.fk
13.91.111.99,publishing.legislation.gov.fk
188.114.97.6,assembly.gov.fk
188.114.97.7,assembly.gov.fk
188.114.97.8,customs.gov.fk
188.114.97.11,www.assembly.gov.fk
188.114.97.11,assembly.gov.fk
188.114.97.11,customs.gov.fk
188.114.98.228,www.gov.fk
188.114.98.230,falklands.gov.fk
188.114.98.232,falklands.gov.fk
188.114.98.233,falklands.gov.fk
188.114.98.235,assembly.fig.gov.fk
188.114.99.228,www.gov.fk
188.114.99.230,falklands.gov.fk
188.114.99.232,falklands.gov.fk
188.114.99.233,falklands.gov.fk
188.114.99.235,assembly.fig.gov.fk
109.74.196.54,api.ci.gov.fk
109.74.199.74,landscape.dev.gov.fk
109.74.202.233,git.dev.gov.fk
104.21.5.166,ci.gov.fk
104.21.5.166,app.ci.gov.fk
104.21.5.196,vsat.gov.fk
104.21.5.196,vsat.gov.fk
104.21.9.176,assembly.gov.fk
104.21.9.176,www.assembly.gov.fk
104.21.9.176,www.assembly.gov.fk
104.21.9.176,assembly.gov.fk
31.25.191.164,jobs.gov.fk
31.25.191.164,www.jobs.gov.fk
139.162.223.72,stats.ci.gov.fk
139.162.248.101,test.fig.gov.fk
213.219.38.132,permits.ci.gov.fk
178.79.141.236,app.ci.gov.fk
178.79.150.199,gov.fk
104.21.20.253,courts.gov.fk
104.21.20.253,list.courts.gov.fk
104.21.38.224,planning.gov.fk
104.21.38.224,planning.gov.fk
104.21.38.224,planning.gov.fk
