ip_address,domain
34.1.0.152,connect.staging1.iacc.pni.transports.gouv.fr
34.1.0.152,portal.staging1.iacc.pni.transports.gouv.fr
34.1.3.230,connect.pni.transports.gouv.fr
34.1.3.241,gsia.portail-immo.gouv.fr
34.1.3.241,my.gsia.portail-immo.gouv.fr
34.1.4.20,admin.pprod-gsia.portail-immo.gouv.fr
34.1.4.20,certauth.pprod-gsia.portail-immo.gouv.fr
34.1.4.20,api.pprod-gsia.portail-immo.gouv.fr
34.1.3.15,connect.dev1.dev.pni.transports.gouv.fr
34.1.3.15,portal.dev1.dev.pni.transports.gouv.fr
34.1.3.41,admin.pprod-gsia.portail-immo.gouv.fr
34.1.3.41,certauth.pprod-gsia.portail-immo.gouv.fr
34.1.3.41,api.pprod-gsia.portail-immo.gouv.fr
34.1.3.41,sso.pprod-gsia.portail-immo.gouv.fr
34.1.7.48,connect.partenaire1.eacc.pni.transports.gouv.fr
34.1.13.209,admin.gsia.portail-immo.gouv.fr
34.1.13.209,certauth.gsia.portail-immo.gouv.fr
34.1.13.209,api.gsia.portail-immo.gouv.fr
34.1.13.209,sso.gsia.portail-immo.gouv.fr
34.1.13.209,api.gsia.portail-immo.gouv.fr
34.1.13.209,admin.gsia.portail-immo.gouv.fr
34.1.13.209,certauth.gsia.portail-immo.gouv.fr
34.1.13.229,my.pprod-gsia.portail-immo.gouv.fr
34.1.13.229,pprod-gsia.portail-immo.gouv.fr
34.1.13.243,connect.preprod1.eacc.pni.transports.gouv.fr
34.1.12.93,connect.recette1.eacc.pni.transports.gouv.fr
2a00:b6e0:1:20:9::1,catalogue.numerique.gouv.fr
35.71.142.77,boris.beta.gouv.fr
84.14.13.142,lbdsn.gouv.fr
84.14.101.238,ocsp.igcv3.certificats.banque-france.fr
84.14.101.239,cert.igcv3.certificats.banque-france.fr
84.14.101.239,crl.igcv3.certificats.banque-france.fr
84.14.101.239,pc.igcv3.certificats.banque-france.fr
84.14.101.239,cert.igcv3.certificats.banque-france.fr
84.14.101.239,crl.igcv3.certificats.banque-france.fr
84.14.101.239,pc.igcv3.certificats.banque-france.fr
84.14.103.81,cert.igcv3.certificats.banque-france.fr
84.14.103.81,pc.igcv3.certificats.banque-france.fr
84.14.103.81,cert.igcv3.certificats.banque-france.fr
84.14.103.81,pc.igcv3.certificats.banque-france.fr
84.14.207.18,mail2.acpr.banque-france.fr
84.14.207.18,mail2.acpr.banque-france.fr
84.14.207.18,acpr.banque-france.fr
84.14.207.18,banque-france.fr
84.14.207.18,mail1.acpr.banque-france.fr
