ip_address,domain
143.244.183.214,cbs.grenada.gov.gd
72.51.66.158,caipo.gov.gd
72.51.81.19,mail.gov.gd
45.76.82.155,climateresilience.gov.gd
45.76.82.155,audit.gov.gd
45.76.82.155,www.climateresilience.gov.gd
45.76.82.155,dta.gov.gd
45.76.82.155,llca.gov.gd
45.76.82.155,llca.gov.gd
45.76.82.155,stats.gov.gd
45.76.82.155,audit.gov.gd
45.76.82.155,climateresilience.gov.gd
45.76.82.155,www.climateresilience.gov.gd
45.76.82.155,llca.gov.gd
45.77.39.110,totobeta.cbi.gov.gd
45.77.39.110,totobeta.cbi.gov.gd
45.77.39.110,totobeta.laws.gov.gd
216.170.124.201,sea.gov.gd
216.170.124.201,cpanel.sea.gov.gd
216.170.124.201,cpcalendars.sea.gov.gd
216.170.124.201,cpcontacts.sea.gov.gd
216.170.124.201,sea.gov.gd
216.170.124.201,webdisk.sea.gov.gd
216.170.124.201,webmail.sea.gov.gd
216.170.124.201,sea.gov.gd
66.235.200.146,cannabiscommission.gov.gd
66.235.200.146,cannabiscommission.gov.gd
66.235.200.146,cannabiscommission.gov.gd
68.183.121.179,learn.grenadacbs.gov.gd
8.6.112.0,creativeaffairs.gov.gd
8.6.112.0,portal.creativeaffairs.gov.gd
8.6.112.0,api.gea.gov.gd
8.6.112.4,admin.elandregistry.gov.gd
8.6.112.4,portal.creativeaffairs.gov.gd
8.6.112.6,portal.aml.gov.gd
8.6.112.6,admin.elandregistry.gov.gd
8.6.112.6,dg4r.gov.gd
8.6.112.6,dg4r.gov.gd
8.6.112.6,gea.gov.gd
8.6.112.6,infosafe.gov.gd
8.6.112.6,publiclibrary.gov.gd
8.6.112.6,www.saep.gov.gd
8.6.112.9,minio.gea.gov.gd
8.6.112.9,edcard.immigration.gov.gd
8.14.136.158,dmvmis.gov.gd
8.14.136.158,dmvmis.gov.gd
8.14.136.158,dmvmis.gov.gd
199.83.199.2,www.eservices.gov.gd
199.83.199.3,www.eservices.gov.gd
199.83.199.6,www.eservices.gov.gd
199.83.199.4,www.eservices.gov.gd
199.127.197.36,plmis.gov.gd
199.127.197.38,ocrs.gov.gd
199.127.197.99,grenadaaeoitest.gov.gd
199.127.197.100,grenadaaeoi.gov.gd
199.127.197.100,www.grenadaaeoi.gov.gd
199.127.197.100,grenadaaeoi.gov.gd
199.127.197.110,seedmis.gov.gd
199.127.197.110,www.seedmis.gov.gd
199.127.197.112,www.genihciis.gov.gd
199.127.197.113,edge.gov.gd
199.127.197.113,edge.gov.gd
199.127.197.116,mail.gov.gd
199.127.197.117,dmvmis.gov.gd
