ip_address,domain
141.95.126.89,autodiscover.boulevard.gov.ge
141.95.126.89,boulevard.gov.ge
141.95.126.89,cpanel.boulevard.gov.ge
141.95.126.89,cpcalendars.boulevard.gov.ge
141.95.126.89,cpcontacts.boulevard.gov.ge
141.95.126.89,webdisk.boulevard.gov.ge
141.95.126.89,webmail.boulevard.gov.ge
141.95.126.89,autodiscover.keda.gov.ge
141.95.126.89,cpanel.keda.gov.ge
141.95.126.89,cpcalendars.keda.gov.ge
141.95.126.89,cpcontacts.keda.gov.ge
141.95.126.89,keda.gov.ge
141.95.126.89,keda.ge.keda.gov.ge
141.95.126.89,new.keda.gov.ge
141.95.126.89,webdisk.keda.gov.ge
141.95.126.89,webmail.keda.gov.ge
141.95.126.89,www.keda.ge.keda.gov.ge
141.95.126.89,www.new.keda.gov.ge
141.95.126.89,autodiscover.khelvachauri.gov.ge
141.95.126.89,cpanel.khelvachauri.gov.ge
141.95.126.89,cpcalendars.khelvachauri.gov.ge
141.95.126.89,cpcontacts.khelvachauri.gov.ge
141.95.126.89,webdisk.khelvachauri.gov.ge
141.95.126.89,khelvachauri.gov.ge
141.95.126.89,webmail.khelvachauri.gov.ge
85.117.41.3,akhalkalaki.gov.ge
85.117.41.3,autodiscover.akhalkalaki.gov.ge
85.117.41.3,cpanel.akhalkalaki.gov.ge
85.117.41.3,cpcontacts.akhalkalaki.gov.ge
85.117.41.3,webmail.akhalkalaki.gov.ge
85.117.41.3,webdisk.akhalkalaki.gov.ge
85.117.41.3,cpcalendars.akhalkalaki.gov.ge
85.117.41.3,spatialforum.gov.ge
85.117.41.3,akhalkalaki.gov.ge
85.117.41.3,spatialforum.gov.ge
85.118.99.102,vpn.dop.gov.ge
85.118.99.124,mx1.gov.ge
85.118.104.12,mx2.mea.gov.ge
85.118.104.11,mx1.mea.gov.ge
85.118.108.28,ns1.dop.gov.ge
85.118.108.29,mail.moc.gov.ge
85.118.108.29,mail.moc.gov.ge
85.118.108.31,mx3.moc.gov.ge
85.118.108.30,mx1.moc.gov.ge
85.118.108.31,mx3.moc.gov.ge
85.118.108.222,ort.moc.gov.ge
35.206.163.58,eresources.tcj.gov.ge
35.206.163.58,eresources.tcj.gov.ge
23.49.56.181,www.forum.hrajara.gov.ge
184.174.38.108,journal.archives-ajara.gov.ge
184.174.38.108,www.journal.archives-ajara.gov.ge
184.174.38.108,journal.archives-ajara.gov.ge
184.174.38.108,www.journal.archives-ajara.gov.ge
93.188.8.10,georoad.gov.ge
93.188.13.227,mail.mrdi.gov.ge
151.106.103.23,art.gov.ge
151.106.103.23,mail.art.gov.ge
151.106.103.23,www.art.gov.ge
151.106.103.23,art.gov.ge
151.106.103.23,www.art.gov.ge
151.106.103.23,mail.art.gov.ge
108.167.172.172,bolnisi.gov.ge
108.167.172.172,autodiscover.bolnisi.gov.ge
108.167.172.172,cpcalendars.bolnisi.gov.ge
108.167.172.172,cpcontacts.bolnisi.gov.ge
108.167.172.172,bolnisi.gov.ge
108.167.172.172,mail.bolnisi.gov.ge
108.167.172.172,webdisk.bolnisi.gov.ge
108.167.172.172,www.satesto.dmanisi.gov.ge
108.167.172.172,dmanisi.gov.ge
108.167.172.172,autodiscover.dmanisi.gov.ge
108.167.172.172,cpcalendars.dmanisi.gov.ge
108.167.172.172,cpcontacts.dmanisi.gov.ge
108.167.172.172,dmanisi.gov.ge
108.167.172.172,mail.dmanisi.gov.ge
108.167.172.172,webdisk.dmanisi.gov.ge
108.167.172.172,www.satesto.dmanisi.gov.ge
108.167.172.172,autodiscover.gardabani.gov.ge
108.167.172.172,cpcalendars.gardabani.gov.ge
108.167.172.172,cpcontacts.gardabani.gov.ge
108.167.172.172,mail.gardabani.gov.ge
108.167.172.172,webdisk.gardabani.gov.ge
108.167.172.172,mail2.gardabani.gov.ge
108.167.172.172,www.mail2.gardabani.gov.ge
108.167.172.172,gardabani.gov.ge
108.167.172.172,www.tetritskaro.gov.ge
108.167.172.172,tsalka.gov.ge
108.167.172.172,autodiscover.tsalka.gov.ge
108.167.172.172,cpcalendars.tsalka.gov.ge
108.167.172.172,tetritskaro.gov.ge
108.167.172.172,cpcontacts.tsalka.gov.ge
108.167.172.172,mail.tsalka.gov.ge
108.167.172.172,tsalka.gov.ge
108.167.172.172,webdisk.tsalka.gov.ge
108.167.172.172,www.mail.tsalka.gov.ge
108.167.172.172,bolnisi.gov.ge
108.167.172.172,autodiscover.dmanisi.gov.ge
108.167.172.172,cpcalendars.dmanisi.gov.ge
108.167.172.172,cpcontacts.dmanisi.gov.ge
108.167.172.172,dmanisi.gov.ge
108.167.172.172,www.satesto.dmanisi.gov.ge
108.167.172.172,mail.dmanisi.gov.ge
108.167.172.172,gardabani.gov.ge
108.167.172.172,www.mail2.gardabani.gov.ge
108.167.172.172,tetritskaro.gov.ge
108.167.172.172,www.tetritskaro.gov.ge
108.167.172.172,tsalka.gov.ge
193.176.212.50,edge.mrdi.gov.ge
193.176.212.50,edge.mrdi.gov.ge
193.176.212.51,mrdi.gov.ge
193.176.212.51,mx01.mrdi.gov.ge
193.176.212.51,mx01.mrdi.gov.ge
193.176.212.52,mx02.mrdi.gov.ge
193.176.212.52,mrdi.gov.ge
193.176.212.52,mx02.mrdi.gov.ge
193.176.212.99,gsc.gov.ge
193.176.212.99,mail.gsc.gov.ge
193.176.212.99,autoconfig.gsc.gov.ge
193.176.212.99,autodiscover.gsc.gov.ge
193.176.212.99,mta-sts.gsc.gov.ge
193.176.212.99,mail.gsc.gov.ge
193.176.212.227,autodiscover.es.gov.ge
193.176.212.227,mail.es.gov.ge
193.176.212.230,es.gov.ge
193.176.212.230,confluence.es.gov.ge
193.176.212.230,es.gov.ge
193.176.212.230,mentor.es.gov.ge
193.176.212.230,es.gov.ge
193.176.212.227,mail.es.gov.ge
193.176.212.230,mentor.es.gov.ge
88.99.141.188,gpvc.srca.gov.ge
85.209.80.27,tcc.gov.ge
85.209.80.27,www.tcc.gov.ge
85.209.82.24,kutaisiappeal.court.gov.ge
85.209.82.24,kutaisiappeal.court.gov.ge
85.209.82.24,www.kutaisiappeal.court.gov.ge
85.209.82.31,hcoj.gov.ge
85.209.82.31,www.hcoj.gov.ge
85.209.82.31,hcoj.gov.ge
85.209.82.31,hcoj.gov.ge
85.209.82.35,applicant.hcoj.gov.ge
85.209.82.37,memberspage.hcoj.gov.ge
85.209.82.37,memberspage.hcoj.gov.ge
87.251.67.227,mkcla.gori.gov.ge
87.251.67.227,mnack.gori.gov.ge
87.251.67.227,gie.gori.gov.ge
87.251.67.227,pnnic.gori.gov.ge
87.251.67.227,anckrl.gori.gov.ge
87.253.42.244,cpanel.fsa.gov.ge
87.253.42.244,cpcalendars.fsa.gov.ge
87.253.42.244,cpcontacts.fsa.gov.ge
87.253.42.244,fsa.gov.ge
87.253.42.244,webdisk.fsa.gov.ge
87.253.42.244,garemo-adjara.gov.ge
87.253.42.244,webmail.fsa.gov.ge
87.253.42.244,mail.sakpatenti.gov.ge
87.253.42.244,fsa.gov.ge
87.253.42.244,garemo-adjara.gov.ge
87.253.47.113,saagento.security.gov.ge
87.253.48.5,mail.security.gov.ge
87.253.48.25,mail.mia.gov.ge
87.253.63.97,mail.psg.gov.ge
87.253.63.98,www.psg.gov.ge
87.253.63.99,mail.pog.gov.ge
87.253.63.100,mail.justice.gov.ge
87.253.63.104,justice.gov.ge
87.253.63.109,mx.justice.gov.ge
87.253.63.112,cyrus.justice.gov.ge
87.253.63.238,mail.statistics.gov.ge
45.8.36.196,covidpass.moh.gov.ge
45.8.38.80,atipfund.gov.ge
45.8.38.80,www.atipfund.gov.ge
45.8.38.80,idp.gov.ge
45.8.38.80,autodiscover.ita.gov.ge
45.8.38.80,ita.gov.ge
45.8.38.80,mra.gov.ge
45.8.38.80,nha.gov.ge
45.8.38.80,scoring.mra.gov.ge
45.8.38.80,www.mra.gov.ge
45.8.38.80,www.nha.gov.ge
45.8.38.80,www.idp.gov.ge
45.8.38.80,childcare.ssa.gov.ge
45.8.38.80,chronicdrugs.ssa.gov.ge
45.8.38.80,daycare.ssa.gov.ge
45.8.38.80,hm.ssa.gov.ge
45.8.38.80,ssa.gov.ge
45.8.38.80,www.ssa.gov.ge
45.8.38.80,worknet.gov.ge
45.8.38.80,www.worknet.gov.ge
45.8.38.100,mail.moh.gov.ge
45.8.38.113,mattermostauth.moh.gov.ge
45.8.38.139,elimination.moh.gov.ge
45.8.38.114,mattermost.moh.gov.ge
45.8.38.139,prescription.moh.gov.ge
45.8.38.145,kobo.moh.gov.ge
45.8.38.145,koboee.moh.gov.ge
45.8.38.145,kobo.moh.gov.ge
45.8.38.145,kobokc.moh.gov.ge
45.8.38.145,koboee.moh.gov.ge
45.8.38.145,kobo.moh.gov.ge
45.8.38.145,kobokc.moh.gov.ge
45.8.38.145,koboee.moh.gov.ge
45.8.38.145,kobokc.moh.gov.ge
45.8.38.150,classifications.moh.gov.ge
45.8.38.150,vital.moh.gov.ge
45.8.38.150,statistics.moh.gov.ge
45.8.38.160,labour.gov.ge
