ip_address,domain
108.128.24.154,revenueservice.gov.gg
108.128.146.211,revenueservice.gov.gg
108.138.36.38,assets.revenueservice.gov.gg
108.138.36.99,assets.revenueservice.gov.gg
108.138.36.111,assets.revenueservice.gov.gg
108.138.36.121,assets.revenueservice.gov.gg
108.138.51.78,assets.revenueservice.gov.gg
108.138.51.94,assets.revenueservice.gov.gg
108.138.51.101,assets.revenueservice.gov.gg
108.138.51.103,assets.revenueservice.gov.gg
108.156.184.8,assets.revenueservice.gov.gg
108.156.184.26,assets.revenueservice.gov.gg
108.156.184.64,assets.revenueservice.gov.gg
108.156.184.100,assets.revenueservice.gov.gg
88.81.151.144,www.eforms.gov.gg
23.185.0.2,business-support.gov.gg
23.185.0.2,localtesting.gov.gg
23.185.0.2,traveltracker.gov.gg
54.154.225.144,revenueservice.gov.gg
52.16.153.254,revenueservice.gov.gg
52.19.46.156,revenueservice.gov.gg
52.19.132.93,revenueservice.gov.gg
10.208.9.12,peh-cr1-pan-01.hssd.int.gov.gg
10.208.9.12,peh-cr1-pan-01.hssd.int.gov.gg
10.208.9.13,peh-cr2-pan-02.hssd.int.gov.gg
10.208.9.13,peh-cr2-pan-02.hssd.int.gov.gg
10.208.9.16,peh-cr1-psn-01.hssd.int.gov.gg
34.240.117.81,revenueservice.gov.gg
34.240.117.81,revenueservice.gov.gg
34.242.168.1,revenueservice.gov.gg
34.242.197.125,revenueservice.gov.gg
65.8.164.9,assets.revenueservice.gov.gg
65.8.164.12,assets.revenueservice.gov.gg
65.8.164.19,assets.revenueservice.gov.gg
65.8.164.46,assets.revenueservice.gov.gg
34.247.17.175,acre.gov.gg
34.247.17.175,acre.gov.gg
34.247.17.175,acre.gov.gg
34.248.141.104,revenueservice.gov.gg
34.250.239.81,revenueservice.gov.gg
34.252.190.50,revenueservice.gov.gg
34.252.245.17,revenueservice.gov.gg
34.253.250.207,revenueservice.gov.gg
54.220.165.163,revenueservice.gov.gg
54.220.165.163,revenueservice.gov.gg
20.0.120.128,gov.gg
20.0.120.128,statesvoting-records-staging.gov.gg
20.0.120.128,statesvoting-records.gov.gg
20.0.120.128,statesvoting-records-staging.gov.gg
54.229.184.113,revenueservice.gov.gg
52.30.56.236,revenueservice.gov.gg
52.30.173.166,revenueservice.gov.gg
52.31.200.12,revenueservice.gov.gg
52.48.150.196,revenueservice.gov.gg
52.48.155.84,revenueservice.gov.gg
52.48.211.148,revenueservice.gov.gg
52.48.245.219,revenueservice.gov.gg
54.246.226.86,revenueservice.gov.gg
52.51.9.97,revenueservice.gov.gg
52.208.112.114,revenueservice.gov.gg
52.210.86.236,revenueservice.gov.gg
52.211.132.222,revenueservice.gov.gg
52.215.55.14,revenueservice.gov.gg
212.30.12.105,dpr.gov.gg
212.30.12.105,www.dpr.gov.gg
212.30.13.66,post2.gov.gg
212.30.13.80,secure.hssd.gov.gg
62.182.19.197,biologicalrecordscentre.gov.gg
62.182.19.197,autodiscover.biologicalrecordscentre.gov.gg
62.182.19.197,cpanel.biologicalrecordscentre.gov.gg
62.182.19.197,cpcontacts.biologicalrecordscentre.gov.gg
62.182.19.197,cpcalendars.biologicalrecordscentre.gov.gg
62.182.19.197,www.biologicalrecordscentre.gov.gg
62.182.19.197,webdisk.biologicalrecordscentre.gov.gg
62.182.19.197,autodiscover.biologicalrecordscentre.gov.gg
62.182.19.197,biologicalrecordscentre.gov.gg
62.182.19.197,cpanel.biologicalrecordscentre.gov.gg
62.182.19.197,cpcontacts.biologicalrecordscentre.gov.gg
62.182.19.197,webdisk.biologicalrecordscentre.gov.gg
62.182.19.197,cpcalendars.biologicalrecordscentre.gov.gg
62.216.250.85,mail.sark.gov.gg
62.216.250.105,sarktourism.gov.gg
217.69.32.134,changingtimes.gov.gg
217.69.32.134,changingtimes.gov.gg
217.69.47.142,policyandresourceplan.gov.gg
3.174.255.5,assets.revenueservice.gov.gg
3.174.255.14,assets.revenueservice.gov.gg
3.174.255.15,assets.revenueservice.gov.gg
3.174.255.27,assets.revenueservice.gov.gg
3.248.98.119,revenueservice.gov.gg
51.140.122.226,api.mynotifications.gov.gg
51.140.122.226,mynotifications.gov.gg
51.140.122.226,api.mynotifications.gov.gg
51.140.122.226,mynotifications.gov.gg
78.31.105.37,roadworks.gov.gg
78.31.111.13,dr-training.roadworks.gov.gg
185.151.30.147,efcb.gov.gg
185.151.30.147,efcb.gov.gg
185.206.13.134,mwvpn.gov.gg
185.206.13.134,mwvpn1.gov.gg
185.206.13.134,mwvpn2.gov.gg
185.206.13.136,www.openmarkethousingregister.gov.gg
185.206.13.137,cafv3.gov.gg
185.206.13.137,covid19.gov.gg
185.206.13.137,gov.gg
185.206.13.137,hybrid.gov.gg
185.206.13.137,login.gov.gg
185.206.13.137,openmarkethousingregister.gov.gg
185.206.13.137,rc.gov.gg
185.206.13.137,populationportal.gov.gg
185.206.13.137,registration.gov.gg
185.206.13.137,www.gov.gg
185.206.13.137,theinstitute.gov.gg
185.206.13.137,gov.gg
185.206.13.139,gov.gg
185.206.13.139,identity.gov.gg
185.206.13.139,my.gov.gg
185.206.13.139,revenues.gov.gg
185.206.13.139,revenues-ptreturns.gov.gg
185.206.13.139,identity.gov.gg
185.206.13.139,my.gov.gg
185.206.13.142,gov.gg
185.206.13.143,igor.gov.gg
185.206.13.143,igor.gov.gg
185.206.13.147,gov.gg
185.206.13.143,www.igor.gov.gg
185.206.13.147,digimap-planning.gov.gg
185.206.13.147,mlro.gov.gg
185.206.13.147,soger.gov.gg
185.206.13.149,maxims-test.gov.gg
185.206.13.199,www.guernseyfiu.gov.gg
185.206.13.155,maxims-live.gov.gg
185.206.13.199,www.museums.gov.gg
185.206.13.199,www.alderney.gov.gg
185.206.13.200,gov.gg
185.206.13.201,alderney.gov.gg
185.206.13.201,gov.gg
185.206.13.201,guernseyfiu.gov.gg
185.206.13.201,buildingpermits.gov.gg
185.206.13.201,hscchildcareprocedures.gov.gg
185.206.13.201,museums.gov.gg
185.206.13.201,traffic.gov.gg
185.206.13.201,traffic.gov.gg
185.206.13.202,sogscuba.gov.gg
185.206.13.205,gov.gg
185.206.13.203,gov.gg
185.206.13.213,hclistener.gov.gg
185.206.13.211,gov.gg
176.34.204.103,revenueservice.gov.gg
89.145.79.248,sark.gov.gg
89.145.79.248,www.sark.gov.gg
89.145.118.30,guernsey-airport.gov.gg
195.226.128.17,golf.alderney.gov.gg
195.226.128.17,travel.alderney.gov.gg
195.226.128.17,tax.gov.gg
195.226.128.17,dpcommission.gov.gg
195.226.128.17,www.tax.gov.gg
195.226.128.17,test.gov.gg
195.226.128.194,alderney.gov.gg
195.226.129.100,gw.gov.gg
195.226.129.107,connect.hsc.gov.gg
195.226.129.107,www.connect.hsc.gov.gg
195.226.129.107,connect.hsc.gov.gg
195.226.129.107,www.connect.hsc.gov.gg
195.226.133.18,gw.gov.gg
195.226.133.24,post.gov.gg
195.226.133.25,gsydigimap.gov.gg
195.226.138.35,mail.gssa.gov.gg
195.226.138.35,mail.ssd.gov.gg
195.226.138.35,mail.gssa.gov.gg
195.226.138.36,mail.ssd.gov.gg
195.226.152.11,da.gov.gg
195.226.152.11,gov.gg
195.226.152.15,da03.gov.gg
195.226.152.15,da03.gov.gg
195.226.152.16,da04.gov.gg
195.226.152.16,da04.gov.gg
195.226.152.24,post.gov.gg
195.226.152.24,post.gov.gg
195.226.152.25,post3.gov.gg
195.226.152.25,post3.gov.gg
195.226.152.27,fracas.gov.gg
195.226.152.32,metoffice.gov.gg
195.226.152.35,scan.gov.gg
195.226.152.39,dnstest.gov.gg
195.226.152.36,gov.gg
195.226.152.42,demo.gov.gg
195.226.152.42,qa.gov.gg
195.226.152.43,beta.gov.gg
195.226.152.43,civilservicejobs.gov.gg
195.226.152.43,dataprotection.gov.gg
195.226.152.43,education.gov.gg
195.226.152.43,www.education.gov.gg
195.226.152.43,guernseyharbour.gov.gg
195.226.152.43,shipsregistry.gov.gg
195.226.152.43,www.shipsregistry.gov.gg
195.226.152.44,ssltest.gov.gg
195.226.152.44,staging.gov.gg
195.226.152.45,gemstest.gov.gg
195.226.152.45,gov.gg
195.226.152.45,synergy.gov.gg
195.226.152.48,gov.gg
195.226.152.69,gov.gg
195.226.152.70,gov.gg
195.226.152.71,gov.gg
195.226.152.71,govshare.gov.gg
195.226.152.72,gov.gg
195.226.152.72,mlro.gov.gg
195.226.152.73,eforms.gov.gg
