ip_address,domain
41.66.192.10,eapp.epa.gov.gh
41.66.192.11,testeapp.epa.gov.gh
41.66.192.13,emob.epa.gov.gh
41.66.192.14,testemob.epa.gov.gh
41.66.194.35,atom.gaec.gov.gh
41.66.194.35,codehub.atom.gaec.gov.gh
41.66.194.35,nms.atom.gaec.gov.gh
41.66.194.35,gghlogin.atom.gaec.gov.gh
41.66.194.35,security.atom.gaec.gov.gh
41.66.194.35,selfservice.atom.gaec.gov.gh
41.66.194.35,superannuation.atom.gaec.gov.gh
41.66.194.35,unifi.atom.gaec.gov.gh
41.66.194.35,unms.atom.gaec.gov.gh
41.66.196.14,sdr.nic.gov.gh
41.66.200.164,webmail.mincom.gov.gh
41.66.200.164,mincxchange.mincom.gov.gh
41.66.200.164,mincxchange.mincom.gov.gh
41.66.200.174,www.mincom.gov.gh
41.66.200.174,www.mincom.gov.gh
41.66.200.174,mincom.gov.gh
41.66.200.211,data.moh.gov.gh
41.66.200.211,data.moh.gov.gh
41.66.201.180,mail.nmc.gov.gh
41.66.201.195,AutoDiscover.nscs.gov.gh
41.66.201.195,autodiscover.nscs.gov.gh
41.66.201.195,mail.nscs.gov.gh
41.66.201.195,nscs.gov.gh
41.66.201.195,autodiscover.nscs.gov.gh
41.66.201.195,mail.nscs.gov.gh
41.66.201.195,www.nscs.gov.gh
41.66.200.174,mincom.gov.gh
41.66.201.202,mfa.gov.gh
41.66.201.198,nschat.nscs.gov.gh
41.66.201.202,passports.mfa.gov.gh
41.66.201.202,pprn.mfa.gov.gh
41.66.201.202,passport.mfa.gov.gh
41.66.201.202,www.mfa.gov.gh
41.66.201.206,nsb.gov.gh
41.66.201.195,mail.nscs.gov.gh
41.66.204.25,esim.police.gov.gh
41.66.204.146,AutoDiscover.LC.GOV.GH
41.66.204.146,autodiscover.lc.gov.gh
41.66.204.146,mail.lc.gov.gh
41.66.204.146,webmail.lc.gov.gh
41.66.204.146,mail.lc.gov.gh
41.66.204.146,mail.lc.gov.gh
41.66.219.65,gamp.luspa.gov.gh
41.66.219.65,www.wrc.gov.gh
41.66.219.65,gamp.luspa.gov.gh
41.66.221.162,fdaghana.gov.gh
41.66.221.162,lava.fdaghana.gov.gh
41.66.221.163,ns2.fdaghana.gov.gh
41.66.221.167,adr.fdaghana.gov.gh
41.66.221.167,adr.fdaghana.gov.gh
41.66.221.167,adr.fdaghana.gov.gh
41.66.244.162,data.moh.gov.gh
41.66.247.82,mail.energycom.gov.gh
41.76.24.7,rapps.gegov.gov.gh
41.76.25.10,egovonline.gegov.gov.gh
143.95.238.20,energycom.gov.gh
143.95.238.20,ghanarefair.energycom.gov.gh
143.95.238.20,mail.ghanarefair.energycom.gov.gh
143.95.238.20,mail.new.energycom.gov.gh
143.95.238.20,mail.rooftopsolar.energycom.gov.gh
143.95.238.20,new.energycom.gov.gh
143.95.238.20,rooftopsolar.energycom.gov.gh
143.95.238.20,energycom.gov.gh
190.92.170.75,aakda.ghanadistricts.gov.gh
190.92.170.75,aeeda.ghanadistricts.gov.gh
190.92.170.75,adansisouth.ghanadistricts.gov.gh
190.92.170.75,agonawest.ghanadistricts.gov.gh
190.92.170.75,ahafoanonorth.ghanadistricts.gov.gh
190.92.170.75,ahafoanosouth.ghanadistricts.gov.gh
190.92.170.75,ahantawest.ghanadistricts.gov.gh
190.92.170.75,akuapemnorth.ghanadistricts.gov.gh
190.92.170.75,ama.ghanadistricts.gov.gh
190.92.170.75,amansiecentral.ghanadistricts.gov.gh
190.92.170.75,adansinorth.ghanadistricts.gov.gh
190.92.170.75,amansiewest.ghanadistricts.gov.gh
190.92.170.75,aobda.ghanadistricts.gov.gh
190.92.170.75,aowin.ghanadistricts.gov.gh
190.92.170.75,asanteakimcentral.ghanadistricts.gov.gh
190.92.170.75,asanteakimnorth.ghanadistricts.gov.gh
190.92.170.75,asanteakimsouth.ghanadistricts.gov.gh
190.92.170.75,assinnorth.ghanadistricts.gov.gh
190.92.170.75,assinsouth.ghanadistricts.gov.gh
190.92.170.75,asunafonorth.ghanadistricts.gov.gh
190.92.170.75,asunafosouth.ghanadistricts.gov.gh
190.92.170.75,asuogyaman.ghanadistricts.gov.gh
190.92.170.75,atebubuamantin.ghanadistricts.gov.gh
