ip_address,domain
85.115.155.81,autodiscover.careagency.gov.gi
85.115.155.81,mail.careagency.gov.gi
85.115.155.81,www.mail.careagency.gov.gi
85.115.155.83,legacy.mail.careagency.gov.gi
85.115.155.220,vms.port.gov.gi
85.115.155.221,port.gov.gi
85.115.155.221,port.gov.gi
85.115.155.225,port.gov.gi
85.115.158.96,treasury.gov.gi
85.115.158.96,webmail.treasury.gov.gi
85.115.158.96,autodiscover.treasury.gov.gi
85.115.158.96,mail1.treasury.gov.gi
85.115.158.96,treasury.gov.gi
85.115.158.96,webmail.treasury.gov.gi
85.115.158.96,webmail2.treasury.gov.gi
85.115.158.96,www.mail1.treasury.gov.gi
85.115.158.96,treasury.gov.gi
85.115.158.96,webmail.treasury.gov.gi
35.208.34.180,www.gao.gov.gi
35.208.34.180,gao.gov.gi
35.208.34.180,www.gao.gov.gi
35.208.34.180,gao.gov.gi
35.208.34.180,meect.gov.gi
35.208.34.180,finance.meect.gov.gi
35.208.34.180,finance.meect.gov.gi
35.208.34.180,gao.gov.gi
35.208.34.180,www.gao.gov.gi
35.208.34.180,finance.meect.gov.gi
35.208.34.180,meect.gov.gi
35.208.34.180,www.meect.gov.gi
35.214.47.199,personalisedplates.gov.gi
35.214.49.38,www.kingsbastion.gov.gi
35.214.49.38,www.kingsbastion.gov.gi
35.214.49.38,kingsbastion.gov.gi
35.214.49.38,kingsbastion.gov.gi
35.214.49.38,kingsbastion.gov.gi
35.214.49.38,www.kingsbastion.gov.gi
35.214.56.218,gamblingdivision.gov.gi
35.214.56.218,www.gamblingdivision.gov.gi
35.214.56.218,pletreg.gov.gi
35.214.56.218,www.pletreg.gov.gi
35.214.62.178,careagency.gov.gi
35.214.62.178,domiciliarycare-archive.careagency.gov.gi
35.214.62.178,facilities.careagency.gov.gi
35.214.62.178,finance.careagency.gov.gi
35.214.62.178,careagency.gov.gi
35.214.62.178,facilities.careagency.gov.gi
35.214.62.178,careagency.gov.gi
35.214.62.178,domiciliarycare-archive.careagency.gov.gi
35.214.62.178,finance.careagency.gov.gi
35.214.62.178,finance.careagency.gov.gi
35.214.62.178,facilities.careagency.gov.gi
35.214.67.77,be.teameduslt.gov.gi
35.214.67.77,teameduslt.gov.gi
35.214.67.77,teamedu.gov.gi
35.214.67.77,www.teamedu.gov.gi
