ip_address,domain
44.195.7.9,wuni.edu.gl
44.195.7.9,wuni.edu.gl
43.162.122.34,lkwd.edu.gl
43.162.122.34,www.lkwd.edu.gl
43.162.122.34,lkwd.edu.gl
43.162.122.34,www.lkwd.edu.gl
35.156.166.44,govmin.gl
35.158.150.104,govmin.gl
47.242.92.20,nwu.edu.gl
85.119.84.43,uk.gl
85.119.84.43,uk.gl
93.191.155.240,domstol.gl
93.191.155.240,www.domstol.gl
88.83.28.65,host-88-83-28-065.tele.gl
88.83.31.131,qaa.avannaata.gl
88.83.31.131,qaa.avannaata.gl
88.83.31.131,qaa.avannaata.gl
88.83.31.131,avannaata.gl
88.83.31.133,avannaata.gl
88.83.31.163,upe.avannaata.gl
35.214.190.219,columbia.edu.gl
188.72.71.65,host-188-72-71-065.tele.gl
45.15.6.23,da-webshop.uni.gl
45.15.6.23,da.uni.gl
45.15.6.23,survey.uni.gl
45.15.6.23,uk-webshop.uni.gl
45.15.6.23,www.uni.gl
45.15.6.23,uni.gl
45.15.6.23,webshop.uni.gl
45.15.6.23,da-webshop.uni.gl
45.15.6.23,survey.uni.gl
45.15.6.23,uni.gl
45.15.6.23,uk-webshop.uni.gl
45.15.6.23,webshop.uni.gl
45.15.6.23,www.uni.gl
45.15.6.23,da-webshop.uni.gl
45.15.6.23,da.uni.gl
45.15.6.23,uk-webshop.uni.gl
45.15.6.23,survey.uni.gl
45.15.6.23,da.uni.gl
45.15.6.23,webshop.uni.gl
45.15.6.23,www.uni.gl
45.15.6.23,uni.gl
45.16.6.23,uni.gl
188.114.96.0,uk.uni.gl
157.90.34.209,autodiscover.politi.gl
157.90.34.209,mail.politi.gl
157.90.34.209,webmail.politi.gl
157.90.34.209,autodiscover.politi.gl
157.90.34.209,mail.politi.gl
157.90.34.209,webmail.politi.gl
157.90.34.209,autodiscover.politi.gl
157.90.34.209,mail.politi.gl
157.90.34.209,webmail.politi.gl
188.114.96.1,uk.uni.gl
45.45.176.43,www.lkwd.edu.gl
45.45.176.43,lkwd.edu.gl
45.45.176.43,lkwd.edu.gl
45.45.176.43,www.lkwd.edu.gl
66.135.1.201,asiaq.gl
66.135.1.201,domstol.gl
66.135.1.201,aaa.nunagis.gl
66.135.1.201,nunagis.gl
66.135.1.201,sunngu.gl
66.135.1.201,asiaq.gl
66.135.1.201,domstol.gl
66.135.1.201,sunngu.gl
66.135.13.253,aclas.edu.gl
199.59.243.226,uk.gl
52.20.84.62,law.gl
52.20.84.62,www.health.gl
52.20.84.62,www.law.gl
199.59.243.227,law.gl
199.59.243.227,nuna.law.gl
199.59.243.227,uk.gl
199.59.243.227,www.law.gl
188.114.96.11,npu.edu.gl
20.73.212.185,staging.banken.gl
20.73.212.185,banken.gl
20.73.212.185,test.banken.gl
20.73.212.185,banken.gl
20.73.212.185,banken.gl
188.114.97.0,uk.uni.gl
188.114.97.1,uk.uni.gl
