ip_address,domain
216.198.79.1,doysmoys.gov.gm
216.198.79.1,doys.moys.gov.gm
216.198.79.1,doysmoys.gov.gm
216.198.79.1,doys.moys.gov.gm
65.109.239.84,admin-home.easybusiness.gov.gm
65.109.239.84,bpa.easybusiness.gov.gm
65.109.239.84,gdb.easybusiness.gov.gm
65.109.239.84,graylog.easybusiness.gov.gm
65.109.239.84,login.easybusiness.gov.gm
65.109.239.84,services.easybusiness.gov.gm
65.109.239.84,stats.easybusiness.gov.gm
65.109.239.84,admin-home.easybusiness.gov.gm
65.109.239.84,bpa.easybusiness.gov.gm
65.109.239.84,easybusiness.gov.gm
65.109.239.84,gdb.easybusiness.gov.gm
65.109.239.84,easybusiness.gov.gm
65.109.239.84,graylog.easybusiness.gov.gm
65.109.239.84,login.easybusiness.gov.gm
65.109.239.84,services.easybusiness.gov.gm
65.109.239.84,stats.easybusiness.gov.gm
65.109.239.84,admin-home.easybusiness.gov.gm
65.109.239.84,easybusiness.gov.gm
65.109.239.84,bpa.easybusiness.gov.gm
65.109.239.84,gdb.easybusiness.gov.gm
65.109.239.84,graylog.easybusiness.gov.gm
65.109.239.84,login.easybusiness.gov.gm
65.109.239.84,services.easybusiness.gov.gm
65.109.239.84,stats.easybusiness.gov.gm
197.255.193.15,ns2.gov.gm
13.43.15.232,govpay.gov.gm
13.43.15.232,govpay.gov.gm
13.43.15.232,govpay.gov.gm
212.60.64.162,earlywarning.gov.gm
212.60.64.163,ndp.gov.gm
212.60.64.163,ndp.gov.gm
212.60.64.216,mail.gov.gm
212.60.64.214,smtp.gov.gm
212.60.64.216,www.mail.gov.gm
212.60.64.220,www.bcc.gov.gm
212.60.64.220,bcc.gov.gm
212.60.64.220,data.gov.gm
212.60.64.220,dia.gov.gm
212.60.64.220,www.dol.gov.gm
212.60.64.220,digitaladdressing.gov.gm
212.60.64.220,dspd.gov.gm
212.60.64.220,dol.gov.gm
212.60.64.220,www.dspd.gov.gm
212.60.64.220,fiu.gov.gm
212.60.64.220,www.fiu.gov.gm
212.60.64.220,gambia.gov.gm
212.60.64.220,gambiadaily.gov.gm
212.60.64.220,www.gambiadaily.gov.gm
212.60.64.220,www.gambia.gov.gm
212.60.64.220,gamna.gov.gm
212.60.64.220,gambia.gov.gm
212.60.64.220,gicta.gov.gm
