ip_address,domain
44.200.194.156,titre-foncier.habitat.gov.gn
44.200.194.156,titre-foncier.habitat.gov.gn
44.200.194.156,www.titre-foncier.habitat.gov.gn
44.200.194.156,titre-foncier.habitat.gov.gn
44.201.205.130,cadastre-minier.mines.gov.gn
44.204.109.194,gec.cnss.gov.gn
141.94.78.107,comprix.arpt.gov.gn
141.94.78.107,comprix.arpt.gov.gn
44.207.7.109,gec.courrier.gov.gn
44.207.7.109,gec.courrier.gov.gn
44.207.7.109,gec.courrier.gov.gn
84.17.59.115,fro.gov.gn
175.136.193.211,sigmae.mae.gov.gn
175.136.193.213,ecole-sigegui.mepua.gov.gn
175.136.193.213,public-sigegui.mepua.gov.gn
175.136.193.213,sigegui.mepua.gov.gn
41.77.184.51,app.dgd.gov.gn
41.77.184.52,mail.dgd.gov.gn
41.77.184.52,mail.dgd.gov.gn
41.77.184.52,www.mail.dgd.gov.gn
41.77.184.52,mail.dgd.gov.gn
41.77.184.110,mailer.sante.gov.gn
41.77.184.140,maege.gov.gn
41.77.184.140,www.maege.gov.gn
41.77.184.184,mail.mae.gov.gn
41.77.184.184,mail.mit.gov.gn
41.77.184.184,mail.msph.gov.gn
41.77.184.184,mail.sgar.gov.gn
41.77.184.228,api.nifp.mbudget.gov.gn
41.77.184.228,nifp.mbudget.gov.gn
41.77.184.231,cpanel.mbudget.gov.gn
41.77.184.229,webmail.mef.gov.gn
41.77.184.231,gitlab.mbudget.gov.gn
41.77.184.231,buse.mbudget.gov.gn
41.77.184.232,ebiassi.mbudget.gov.gn
41.77.184.234,cloud.mbudget.gov.gn
41.77.184.233,onlyoffice.mbudget.gov.gn
41.77.184.234,codebarre.mbudget.gov.gn
41.77.184.235,visio.mbudget.gov.gn
41.77.184.235,dao.mef.gov.gn
41.77.184.236,atd.mbudget.gov.gn
41.77.184.236,analyse.mef.gov.gn
41.77.184.236,balance.mef.gov.gn
41.77.184.236,tresor.mef.gov.gn
41.77.184.235,dashboard.mef.gov.gn
41.77.184.236,courrier.mef.gov.gn
41.77.184.237,monitoring.mbudget.gov.gn
41.77.186.96,docker.hasigui.gov.gn
41.77.186.96,ipmanagement.hasigui.gov.gn
41.77.186.96,monitoring.hasigui.gov.gn
41.77.186.96,proxy.hasigui.gov.gn
41.77.186.96,store.hasigui.gov.gn
41.77.186.96,pve.hasigui.gov.gn
41.77.186.96,hopigestion.hasigui.gov.gn
41.77.188.30,mail.arpt.gov.gn
41.77.188.100,cfu.mbudget.gov.gn
41.77.188.122,collabora.fim.gov.gn
41.77.188.123,pec.fim.gov.gn
41.77.188.123,pec.fim.gov.gn
41.77.188.124,cloud.fim.gov.gn
41.77.188.124,cloud.fim.gov.gn
41.77.188.124,cloud.fim.gov.gn
41.77.188.124,onlyoffice.fim.gov.gn
41.77.188.130,arpt.gov.gn
41.77.188.130,mail.arpt.gov.gn
41.77.188.132,gu.mines.gov.gn
41.77.188.131,tarif.arpt.gov.gn
41.77.188.132,gu.mines.gov.gn
41.77.188.134,tarif.arpt.gov.gn
41.77.188.132,gu.mines.gov.gn
41.77.188.135,formulaire.arpt.gov.gn
41.77.188.134,tarif.arpt.gov.gn
41.77.188.135,observatoire.arpt.gov.gn
41.77.188.135,www.arpt.gov.gn
41.77.188.135,www.arpt.gov.gn
41.77.188.137,e-services.arpt.gov.gn
41.77.188.136,ticket.arpt.gov.gn
41.77.188.139,ptr.arpt.gov.gn
41.77.188.178,lm.mines.gov.gn
41.77.188.179,cloud.mines.gov.gn
41.77.188.180,gec.mines.gov.gn
41.77.188.181,licences.mines.gov.gn
41.77.188.203,pre-prod.telemo.gov.gn
41.77.188.204,evoucher.gov.gn
41.77.188.204,app.telemo.gov.gn
41.77.188.204,miniop-api.telemo.gov.gn
41.77.188.204,miniop.telemo.gov.gn
41.77.188.205,www.telemo.gov.gn
41.77.188.206,ebid-filespp.telemo.gov.gn
41.77.188.206,ebidpp.telemo.gov.gn
41.77.188.206,jobs.telemo.gov.gn
41.77.188.206,microservices.telemo.gov.gn
41.77.188.205,telemo.gov.gn
41.77.188.206,miniopp.telemo.gov.gn
41.77.188.206,minioqa.telemo.gov.gn
41.77.188.206,monitoring.telemo.gov.gn
41.77.188.206,pam.telemo.gov.gn
41.77.188.206,noc.telemo.gov.gn
41.77.188.206,pbid.telemo.gov.gn
41.77.188.206,pre-prod.telemo.gov.gn
41.77.188.206,pbid-files.telemo.gov.gn
41.77.188.206,proxy.telemo.gov.gn
41.77.188.206,pve.telemo.gov.gn
41.77.188.206,qa.telemo.gov.gn
41.77.188.206,telemo.gov.gn
41.77.188.206,www.telemo.gov.gn
41.77.188.206,pminio.telemo.gov.gn
41.77.188.206,ebid-filespp.telemo.gov.gn
41.77.188.206,ebidpp.telemo.gov.gn
41.77.188.206,guacd.telemo.gov.gn
41.77.188.206,microservices.telemo.gov.gn
41.77.188.206,miniopp.telemo.gov.gn
41.77.188.206,monitoring.telemo.gov.gn
41.77.188.206,pam.telemo.gov.gn
41.77.188.206,noc.telemo.gov.gn
41.77.188.206,pbid.telemo.gov.gn
41.77.188.206,pbid-files.telemo.gov.gn
41.77.188.206,pkms.telemo.gov.gn
41.77.188.206,pminio.telemo.gov.gn
41.77.188.206,pre-prod.telemo.gov.gn
41.77.188.206,pve.telemo.gov.gn
41.77.188.206,telemo.gov.gn
41.77.188.206,proxy.telemo.gov.gn
41.77.188.206,www.telemo.gov.gn
41.77.188.206,pkms.telemo.gov.gn
41.77.190.34,mail.maege.gov.gn
41.77.190.35,cloud.maege.gov.gn
41.77.190.36,collabora.maege.gov.gn
41.77.190.37,courrier.maege.gov.gn
41.77.190.38,office.maege.gov.gn
41.77.190.42,pass.maege.gov.gn
41.77.190.147,guceg.gov.gn
41.77.190.148,guceg.gov.gn
41.77.190.148,sso.guceg.gov.gn
41.77.190.152,guceg.gov.gn
41.77.190.152,invoice.guceg.gov.gn
41.77.190.156,guceg.gov.gn
41.77.190.228,registry.ande.gov.gn
41.77.190.228,registry.ande.gov.gn
41.77.190.229,rdap.ande.gov.gn
41.77.190.229,replica.ande.gov.gn
41.77.190.229,whois.ande.gov.gn
41.77.190.229,rdap.ande.gov.gn
41.77.190.229,whois.ande.gov.gn
41.77.190.230,rdap.ande.gov.gn
41.77.190.230,replica.ande.gov.gn
41.77.190.230,whois.ande.gov.gn
41.77.190.232,whoisgn.ande.gov.gn
41.77.190.233,meeting.ande.gov.gn
41.77.190.233,meeting.ande.gov.gn
41.77.190.233,meeting.ande.gov.gn
41.77.190.234,teams.ande.gov.gn
41.77.190.234,teams.ande.gov.gn
41.77.190.234,teams.ande.gov.gn
41.77.190.235,portal.ande.gov.gn
41.77.190.235,portal.ande.gov.gn
41.77.190.236,backup.ande.gov.gn
41.77.190.236,backup.ande.gov.gn
41.79.236.130,mail.finances.gov.gn
41.79.236.130,webmail.finances.gov.gn
34.57.15.54,www.igtapp.igt.gov.gn
41.191.220.36,test.e-renec.gov.gn
41.191.220.36,test.e-renec.gov.gn
41.191.220.38,mail.arpt.gov.gn
41.191.220.40,extract.e-renec.gov.gn
41.191.220.36,test.e-renec.gov.gn
41.191.220.38,mail.arpt.gov.gn
41.191.220.40,tpi.e-renec.gov.gn
41.191.220.40,prod.e-renec.gov.gn
41.191.220.40,acceptance.e-renec.gov.gn
41.191.220.40,extract.e-renec.gov.gn
41.191.220.40,extract.e-renec.gov.gn
41.191.220.40,prod.e-renec.gov.gn
41.191.220.40,pro.e-renec.gov.gn
41.191.220.40,tpi.e-renec.gov.gn
41.191.220.68,cps.sante.gov.gn
41.191.220.68,cps.sante.gov.gn
41.191.220.71,acceptance.e-renec.gov.gn
41.191.220.40,prod.e-renec.gov.gn
41.191.220.72,learning.e-renec.gov.gn
41.191.220.68,cps.sante.gov.gn
41.191.220.77,report.esigl-urgence.sante.gov.gn
41.191.220.78,pnlp.sante.gov.gn
