ip_address,domain
169.239.112.1,gateway.gob.gq
169.239.112.131,ns1.gob.gq
169.239.112.132,ns2.gob.gq
169.239.112.132,ns2.gob.gq
169.239.112.140,vpn.gob.gq
169.239.112.151,sip.gob.gq
169.239.112.151,sip.gob.gq
169.239.112.155,webconf.gob.gq
169.239.112.158,av.gob.gq
169.239.112.140,vpn.gob.gq
169.239.112.158,av.gob.gq
169.239.112.159,sfbpool.gob.gq
169.239.112.163,officeapp.gob.gq
169.239.112.165,e.gob.gq
169.239.112.165,gob.gq
169.239.112.167,pki.gob.gq
169.239.112.167,pki.gob.gq
169.239.112.190,formacion.e.gob.gq
169.239.112.190,formacion.e.gob.gq
169.239.112.190,formacion.e.gob.gq
169.239.112.190,formacion.e.gob.gq
169.239.112.190,gob.gq
169.239.112.191,gob.gq
169.239.112.192,anticorrupcion.gob.gq
169.239.112.192,ccge.gob.gq
169.239.112.192,gob.gq
169.239.112.192,hsm.gob.gq
169.239.112.192,mhdm.gob.gq
169.239.112.192,minexteriores.gob.gq
169.239.112.192,minhacienda.gob.gq
169.239.112.192,mintfess.gob.gq
169.239.112.192,minturismo.gob.gq
169.239.112.192,mmie.gob.gq
169.239.112.192,primatura.gob.gq
169.239.112.192,boe.gob.gq
169.239.112.192,cnedoge.gob.gq
169.239.112.192,correos.gob.gq
169.239.112.192,dialin.gob.gq
169.239.112.192,embacongo.gob.gq
169.239.112.192,gob.gq
169.239.112.192,hsm.gob.gq
169.239.112.192,lyncdiscover.gob.gq
169.239.112.192,mail.gob.gq
169.239.112.192,meet.gob.gq
169.239.112.192,minagricultura.gob.gq
169.239.112.192,minasig.gob.gq
169.239.112.192,mincultur.gob.gq
169.239.112.192,minexteriores.gob.gq
169.239.112.192,minfuncionpublica.gob.gq
169.239.112.192,minhacienda.gob.gq
169.239.112.192,minindustria.gob.gq
169.239.112.192,minjusticia.gob.gq
169.239.112.192,minpesca.gob.gq
169.239.112.192,primatura.gob.gq
169.239.112.192,mintct.gob.gq
169.239.112.193,gob.gq
169.239.112.193,gob.gq
169.239.112.193,mail.gob.gq
169.239.112.197,minturismo.gob.gq
169.239.112.197,mx.gob.gq
169.239.112.197,mail.cnedoge.gob.gq
169.239.112.197,mail.correos.gob.gq
169.239.112.197,mail.mincultur.gob.gq
169.239.112.197,mail.minexteriores.gob.gq
169.239.112.197,mail.minasig.gob.gq
169.239.112.197,mail.minindustria.gob.gq
169.239.112.197,mail.minpesca.gob.gq
169.239.112.197,mail.minhacienda.gob.gq
169.239.112.197,mail.mintct.gob.gq
169.239.112.197,mail.primatura.gob.gq
169.239.112.197,ssg-gb-edg-01.gob.gq
169.239.112.197,mx.gob.gq
169.239.112.198,mx1.gob.gq
169.239.112.198,ssg-gb-edg-02.gob.gq
197.214.67.1,mail.mmie.gob.gq
69.195.124.211,mmie.gob.gq
69.195.124.211,mtfess.gob.gq
