ip_address,domain
34.3.90.24,minscfa.gov.gr
2a01:4f8:162:444c::2,mail.vostanio.gov.gr
2a02:4780:8:546:0:1fda:b869:d,hsc.gov.gr
2a02:4780:8:546:0:1fda:b869:d,www.hsc.gov.gr
2a10:d000:14:400::e,ddt.gov.gr
2a10:d000:14:400::e,syzefxis.ddt.gov.gr
143.47.190.250,sdigmap.tee.gov.gr
143.47.190.250,sdigmap-dev.tee.gov.gr
143.47.190.250,sdigmap.tee.gov.gr
143.47.190.250,www.sdigmap.tee.gov.gr
35.156.9.168,api.acc.tep.vouchers.gov.gr
35.156.19.249,rantevou.kep.gov.gr
35.156.54.112,rantevou.kep.gov.gr
35.156.96.48,api.streaming.digitalschool.gov.gr
35.156.142.54,api.acc.creators.digitalschool.gov.gr
35.156.160.195,www.tourism4all.gov.gr
35.156.160.195,paroxoi.tourism4all.gov.gr
35.156.176.24,registry.gsri.gov.gr
35.156.193.9,dev.admin.streaming.digitalschool.gov.gr
85.10.212.84,olympicgames.culture.gov.gr
85.10.212.84,olympicgames.culture.gov.gr
85.10.218.227,support.e-signature.gov.gr
85.10.218.227,support.e-signature.gov.gr
85.10.218.233,support.dypa.gov.gr
35.157.26.165,data.gov.gr
35.157.47.100,dev.admin.streaming.digitalschool.gov.gr
35.157.47.100,lms.digitalschool.gov.gr
35.157.90.100,rantevou.kep.gov.gr
35.157.96.237,api.acc.creators.digitalschool.gov.gr
35.157.102.144,priority.ktimatologio.gov.gr
35.157.248.160,helpdesk.registry.gsri.gov.gr
35.158.12.95,acc.digitalschool.gov.gr
35.158.16.42,djadmin.rantevou.kep.gov.gr
35.158.24.170,api.tep.vouchers.gov.gr
35.158.49.82,api.acc.creators.digitalschool.gov.gr
35.158.69.66,paroxoi.tourism4all.gov.gr
35.158.69.66,www.tourism4all.gov.gr
35.158.86.124,dev.admin.streaming.digitalschool.gov.gr
141.148.233.14,sdigmap-dev.tee.gov.gr
141.148.233.14,sdigmap.tee.gov.gr
141.148.233.14,www.sdigmap.tee.gov.gr
143.204.98.4,app.digitalschool.gov.gr
143.204.98.48,app.digitalschool.gov.gr
143.204.98.71,app.digitalschool.gov.gr
143.204.98.78,app.digitalschool.gov.gr
143.204.106.7,digitalschool.gov.gr
143.204.106.24,digitalschool.gov.gr
143.204.106.54,digitalschool.gov.gr
143.204.106.107,digitalschool.gov.gr
143.204.215.15,rodosweek.vouchers.gov.gr
143.204.215.20,rodosweek.vouchers.gov.gr
143.204.215.90,rodosweek.vouchers.gov.gr
143.204.215.92,rodosweek.vouchers.gov.gr
143.233.226.80,esetek.gov.gr
143.233.226.80,www.esetek.gov.gr
143.233.226.80,gsri.gov.gr
143.233.226.80,www.gsri.gov.gr
143.233.226.80,esetek.gov.gr
143.233.226.80,www.esetek.gov.gr
143.233.226.80,gsri.gov.gr
143.233.226.80,www.gsri.gov.gr
143.233.226.119,riview.gsri.gov.gr
143.233.226.119,riview.gsri.gov.gr
184.24.77.45,citesform.ypen.gov.gr
184.24.77.77,citesform.ypen.gov.gr
57.153.11.25,oikogeneia.gov.gr
57.153.11.25,uat.oikogeneia.gov.gr
57.153.11.25,oikogeneia.gov.gr
57.153.106.27,intra-kemke.gov.gr
57.153.118.31,oreinaxenodochia.gov.gr
57.153.118.31,oreinaxenodochia.gov.gr
201.0.222.64,civilprotection.gov.gr
201.0.222.88,civilprotection.gov.gr
184.28.41.138,civilprotection.gov.gr
184.28.41.155,civilprotection.gov.gr
184.28.78.142,ypen.gov.gr
184.28.78.170,ypen.gov.gr
23.32.56.209,ypen.gov.gr
23.32.56.219,ypen.gov.gr
23.33.20.210,civilprotection.gov.gr
23.33.20.219,civilprotection.gov.gr
