ip_address,domain
44.193.109.168,notificaciones.app.institutodelavictima.gob.gt
44.194.9.87,api.c.sat.gob.gt
190.0.212.25,mail.sib2.gob.gt
190.0.212.26,mail.sib.gob.gt
44.196.50.84,bi.sat.gob.gt
44.196.123.194,bibliotecavirtual.mineduc.gob.gt
44.198.143.34,sigie.maga.gob.gt
44.198.237.103,cc.gob.gt
44.206.21.234,fodigua.gob.gt
44.206.21.234,fodigua.gob.gt
44.206.21.234,fodigua.gob.gt
44.206.21.234,www.fodigua.gob.gt
44.206.49.187,app.c.sat.gob.gt
44.207.28.184,siro.ocret.gob.gt
44.207.28.184,www.siro.ocret.gob.gt
44.207.28.184,siro.ocret.gob.gt
44.207.28.184,www.siro.ocret.gob.gt
190.14.15.218,laboratorio.hro.gob.gt
35.80.240.162,mides.gob.gt
44.208.105.176,maga.gob.gt
44.209.131.86,maga.gob.gt
44.210.56.238,maga.gob.gt
44.210.75.125,guateesvida.gob.gt
44.210.203.43,mineduc.gob.gt
44.210.221.235,digital.mineduc.gob.gt
35.87.9.207,programas.mides.gob.gt
35.87.9.207,programas.mides.gob.gt
34.30.215.1,lifeweb.conap.gob.gt
44.213.83.124,maga.gob.gt
44.213.214.16,mineduc.gob.gt
44.213.238.57,mingob.gob.gt
44.215.149.144,digital.mineduc.gob.gt
44.215.195.91,mingob.gob.gt
44.216.5.75,bi.sat.gob.gt
44.216.103.175,maga.gob.gt
44.216.103.175,www.maga.gob.gt
44.217.25.150,mingob.gob.gt
44.218.163.91,guateesvida.gob.gt
44.219.28.226,hnipb.gob.gt
44.219.28.226,hnipb.gob.gt
44.219.210.55,maga.gob.gt
44.219.210.55,mail.maga.gob.gt
44.222.50.149,maga.gob.gt
44.226.49.128,mides.gob.gt
190.56.0.131,mail.rpi.gob.gt
190.56.0.131,mail.rpi.gob.gt
190.56.0.140,portal.rpi.gob.gt
190.56.0.140,rpi.gob.gt
190.56.0.141,busquedas.rpi.gob.gt
190.56.0.141,busquedas.rpi.gob.gt
190.56.0.141,epagos.rpi.gob.gt
190.56.0.141,rpi.gob.gt
190.56.0.141,ventanilla.rpi.gob.gt
190.56.0.143,rpi.gob.gt
190.56.0.145,AutoDiscover.rpi.gob.gt
190.56.0.145,exch16.rpi.gob.gt
190.56.0.145,mail.rpi.gob.gt
190.56.0.145,rpi.gob.gt
190.56.0.147,logos.rpi.gob.gt
190.56.0.147,rpi.gob.gt
190.56.0.148,boletin.rpi.gob.gt
190.56.0.148,rpi.gob.gt
190.56.0.157,mail.rpi.gob.gt
190.56.0.157,mail.rpi.gob.gt
190.56.0.164,registromercantil.gob.gt
190.56.0.167,zmail.registromercantil.gob.gt
190.56.1.203,censo2018.ine.gob.gt
190.56.1.202,apps.ine.gob.gt
190.56.1.203,datos.ine.gob.gt
190.56.1.203,geonode.ine.gob.gt
190.56.1.203,cursos.ine.gob.gt
190.56.1.203,ine.gob.gt
190.56.1.203,sen.ine.gob.gt
190.56.1.203,webine.ine.gob.gt
190.56.1.203,www.ine.gob.gt
190.56.1.217,www.ine.gob.gt
190.56.1.219,kc.ine.gob.gt
190.56.1.219,controlcompras.ine.gob.gt
190.56.1.219,ee.ine.gob.gt
190.56.1.219,kc.ine.gob.gt
190.56.1.219,kobo.ine.gob.gt
190.56.5.231,app001.mindef.mil.gt
190.56.9.148,portal.segeplan.gob.gt
190.56.9.148,segeplan.gob.gt
190.56.14.34,munimorazan.gob.gt
190.56.14.34,www.munimorazan.gob.gt
190.56.14.34,munimorazan.gob.gt
190.56.14.34,www.munimorazan.gob.gt
190.56.46.38,correo.banguat.gob.gt
190.56.47.105,host2.mides.gob.gt
190.56.47.106,host3.mides.gob.gt
190.56.47.107,host4.mides.gob.gt
190.56.47.108,host5.mides.gob.gt
190.56.47.109,host6.mides.gob.gt
190.56.47.110,host7.mides.gob.gt
190.56.104.226,vtz.sib2.gob.gt
190.56.111.6,sbc2.sib2.gob.gt
190.56.111.6,sbc2.sib2.gob.gt
190.56.111.14,xrc.sib2.gob.gt
190.56.134.82,mail.codisra.gob.gt
190.56.162.18,mail.mspas-sias.gob.gt
190.56.164.115,mail.rpi.gob.gt
190.56.164.118,rpi.gob.gt
35.153.177.32,mineduc.gob.gt
35.153.177.32,portalweb.mineduc.gob.gt
35.153.190.104,notificaciones.app.institutodelavictima.gob.gt
190.61.5.90,pruebasweb.insivumeh.gob.gt
190.61.5.90,pfn.insivumeh.gob.gt
190.61.5.90,pruebasweb.insivumeh.gob.gt
190.61.5.91,insivumeh.gob.gt
190.61.5.90,geo.insivumeh.gob.gt
190.61.5.91,insivumeh.gob.gt
190.61.5.253,rpi.gob.gt
190.61.8.10,gae.insivumeh.gob.gt
190.61.8.11,hidromet.insivumeh.gob.gt
190.61.89.244,hidromet.insivumeh.gob.gt
190.61.96.119,mail.ingecop.gob.gt
190.61.96.119,mail.ingecop.gob.gt
190.61.97.134,mides.gob.gt
190.61.97.136,mail.mides.gob.gt
190.61.97.136,barracuda.mides.gob.gt
190.61.97.136,mail.mides.gob.gt
190.61.97.136,mides.gob.gt
190.61.97.146,mides.gob.gt
190.61.97.147,mides.gob.gt
143.47.126.251,btm.radiotgw.gob.gt
84.32.84.9,munibalanya.gob.gt
84.32.84.15,munisanjosepinula.gob.gt
141.136.39.4,cpanel.municunen.gob.gt
141.136.39.4,cpcalendars.municunen.gob.gt
141.136.39.4,municunen.gob.gt
141.136.39.4,uaip.municunen.gob.gt
141.136.39.4,cpcontacts.municunen.gob.gt
141.136.39.4,webdisk.municunen.gob.gt
141.136.39.4,www.uaip.municunen.gob.gt
141.136.39.4,webmail.municunen.gob.gt
141.136.60.7,sat.gob.gt
141.136.60.9,sat.gob.gt
141.136.60.10,sat.gob.gt
141.136.60.14,sat.gob.gt
141.136.60.15,sat.gob.gt
141.136.60.18,sat.gob.gt
141.136.60.21,sat.gob.gt
141.136.60.24,sat.gob.gt
141.136.60.25,sat.gob.gt
141.136.60.26,siveh.sat.gob.gt
141.136.60.27,sat.gob.gt
141.136.60.28,reteniva.sat.gob.gt
141.136.60.30,sat.gob.gt
141.136.60.31,sat.gob.gt
141.136.60.34,sat.gob.gt
190.92.173.144,ppem.gob.gt
190.92.173.144,www.ppem.gob.gt
190.92.173.144,ppem.gob.gt
190.92.173.144,www.ppem.gob.gt
190.92.173.144,www.ppem.gob.gt
190.92.173.144,ppem.gob.gt
141.148.78.169,rgm.gob.gt
34.67.22.195,conap.gob.gt
34.67.22.195,consolidacionkfw.conap.gob.gt
34.67.22.195,kfw.conap.gob.gt
34.67.22.195,consolidacionsigap.conap.gob.gt
34.67.22.195,fonacon.conap.gob.gt
34.67.22.195,sip.conap.gob.gt
34.67.22.195,www.conap.gob.gt
34.67.22.195,turismo-sigap.conap.gob.gt
190.99.116.84,office.vicepresidencia.gob.gt
190.99.116.84,turn.vicepresidencia.gob.gt
190.99.116.84,signal.vicepresidencia.gob.gt
190.99.116.86,geds.vicepresidencia.gob.gt
190.99.117.82,mail.conadi.gob.gt
190.99.117.112,guatel.gob.gt
190.99.117.113,guatel.gob.gt
190.99.117.114,guatel.gob.gt
190.99.117.115,guatel.gob.gt
190.99.117.115,app.guatel.gob.gt
190.99.117.115,mail.guatel.gob.gt
190.99.117.114,mail.guatel.gob.gt
190.99.117.116,guatel.gob.gt
190.99.117.115,app.guatel.gob.gt
190.99.117.116,guatel.gob.gt
190.99.117.116,mail.guatel.gob.gt
190.99.117.117,guatel.gob.gt
190.99.117.117,fw.guatel.gob.gt
190.99.117.117,mail.guatel.gob.gt
190.99.117.116,www.guatel.gob.gt
190.99.117.118,guatel.gob.gt
190.99.117.119,guatel.gob.gt
190.99.117.122,mail.minfin.gob.gt
190.99.117.226,mail.ucee.gob.gt
190.99.117.234,www.infinanciero.ingecop.gob.gt
190.99.117.234,www.infinanciero.ingecop.gob.gt
190.99.117.234,www.infinanciero.ingecop.gob.gt
190.99.117.235,www.soporte.ingecop.gob.gt
190.99.117.235,soporte.ingecop.gob.gt
190.99.117.235,soporte.ingecop.gob.gt
190.99.117.235,www.soporte.ingecop.gob.gt
190.99.117.245,tracking-backoffice.correos.gob.gt
190.99.117.245,www.tracking-backoffice.correos.gob.gt
190.99.117.243,chatbot.correos.gob.gt
190.99.118.78,servicios.pgn.gob.gt
190.99.118.78,ventanillajv.pgn.gob.gt
190.99.118.78,pgn.gob.gt
190.99.118.149,laip2.sbs.gob.gt
190.99.118.150,laip.sbs.gob.gt
190.99.118.151,formacionespecializada.sbs.gob.gt
190.99.118.153,web.sbs.gob.gt
190.99.118.235,igm.gob.gt
190.99.118.237,correo.igm.gob.gt
190.106.202.243,uncosu.gob.gt
190.106.202.243,www.uncosu.gob.gt
190.106.205.10,mail.inacif.gob.gt
190.106.205.34,brod.infom.gob.gt
190.106.205.34,plataforma.infom.gob.gt
190.106.205.37,serviciosenlinea.infom.gob.gt
190.106.205.38,laip.infom.gob.gt
190.106.206.130,economatomilitar.mil.gt
35.168.37.110,mingob.gob.gt
35.168.152.22,banguat.gob.gt
35.168.187.107,sigie.maga.gob.gt
143.208.57.167,mail.minfin.gob.gt
143.208.58.76,mail2.scp.gob.gt
143.208.58.212,mail.scp.gob.gt
143.208.59.40,observatorio.minfin.gob.gt
143.208.59.40,portalfideicomisos.minfin.gob.gt
143.208.59.40,portalong.minfin.gob.gt
143.208.59.40,serviciosportalgl.minfin.gob.gt
143.208.59.40,saladeprensa.minfin.gob.gt
143.208.59.40,transparenciapresupuestaria.minfin.gob.gt
35.168.235.38,bibliotecavirtual.mineduc.gob.gt
110.238.80.92,api.comude.scep.gob.gt
110.238.80.92,api.test.comude.scep.gob.gt
110.238.80.92,comude.scep.gob.gt
110.238.80.92,test.comude.scep.gob.gt
110.238.80.92,api.comude.scep.gob.gt
110.238.80.92,api.test.comude.scep.gob.gt
110.238.80.92,comude.scep.gob.gt
110.238.80.92,dashboard.scep.gob.gt
110.238.80.92,etl.comude.scep.gob.gt
110.238.80.92,test.comude.scep.gob.gt
110.238.85.116,muniaprende.infom.gob.gt
110.238.87.128,ucee.gob.gt
110.238.87.129,ucee.gob.gt
110.238.87.130,ucee.gob.gt
110.238.87.131,ucee.gob.gt
110.238.87.132,ucee.gob.gt
35.169.6.220,pruebas.digital.mineduc.gob.gt
141.193.213.10,secretariaprivada.gob.gt
141.193.213.10,www.secretariaprivada.gob.gt
35.170.109.73,vumar.mil.gt
34.69.159.75,correos.gob.gt
34.69.159.75,correosytelegrafos.civ.gob.gt
34.69.159.75,www.correos.gob.gt
34.69.159.75,www.correosytelegrafos.civ.gob.gt
34.69.159.75,correosytelegrafos.civ.gob.gt
34.69.159.75,correos.gob.gt
34.69.159.75,www.correos.gob.gt
34.69.159.75,www.correosytelegrafos.civ.gob.gt
34.69.163.111,regiones.snib.conap.gob.gt
34.69.163.111,aut.snib.conap.gob.gt
34.69.163.111,aut.snib.conap.gob.gt
34.69.163.111,regiones.snib.conap.gob.gt
190.111.0.3,inguat.gob.gt
190.111.0.4,autodiscover.inguat.gob.gt
190.111.0.5,einguat.inguat.gob.gt
190.111.0.4,autodiscover.inguat.gob.gt
190.111.0.5,einguat.inguat.gob.gt
190.111.0.6,biblioteca.inguat.gob.gt
190.111.0.7,wseinguat.inguat.gob.gt
190.111.0.6,biblioteca.inguat.gob.gt
190.111.0.7,wseinguat.inguat.gob.gt
190.111.0.9,eservicios.inguat.gob.gt
190.111.0.9,perspectiva.inguat.gob.gt
190.111.0.7,capacitaciones.inguat.gob.gt
190.111.0.9,perspectiva.inguat.gob.gt
190.111.0.11,mail2.inguat.gob.gt
190.111.0.35,www.consultas.scp.gob.gt
190.111.0.36,mail.villanueva.gob.gt
190.111.0.36,mail.villanueva.gob.gt
190.111.0.37,_dc-mx.73aa39befa8a.scp.gob.gt
190.111.0.37,mail.scp.gob.gt
190.111.0.38,pagoenlinea.scp.gob.gt
190.111.0.38,www.pagoenlinea.scp.gob.gt
190.111.0.168,www.ssm.siinsan.gob.gt
190.111.0.162,mail.sesan.gob.gt
190.111.0.182,mail.ric.gob.gt
190.111.0.211,mail.sib2.gob.gt
190.111.1.2,cancerbero.segeplan.gob.gt
190.111.1.3,mail.segeplan.gob.gt
190.111.1.5,snip.segeplan.gob.gt
190.111.1.7,ide.segeplan.gob.gt
190.111.1.9,uip.segeplan.gob.gt
190.111.1.12,siseg.segeplan.gob.gt
190.111.1.11,sye.segeplan.gob.gt
190.111.1.13,sitran.segeplan.gob.gt
190.111.1.14,segeplan.gob.gt
190.111.1.15,mail.segeplan.gob.gt
190.111.1.18,ideg.segeplan.gob.gt
190.111.1.20,ftp.segeplan.gob.gt
190.111.1.27,portalvirtual.segeplan.gob.gt
190.111.1.23,intra.segeplan.gob.gt
190.111.1.35,portal2.oj.gob.gt
190.111.1.29,conferencias.segeplan.gob.gt
190.111.1.37,formacion.oj.gob.gt
190.111.1.37,formacion.oj.gob.gt
190.111.1.38,oj.gob.gt
190.111.1.38,web.oj.gob.gt
190.111.1.41,mail.oj.gob.gt
190.111.1.242,mail.sib.gob.gt
190.111.2.27,mail.stcns.gob.gt
190.111.1.242,mail.sib.gob.gt
190.111.2.27,_dc-mx.7b8a2793c97a.stcns.gob.gt
190.111.2.27,autodiscover.stcns.gob.gt
190.111.2.27,_dc-mx.7b8a2793c97a.cap.stcns.gob.gt
190.111.2.27,cap.stcns.gob.gt
190.111.2.27,mail.stcns.gob.gt
190.111.2.27,stcns.gob.gt
190.111.2.30,stcns.gob.gt
190.111.4.138,edictos.registromercantil.gob.gt
190.111.6.98,portal.saa.gob.gt
190.111.6.98,mail.saa.gob.gt
190.111.6.98,portal.saa.gob.gt
190.111.7.177,mail.saas.gob.gt
190.111.7.178,saas.gob.gt
190.111.8.2,consulta.srp.gob.gt
190.111.8.164,smtp.maga.gob.gt
190.111.13.35,geoportal.marn.gob.gt
190.111.13.37,www.sia.marn.gob.gt
190.111.14.106,mail.fopavi.gob.gt
190.111.14.106,apps.fopavi.gob.gt
190.111.14.106,apps.fopavi.gob.gt
190.111.14.106,mail.fopavi.gob.gt
190.111.14.106,fopavi.gob.gt
190.111.17.137,sipaz.fonapaz.gob.gt
190.111.17.138,mail.fonapaz.gob.gt
190.111.17.138,mail.fonapaz.gob.gt
190.111.17.139,fonapaz.gob.gt
190.111.17.235,correo.migracion.gob.gt
190.111.17.235,correo.migracion.gob.gt
190.111.17.236,correo.igm.gob.gt
190.111.17.236,fortimail.igm.gob.gt
190.111.17.236,igm.gob.gt
190.111.17.236,servicios.igm.gob.gt
190.111.22.195,correo.migracion.gob.gt
190.111.23.42,xn--mail-zna.sie.gob.gt
190.111.23.53,www.apmt.munisanmiguelpetapa.gob.gt
190.111.23.53,apmt.munisanmiguelpetapa.gob.gt
190.111.23.53,www.apmt.munisanmiguelpetapa.gob.gt
190.111.23.53,apmt.munisanmiguelpetapa.gob.gt
190.111.27.12,hospigen.gob.gt
190.111.27.12,mail.hospitalsanjuandedios.gob.gt
190.111.27.12,hospigen.gob.gt
190.111.27.12,mail.hospitalsanjuandedios.gob.gt
190.111.27.12,www.hospigen.gob.gt
190.111.27.13,hospigen.gob.gt
190.111.27.13,mail.hospigen.gob.gt
190.111.27.14,hospigen.gob.gt
190.111.27.145,mail3.minex.gob.gt
190.111.27.147,mail.minex.gob.gt
190.111.27.148,mail4.minex.gob.gt
190.111.27.146,mail2.minex.gob.gt
190.111.28.42,autodiscover.sgp.gob.gt
190.111.29.116,lns.gob.gt
190.111.29.116,portal.lns.gob.gt
190.111.29.116,lns.gob.gt
190.111.29.116,portal.lns.gob.gt
190.111.29.116,www.lns.gob.gt
190.111.29.116,lns.gob.gt
190.111.29.116,portal.lns.gob.gt
190.111.29.118,lns.gob.gt
190.113.88.181,mail.munimixco.gob.gt
190.113.89.162,app.muniriobravo.gob.gt
190.113.89.162,authorizations.muniriobravo.gob.gt
190.113.89.162,fletes.muniriobravo.gob.gt
190.113.89.162,cpanel.muniriobravo.gob.gt
190.113.89.162,florsecret.muniriobravo.gob.gt
190.113.89.162,fletesportal.muniriobravo.gob.gt
190.113.89.162,muniriobravo.gob.gt
190.113.89.162,supporttech.muniriobravo.gob.gt
190.113.89.162,webmail.muniriobravo.gob.gt
190.113.89.162,www.supporttech.muniriobravo.gob.gt
190.113.89.162,app.muniriobravo.gob.gt
190.113.89.162,cpanel.muniriobravo.gob.gt
190.113.89.162,authorizations.muniriobravo.gob.gt
190.113.89.162,feria.muniriobravo.gob.gt
190.113.89.162,fletes.muniriobravo.gob.gt
190.113.89.162,florsecret.muniriobravo.gob.gt
190.113.89.162,muniriobravo.gob.gt
190.113.89.162,supporttech.muniriobravo.gob.gt
190.113.89.162,webmail.muniriobravo.gob.gt
190.113.89.162,cpanel.muniriobravo.gob.gt
190.113.89.162,www.supporttech.muniriobravo.gob.gt
190.113.89.162,webmail.muniriobravo.gob.gt
190.113.89.162,muniriobravo.gob.gt
34.70.172.192,snib.conap.gob.gt
34.70.172.192,snib.conap.gob.gt
190.115.0.17,munisacapulas.gob.gt
190.115.7.195,inde.gob.gt
190.115.7.195,mail.inde.gob.gt
190.115.7.196,inde.gob.gt
190.115.7.196,inde.gob.gt
190.115.7.197,197.7.115.190.inde.gob.gt
