ip_address,domain
84.32.84.96,servicopublico.gov.gw
93.127.173.227,gov.gw
93.127.196.34,servicopublico.gov.gw
93.127.196.188,gov.gw
88.222.243.151,servicopublico.gov.gw
88.222.243.223,gov.gw
10.69.69.10,gov.gw
148.135.128.163,servicopublico.gov.gw
148.135.134.160,guinebissau.gov.gw
148.135.134.160,guinebissau.gov.gw
91.108.123.37,gov.gw
77.37.42.182,servicopublico.gov.gw
77.37.48.235,servicopublico.gov.gw
77.37.55.66,gov.gw
77.37.55.156,servicopublico.gov.gw
77.37.75.105,servicopublico.gov.gw
77.37.76.181,servicopublico.gov.gw
147.79.120.169,servicopublico.gov.gw
185.77.97.165,servicopublico.gov.gw
185.170.199.75,gov.gw
92.48.108.135,srv1.gov.gw
92.113.16.120,servicopublico.gov.gw
92.113.16.170,servicopublico.gov.gw
92.113.16.206,gov.gw
92.113.16.234,gov.gw
92.113.23.101,gov.gw
92.113.23.146,gov.gw
191.96.144.87,gov.gw
191.101.104.201,gov.gw
89.116.109.123,servicopublico.gov.gw
89.116.213.46,servicopublico.gov.gw
195.35.38.85,minInT.goV.GW
195.35.38.85,aacgb.gov.gw
195.35.38.85,apgb.gov.gw
195.35.38.85,cnc.gov.gw
195.35.38.85,gpm.gov.gw
195.35.38.85,guinebissau.gov.gw
195.35.38.85,imp.gov.gw
195.35.38.85,mabac.gov.gw
195.35.38.85,madr.gov.gw
195.35.38.85,mafdr.gov.gw
195.35.38.85,mapefpss.gov.gw
195.35.38.85,mapme.gov.gw
195.35.38.85,masfpm.gov.gw
195.35.38.85,matdl.gov.gw
195.35.38.85,matpl.gov.gw
195.35.38.85,mci.gov.gw
195.35.38.85,mclp.gov.gw
195.35.38.85,mcs.gov.gw
195.35.38.85,mdn.gov.gw
195.35.38.85,mef.gov.gw
195.35.38.85,menesic.gov.gw
195.35.38.85,minener.gov.gw
195.35.38.85,mcjd.gov.gw
195.35.38.85,minfin.gov.gw
195.35.38.85,minint.gov.gw
195.35.38.85,miop.gov.gw
195.35.38.85,mjdh.gov.gw
195.35.38.85,mmfss.gov.gw
195.35.38.85,mnecic.gov.gw
195.35.38.85,mophu.gov.gw
195.35.38.85,mpcmap.gov.gw
195.35.38.85,mpem.gov.gw
195.35.38.85,mta.gov.gw
195.35.38.85,mrn.gov.gw
195.35.38.85,mtted.gov.gw
195.35.38.85,pm.gov.gw
195.35.38.85,mtc.gov.gw
195.35.38.85,seab.gov.gw
195.35.38.85,seted.gov.gw
195.35.38.85,aacgb.gov.gw
195.35.38.85,apgb.gov.gw
195.35.38.85,cnc.gov.gw
195.35.38.85,msp.gov.gw
195.35.38.85,gov.gw
195.35.38.85,gpm.gov.gw
195.35.38.85,guinebissau.gov.gw
195.35.38.85,imp.gov.gw
195.35.38.85,mabac.gov.gw
195.35.38.85,madr.gov.gw
195.35.38.85,mafdr.gov.gw
195.35.38.85,mapefpss.gov.gw
195.35.38.85,mapme.gov.gw
195.35.38.85,masfpm.gov.gw
195.35.38.85,matdl.gov.gw
195.35.38.85,matpl.gov.gw
195.35.38.85,mci.gov.gw
195.35.38.85,mcjd.gov.gw
195.35.38.85,mclp.gov.gw
195.35.38.85,mcs.gov.gw
195.35.38.85,mdn.gov.gw
195.35.38.85,menesic.gov.gw
195.35.38.85,minener.gov.gw
195.35.38.85,minfin.gov.gw
195.35.38.85,minint.gov.gw
195.35.38.85,miop.gov.gw
195.35.38.85,mjdh.gov.gw
195.35.38.85,mmfss.gov.gw
195.35.38.85,mnecic.gov.gw
195.35.38.85,mophu.gov.gw
195.35.38.85,mpcmap.gov.gw
195.35.38.85,mpem.gov.gw
195.35.38.85,mrn.gov.gw
195.35.38.85,msp.gov.gw
195.35.38.85,mta.gov.gw
195.35.38.85,mtted.gov.gw
195.35.38.85,pm.gov.gw
195.35.38.85,seted.gov.gw
195.35.60.196,gov.gw
