ip_address,domain
35.95.166.55,infosec.ndma.gov.gy
35.95.166.55,securitytraining.nisa.gov.gy
35.95.166.55,securitytraining.nisa.gov.gy
190.80.1.214,gp.gwi.gy
190.80.2.116,ggmc.gov.gy
190.80.2.117,geoportal.gov.gy
190.80.11.34,corsnet.gov.gy
190.80.11.34,corsnet.gov.gy
190.80.11.34,www.corsnet.gov.gy
190.80.28.178,ns11.gwi.gy
190.80.28.179,webmail.gwi.gy
190.80.28.180,ns2.gwi.gy
190.80.28.181,ns1.gwi.gy
190.80.28.193,mail.health.gov.gy
190.80.28.193,MAIL.health.gov.gy
190.80.28.193,health.gov.gy
190.80.28.193,mail.health.gov.gy
190.80.29.178,gra.gov.gy
190.80.29.178,gra.gov.gy
190.80.29.178,autodiscover.gra.gov.gy
190.80.29.178,gra.gov.gy
190.80.29.178,mail.gra.gov.gy
190.80.29.178,owa.gra.gov.gy
190.80.29.178,www.gra.gov.gy
190.80.29.179,mail.gra.gov.gy
190.80.29.179,autodiscover.gra.gov.gy
190.80.29.179,mail.gra.gov.gy
190.80.29.179,autodiscover.gra.gov.gy
190.80.29.179,gra.gov.gy
190.80.29.179,www.gra.gov.gy
190.80.29.179,owa.gra.gov.gy
190.80.29.179,mail.gra.gov.gy
190.80.29.180,autodiscover.gra.gov.gy
190.80.29.180,gra.gov.gy
190.80.29.180,mail.gra.gov.gy
190.80.29.180,owa.gra.gov.gy
190.80.29.180,www.gra.gov.gy
190.80.29.181,ns1.gra.gov.gy
190.80.29.181,ns1.gra.gov.gy
190.80.29.182,ns2.gra.gov.gy
190.80.29.182,ns2.gra.gov.gy
190.80.29.186,customs.gra.gov.gy
190.80.29.186,autodiscover.gra.gov.gy
190.80.29.186,gra.gov.gy
190.80.29.186,mail.gra.gov.gy
190.80.29.186,owa.gra.gov.gy
190.80.29.186,www.gra.gov.gy
190.80.29.187,autodiscover.gra.gov.gy
190.80.29.187,gra.gov.gy
190.80.29.187,ess.gra.gov.gy
190.80.29.187,mail.gra.gov.gy
190.80.29.187,owa.gra.gov.gy
190.80.29.187,www.gra.gov.gy
190.80.29.188,portal.gra.gov.gy
190.80.29.188,autodiscover.gra.gov.gy
190.80.29.188,customstrain.gra.gov.gy
190.80.29.188,gra.gov.gy
190.80.29.188,mail.gra.gov.gy
190.80.29.188,owa.gra.gov.gy
190.80.29.188,portal.gra.gov.gy
190.80.29.188,www.gra.gov.gy
190.80.29.189,autodiscover.gra.gov.gy
190.80.29.189,gra.gov.gy
190.80.29.189,ides.gra.gov.gy
190.80.29.189,mail.gra.gov.gy
190.80.29.189,owa.gra.gov.gy
190.80.29.189,vizorpt.gra.gov.gy
190.80.29.189,vizorsc.gra.gov.gy
190.80.29.189,www.gra.gov.gy
190.80.29.190,autodiscover.gra.gov.gy
190.80.29.190,eservices.gra.gov.gy
190.80.29.190,mail.gra.gov.gy
190.80.29.190,gra.gov.gy
190.80.29.190,owa.gra.gov.gy
