ip_address,domain
43.132.126.228,www.gov.hk
175.45.32.217,vpn.doj.gov.hk
175.45.32.217,vpn.doj.gov.hk
175.45.33.110,www.inotes.doj.gov.hk
175.45.33.110,www.isit-hkel.doj.gov.hk
175.45.33.114,mm1.doj.gov.hk
175.45.33.115,rs1.doj.gov.hk
175.45.33.117,wmail.doj.gov.hk
175.45.33.118,lib.doj.gov.hk
175.45.33.118,lib1.doj.gov.hk
175.45.33.119,wmail2.doj.gov.hk
175.45.33.121,vs1.doj.gov.hk
175.45.33.122,vs2.doj.gov.hk
175.45.33.202,eform.bd.gov.hk
175.45.57.134,iccswebcis.1823.gov.hk
175.45.63.59,sslvpn.aud.gov.hk
43.152.58.125,bjo.gov.hk
43.152.58.125,www.bjo.gov.hk
43.152.58.125,cavern.gov.hk
43.152.58.125,www.cavern.gov.hk
43.152.58.125,lantau.gov.hk
43.152.58.125,www.lantau.gov.hk
43.152.58.125,nentnda.gov.hk
43.152.58.125,www.nentnda.gov.hk
43.152.58.125,tela.gov.hk
43.152.58.125,www.tela.gov.hk
43.152.58.125,urbanunderground.gov.hk
43.152.58.125,undergroundspace.gov.hk
43.152.58.125,www.urbanunderground.gov.hk
43.152.58.125,www.undergroundspace.gov.hk
43.152.58.125,www.gov.hk
43.154.94.77,21171069.gov.hk
43.154.94.77,2025nationalgames.gov.hk
43.154.94.77,5g.gov.hk
43.154.94.77,80avictory.gov.hk
43.154.94.77,access.gov.hk
43.154.94.77,adcc.gov.hk
43.154.94.77,admwing.gov.hk
43.154.94.77,afrrt.gov.hk
43.154.94.77,aids.gov.hk
43.154.94.77,ais.gov.hk
43.154.94.77,amo.gov.hk
43.154.94.77,ams.gov.hk
43.154.94.77,ao-recruitment.gov.hk
43.154.94.77,ars.gov.hk
43.154.94.77,archsd.gov.hk
43.154.94.77,artatharbour.gov.hk
43.154.94.77,atb.gov.hk
43.154.94.77,ate.gov.hk
43.154.94.77,atf.gov.hk
43.154.94.77,aud.gov.hk
43.154.94.77,basiclawcourtcase.gov.hk
43.154.94.77,basiclaw.gov.hk
43.154.94.77,bayarea.gov.hk
43.154.94.77,bd.gov.hk
43.154.94.77,bdap.gov.hk
