ip_address,domain
84.2.36.135,arveres.nav.gov.hu
84.2.36.135,arveres.nav.gov.hu
84.2.36.136,test.arveres.nav.gov.hu
84.2.36.136,test.arveres.nav.gov.hu
84.2.36.137,arveres.vam.gov.hu
84.2.36.137,arveres.vam.gov.hu
108.128.58.13,api.dev.deregulaciosportal.gov.hu
108.129.47.143,api.dev.deregulaciosportal.gov.hu
98.64.80.168,nkfh.gov.hu
34.91.63.205,mfi.gov.hu
34.91.63.205,mfi.gov.hu
34.91.63.205,mfi.gov.hu
108.142.133.152,uvegkapu.gov.hu
108.142.133.152,uvegkapu.gov.hu
108.156.172.31,dev.deregulaciosportal.gov.hu
108.156.172.46,dev.deregulaciosportal.gov.hu
108.156.172.47,dev.deregulaciosportal.gov.hu
108.156.172.54,dev.deregulaciosportal.gov.hu
193.6.21.2,www5.okm.gov.hu
193.6.21.3,www6.okm.gov.hu
193.6.101.11,nemzetipark.gov.hu
193.6.108.193,merced.ihm.gov.hu
193.6.108.20,mail.ihm.gov.hu
193.6.186.25,hbmkh.gov.hu
193.6.186.101,hbmkh.gov.hu
193.6.201.45,kultstat.emmi.gov.hu
193.6.201.45,kultstat2011.emmi.gov.hu
193.6.201.45,kultstat2012.emmi.gov.hu
193.6.201.45,kultstat2013.emmi.gov.hu
193.6.201.45,kultstat2015.emmi.gov.hu
193.6.201.45,kultstat2014.emmi.gov.hu
193.6.201.45,kultstat2016.emmi.gov.hu
193.6.201.45,kultstat.okm.gov.hu
193.6.201.45,kultstat2009.okm.gov.hu
193.6.201.45,kultstat2010.okm.gov.hu
193.6.201.45,kultstat2008.okm.gov.hu
193.6.236.2,bud.fwring.allamkincstar.gov.hu
193.6.236.6,bar.fwring.allamkincstar.gov.hu
193.6.236.10,bac.fwring.allamkincstar.gov.hu
193.6.236.14,bek.fwring.allamkincstar.gov.hu
193.6.236.18,bor.fwring.allamkincstar.gov.hu
193.6.236.22,cso.fwring.allamkincstar.gov.hu
193.6.236.26,fej.fwring.allamkincstar.gov.hu
193.6.236.34,haj.fwring.allamkincstar.gov.hu
193.6.236.30,gyo.fwring.allamkincstar.gov.hu
193.6.236.38,hev.fwring.allamkincstar.gov.hu
193.6.236.42,kom.fwring.allamkincstar.gov.hu
193.6.236.54,som.fwring.allamkincstar.gov.hu
193.6.236.46,nog.fwring.allamkincstar.gov.hu
193.6.236.58,sza.fwring.allamkincstar.gov.hu
193.6.236.62,jas.fwring.allamkincstar.gov.hu
193.6.236.70,vas.fwring.allamkincstar.gov.hu
193.6.236.66,tol.fwring.allamkincstar.gov.hu
193.6.236.74,ves.fwring.allamkincstar.gov.hu
193.6.236.78,zal.fwring.allamkincstar.gov.hu
193.6.236.82,ahh-fw.allamkincstar.gov.hu
193.6.237.17,erdtan.et.gov.hu
193.6.237.17,erdtan.et.gov.hu
