ip_address,domain
172.67.74.177,cpcontacts.umbjm.ac.id
172.67.74.177,fai.umbjm.ac.id
172.67.74.177,fkik.umbjm.ac.id
172.67.74.177,fak-farmasi.umbjm.ac.id
172.67.74.177,library.umbjm.ac.id
172.67.74.177,mail.umbjm.ac.id
172.67.74.177,portalp3m.umbjm.ac.id
172.67.74.177,www.brosur.umbjm.ac.id
172.67.74.177,webdisk.umbjm.ac.id
172.67.74.177,www.library.umbjm.ac.id
172.67.74.177,www.umbjm.ac.id
172.67.74.177,www.fai.umbjm.ac.id
172.67.74.180,dev1.unwahas.ac.id
172.67.74.180,elearning.unwahas.ac.id
172.67.74.180,faperta.unwahas.ac.id
172.67.74.180,farmasi.unwahas.ac.id
172.67.74.180,fai.unwahas.ac.id
172.67.74.180,feb.unwahas.ac.id
172.67.74.180,fh.unwahas.ac.id
172.67.74.180,fkip.unwahas.ac.id
172.67.74.180,hosting5.unwahas.ac.id
172.67.74.180,jurnal.fk.unwahas.ac.id
172.67.74.180,kkn.unwahas.ac.id
172.67.74.180,lpmp.unwahas.ac.id
172.67.74.180,lib.fk.unwahas.ac.id
172.67.74.180,manajemen.feb.unwahas.ac.id
172.67.74.180,fk.unwahas.ac.id
172.67.74.180,pmb.unwahas.ac.id
172.67.74.180,pps.unwahas.ac.id
172.67.74.180,publikasiilmiah.unwahas.ac.id
172.67.74.180,sicantik.unwahas.ac.id
172.67.74.180,sikadu.unwahas.ac.id
172.67.74.180,sipnim.fk.unwahas.ac.id
172.67.74.180,sippu.unwahas.ac.id
172.67.74.180,teknik.unwahas.ac.id
172.67.74.180,unwahas.ac.id
172.67.74.180,daftarwisuda.uhn.ac.id
172.67.74.180,melogbookfk.uhn.ac.id
172.67.74.180,pmb.uhn.ac.id
172.67.74.180,simkeu.uhn.ac.id
172.67.74.180,simpeg.uhn.ac.id
172.67.74.180,sippmas.uhn.ac.id
172.67.74.180,sisfo.uhn.ac.id
172.67.74.180,bs.uhn.ac.id
172.67.74.180,uhn.ac.id
172.67.74.190,bapperida.tanggamus.go.id
172.67.74.190,diskominfo.tanggamus.go.id
172.67.74.190,repository.tanggamus.go.id
172.67.74.190,spbe.tanggamus.go.id
172.67.74.190,tanggamus.go.id
172.67.74.191,19121958admin-web.ums.ac.id
172.67.74.191,acec.ums.ac.id
172.67.74.191,admin-swbooking-io.ums.ac.id
172.67.74.191,adminfeeder.ums.ac.id
172.67.74.191,akuntansi.ums.ac.id
172.67.74.191,ami.ums.ac.id
172.67.74.191,amal-farmasi.ums.ac.id
172.67.74.191,api.ums.ac.id
172.67.74.191,auth.ums.ac.id
172.67.74.191,baa.ums.ac.id
172.67.74.191,bkbh.ums.ac.id
172.67.74.191,bukuajar.ums.ac.id
172.67.74.191,cdn-baa.ums.ac.id
172.67.74.191,devops.ums.ac.id
172.67.74.191,eprints.ums.ac.id
172.67.74.191,icb-pharma.ums.ac.id
172.67.74.191,ika-fik.ums.ac.id
172.67.74.191,insights.ums.ac.id
172.67.74.191,itsm.ums.ac.id
172.67.74.191,jafa.ums.ac.id
172.67.74.191,io.ums.ac.id
172.67.74.191,journals.ums.ac.id
172.67.74.191,journals2.ums.ac.id
172.67.74.191,kesmas.ums.ac.id
172.67.74.191,kkn-tematikfik.ums.ac.id
172.67.74.191,languacheck.ums.ac.id
172.67.74.191,lelang.ums.ac.id
172.67.74.191,library.ums.ac.id
172.67.74.191,lmspesma.ums.ac.id
172.67.74.191,lri.ums.ac.id
172.67.74.191,lulusan.ums.ac.id
172.67.74.191,myaset.ums.ac.id
172.67.74.191,mydisertasi.ums.ac.id
172.67.74.191,myakademik.ums.ac.id
172.67.74.191,mymbkm.ums.ac.id
172.67.74.191,mykeu.ums.ac.id
172.67.74.191,mymobility.ums.ac.id
172.67.74.191,mystore.ums.ac.id
172.67.74.191,myskripsi.ums.ac.id
172.67.74.191,mytesis.ums.ac.id
172.67.74.191,myujian.ums.ac.id
172.67.74.191,news.ums.ac.id
172.67.74.191,plo.ums.ac.id
172.67.74.191,pascatm.ums.ac.id
172.67.74.191,s3tm.ums.ac.id
172.67.74.191,satudata.ums.ac.id
172.67.74.191,simkeu.ums.ac.id
172.67.74.191,sim-rsgmsoelastri.ums.ac.id
172.67.74.191,selfservice-lib.ums.ac.id
172.67.74.191,sipresma.ums.ac.id
172.67.74.191,spada6.ums.ac.id
172.67.74.191,sso.ums.ac.id
172.67.74.191,sipas-psikologi.ums.ac.id
172.67.74.191,staff-ods.ums.ac.id
172.67.74.191,star-akreditasi.ums.ac.id
172.67.74.191,star-parent.ums.ac.id
172.67.74.191,starn.ums.ac.id
172.67.74.191,tesis.ums.ac.id
172.67.74.191,ums.ac.id
172.67.74.191,swbooking-io.ums.ac.id
172.67.74.191,unggah-eprints.ums.ac.id
172.67.74.191,www.ums.ac.id
172.67.74.191,wisuda.ums.ac.id
172.67.74.191,adminfeeder.ums.ac.id
172.67.74.191,amal-farmasi.ums.ac.id
172.67.74.191,lelang.ums.ac.id
172.67.74.191,baa.ums.ac.id
172.67.74.191,library.ums.ac.id
172.67.74.191,myakademik.ums.ac.id
172.67.74.191,myskripsi.ums.ac.id
172.67.74.191,mydisertasi.ums.ac.id
172.67.74.191,mytesis.ums.ac.id
172.67.74.191,myujian.ums.ac.id
172.67.74.191,pascatm.ums.ac.id
172.67.74.191,plo.ums.ac.id
172.67.74.191,presensi-myaik.ums.ac.id
172.67.74.191,registrasi-bkd.ums.ac.id
172.67.74.191,s3tm.ums.ac.id
172.67.74.191,satudata.ums.ac.id
172.67.74.191,selfservice-lib.ums.ac.id
172.67.74.191,sim-rsgmsoelastri.ums.ac.id
172.67.74.191,simkeu.ums.ac.id
172.67.74.191,spada6.ums.ac.id
172.67.74.191,sso.ums.ac.id
172.67.74.191,staff-ods.ums.ac.id
172.67.74.191,star-akreditasi.ums.ac.id
172.67.74.191,star-parent.ums.ac.id
172.67.74.191,starn.ums.ac.id
172.67.74.191,store.ums.ac.id
172.67.74.191,tesis.ums.ac.id
172.67.74.191,ums.ac.id
172.67.74.191,unggah-eprints.ums.ac.id
172.67.74.191,19121958admin-web.ums.ac.id
172.67.74.191,ami.ums.ac.id
172.67.74.191,acmpts.ums.ac.id
172.67.74.191,apc.ums.ac.id
172.67.74.191,apih2h.ums.ac.id
172.67.74.191,api.ums.ac.id
172.67.74.191,apple.ums.ac.id
172.67.74.191,asset-fik.ums.ac.id
172.67.74.191,auth.ums.ac.id
172.67.74.191,baa.ums.ac.id
172.67.74.191,bookstore.ums.ac.id
172.67.74.191,cdn.ums.ac.id
172.67.74.191,cdn-baa.ums.ac.id
172.67.74.191,cme.ums.ac.id
172.67.74.191,conferences.ums.ac.id
172.67.74.191,eprints.ums.ac.id
172.67.74.191,dietisien.ums.ac.id
172.67.74.191,hukumtransendental.ums.ac.id
172.67.74.191,iceiss.ums.ac.id
172.67.74.191,icetia.ums.ac.id
172.67.74.191,icgdm.ums.ac.id
172.67.74.191,icce.ums.ac.id
172.67.74.191,icmb.ums.ac.id
172.67.74.191,icoams.ums.ac.id
172.67.74.191,icoebs.ums.ac.id
172.67.74.191,icolae.ums.ac.id
172.67.74.191,icollit.ums.ac.id
172.67.74.191,icomer.ums.ac.id
172.67.74.191,icrtlaw.ums.ac.id
172.67.74.191,incobest.ums.ac.id
172.67.74.191,insights.ums.ac.id
172.67.74.191,iseth.ums.ac.id
172.67.74.191,isp.ums.ac.id
172.67.74.191,isrecod.ums.ac.id
172.67.74.191,jsr.lib.ums.ac.id
172.67.74.191,lelang.ums.ac.id
172.67.74.191,login.ums.ac.id
172.67.74.191,lppi.ums.ac.id
172.67.74.191,lulusan.ums.ac.id
172.67.74.191,mest.ums.ac.id
172.67.74.191,mih.ums.ac.id
172.67.74.191,my.ums.ac.id
172.67.74.191,mydisertasi.ums.ac.id
172.67.74.191,mykeu.ums.ac.id
172.67.74.191,mymbkm.ums.ac.id
172.67.74.191,nhcos.ums.ac.id
172.67.74.191,proceedings.ums.ac.id
172.67.74.191,rapi.ums.ac.id
172.67.74.191,rapmafm.ukm.ums.ac.id
172.67.74.191,sarjanahukum.ums.ac.id
172.67.74.191,semnas.ums.ac.id
172.67.74.191,semnaskep.ums.ac.id
172.67.74.191,siar.ums.ac.id
172.67.74.191,sihrd.ums.ac.id
172.67.74.191,simawa-fik.ums.ac.id
172.67.74.191,siml.ums.ac.id
172.67.74.191,simpkm.ums.ac.id
172.67.74.191,snp.ums.ac.id
172.67.74.191,spada1.ums.ac.id
172.67.74.191,spada2.ums.ac.id
172.67.74.191,spada4.ums.ac.id
172.67.74.191,spada5.ums.ac.id
172.67.74.191,spada6.ums.ac.id
172.67.74.191,spada7.ums.ac.id
172.67.74.191,staff-ods.ums.ac.id
172.67.74.191,star-parent.ums.ac.id
172.67.74.191,surel.ums.ac.id
172.67.74.191,tesis.ums.ac.id
172.67.74.191,ums.ac.id
172.67.74.191,vokasi.ums.ac.id
172.67.74.191,wisuda.ums.ac.id
172.67.74.191,ws.ums.ac.id
172.67.74.197,arsipjurnal.usm.ac.id
172.67.74.197,apps.usm.ac.id
172.67.74.197,atk.usm.ac.id
172.67.74.197,beasiswa.usm.ac.id
172.67.74.197,digilib.usm.ac.id
172.67.74.197,ebooks.usm.ac.id
172.67.74.197,edc.usm.ac.id
172.67.74.197,ekonomi.usm.ac.id
172.67.74.197,finance.usm.ac.id
172.67.74.197,ima.usm.ac.id
172.67.74.197,fstpt.usm.ac.id
172.67.74.197,international.usm.ac.id
172.67.74.197,iprosiding.usm.ac.id
172.67.74.197,illeter.usm.ac.id
172.67.74.197,journals.usm.ac.id
172.67.74.197,konversi.usm.ac.id
172.67.74.197,languageculturecenter.usm.ac.id
172.67.74.197,library.usm.ac.id
172.67.74.197,ltc.usm.ac.id
172.67.74.197,ltcbeta.usm.ac.id
172.67.74.197,pasca.usm.ac.id
172.67.74.197,pendaftaran.usm.ac.id
172.67.74.197,pmb.usm.ac.id
172.67.74.197,portal.usm.ac.id
172.67.74.197,psikologi.usm.ac.id
172.67.74.197,sibudget.usm.ac.id
172.67.74.197,sima.usm.ac.id
172.67.74.197,teknik.usm.ac.id
172.67.74.197,skpi.usm.ac.id
172.67.74.197,tp.usm.ac.id
172.67.74.197,tracer.usm.ac.id
172.67.74.197,tracerstudy.usm.ac.id
172.67.74.197,transit-ftik.usm.ac.id
172.67.74.197,transit.ftik.usm.ac.id
172.67.74.197,ucac.usm.ac.id
172.67.74.197,warta.usm.ac.id
172.67.74.197,usm.ac.id
172.67.74.197,atk.usm.ac.id
172.67.74.197,aplikasi-bpm.usm.ac.id
172.67.74.197,bpm.usm.ac.id
172.67.74.197,languageculturecenter.usm.ac.id
172.67.74.197,uptkomputer.usm.ac.id
172.67.74.197,pmb.usm.ac.id
172.67.74.197,usm.ac.id
172.67.74.197,usmpress.usm.ac.id
172.67.74.203,agenda-bkpsdm.hsu.go.id
172.67.74.203,agenda-diskominfosandi.hsu.go.id
172.67.74.203,api-wilayah.hsu.go.id
172.67.74.203,bapenda.hsu.go.id
172.67.74.203,bkpsdm.hsu.go.id
172.67.74.203,blkamuntai.hsu.go.id
172.67.74.203,bpbd.hsu.go.id
172.67.74.203,bpkad.hsu.go.id
172.67.74.203,covid19.hsu.go.id
172.67.74.203,csirt.hsu.go.id
172.67.74.203,dekranasda.hsu.go.id
172.67.74.203,dinkes.hsu.go.id
172.67.74.203,dinsos.hsu.go.id
172.67.74.203,dishub.hsu.go.id
172.67.74.203,disdik.hsu.go.id
172.67.74.203,disperindagkop.hsu.go.id
172.67.74.203,disperkimlh.hsu.go.id
172.67.74.203,diskominfo.hsu.go.id
172.67.74.203,dispora.hsu.go.id
172.67.74.203,dispersip.hsu.go.id
172.67.74.203,dpmptsp.hsu.go.id
172.67.74.203,dpmptspnaker.hsu.go.id
172.67.74.203,dppkb.hsu.go.id
172.67.74.203,dpppa.hsu.go.id
172.67.74.203,dpmd.hsu.go.id
172.67.74.203,dprd.hsu.go.id
172.67.74.203,dpuprp.hsu.go.id
172.67.74.203,dpupr.hsu.go.id
172.67.74.203,ds-banyuhirang.hsu.go.id
172.67.74.203,ds-baru.hsu.go.id
172.67.74.203,ds-manaraphulu.hsu.go.id
172.67.74.203,ds-jarangkuantan.hsu.go.id
172.67.74.203,ds-murungpanggang.hsu.go.id
172.67.74.203,ds-pandamaan.hsu.go.id
172.67.74.203,ds-danaupanggang.hsu.go.id
172.67.74.203,ds-telukmesjiddp.hsu.go.id
172.67.74.203,ds-telukmesjidsp.hsu.go.id
