ip_address,domain
35.71.142.77,neh.gov.ie
35.71.142.77,www.neh.gov.ie
2a01:7e00::f03c:91ff:fe26:5fdc,ppp.gov.ie
2a01:7e00::f03c:91ff:fe26:5fdc,www.ppp.gov.ie
34.36.133.187,admin3.g2ia.gov.ie
34.36.133.187,admin3.g2ia.gov.ie
34.36.133.187,admin3.g2ia.gov.ie
143.42.56.117,biodiversity.heritage.gov.ie
143.42.56.117,hfainsights.housing.gov.ie
143.42.56.117,staging.housing.gov.ie
143.42.56.117,tasks.housing.gov.ie
143.42.56.117,www.insights.housing.gov.ie
143.42.56.117,www.noac.gov.ie
143.42.56.117,noac.gov.ie
143.42.56.117,tithiocht.gov.ie
143.42.56.117,www.tithiocht.gov.ie
143.42.56.117,biodiversity.heritage.gov.ie
143.42.56.117,hfainsights.housing.gov.ie
143.42.56.117,staging.housing.gov.ie
143.42.56.117,tasks.housing.gov.ie
143.42.56.117,www.insights.housing.gov.ie
143.42.56.117,hfainsights.housing.gov.ie
143.42.56.117,tasks.housing.gov.ie
143.42.56.117,staging.housing.gov.ie
143.42.56.117,www.insights.housing.gov.ie
143.42.56.117,noac.gov.ie
143.42.56.117,www.noac.gov.ie
143.42.56.117,noac.gov.ie
143.42.56.117,www.noac.gov.ie
143.42.56.117,tithiocht.gov.ie
143.42.56.117,www.tithiocht.gov.ie
143.42.56.117,www.tithiocht.gov.ie
143.42.56.117,tithiocht.gov.ie
143.204.9.6,agents.prod.digital-wallet.gov.ie
143.204.9.24,agents.prod.digital-wallet.gov.ie
143.204.9.66,agents.prod.digital-wallet.gov.ie
143.204.9.85,agents.prod.digital-wallet.gov.ie
108.128.2.52,dev.blocks.gov.ie
108.128.62.153,negative-test.digitalcovidcertificates.gov.ie
108.128.137.236,www.gov.ie
108.138.26.42,agents.dev.digital-wallet.gov.ie
108.138.26.69,agents.dev.digital-wallet.gov.ie
108.138.26.85,agents.dev.digital-wallet.gov.ie
108.138.26.114,agents.dev.digital-wallet.gov.ie
108.156.2.25,agents.uat.digital-wallet.gov.ie
108.156.2.95,agents.uat.digital-wallet.gov.ie
108.156.2.114,agents.uat.digital-wallet.gov.ie
108.156.2.121,agents.uat.digital-wallet.gov.ie
108.156.22.2,agents.pentest.digital-wallet.gov.ie
108.156.22.13,agents.pentest.digital-wallet.gov.ie
108.156.22.75,agents.pentest.digital-wallet.gov.ie
108.156.22.115,agents.pentest.digital-wallet.gov.ie
108.157.173.8,agents.dev.digital-wallet.gov.ie
108.157.173.40,agents.dev.digital-wallet.gov.ie
108.157.173.46,agents.dev.digital-wallet.gov.ie
108.157.173.98,agents.dev.digital-wallet.gov.ie
108.157.254.35,life.gov.ie
108.157.254.80,life.gov.ie
108.157.254.95,life.gov.ie
108.157.254.126,life.gov.ie
193.120.127.210,ns2.gov.ie
151.236.216.118,construction.testing.gov.ie
151.236.216.118,dev.testing.gov.ie
151.236.216.118,egovstrategy.testing.gov.ie
151.236.216.118,contentmabs.testing.gov.ie
151.236.216.118,igees.testing.gov.ie
151.236.216.118,peerreview.testing.gov.ie
151.236.216.118,publicspendingcode.testing.gov.ie
151.236.216.118,foi.testing.gov.ie
151.236.221.219,rdoforum.gov.ie
151.236.221.219,tempsite.gov.ie
193.178.1.88,abdci.gov.ie
193.178.1.104,e-libs.gov.ie
193.178.1.111,servcat.gov.ie
193.178.1.186,tourism.gov.ie
193.178.1.186,sport.gov.ie
193.178.1.220,www.oireachtas-debates.gov.ie
193.178.2.59,e-tenders.gov.ie
193.178.2.59,www.e-tenders.gov.ie
193.178.2.131,marine.gov.ie
193.178.2.131,www.marine.gov.ie
193.178.2.231,suprem.gov.ie
193.178.30.157,elibs.gov.ie
193.178.30.243,reentryvisa.inis.gov.ie
193.178.64.1,h193-178-64-1.gn.gov.ie
193.178.64.2,h193-178-64-2.gn.gov.ie
193.178.64.3,h193-178-64-3.gn.gov.ie
193.178.64.5,h193-178-64-5.gn.gov.ie
193.178.64.4,h193-178-64-4.gn.gov.ie
193.178.64.6,h193-178-64-6.gn.gov.ie
193.178.64.7,h193-178-64-7.gn.gov.ie
193.178.64.9,h193-178-64-9.gn.gov.ie
193.178.64.10,h193-178-64-10.gn.gov.ie
193.178.64.12,h193-178-64-12.gn.gov.ie
193.178.64.13,h193-178-64-13.gn.gov.ie
193.178.64.8,h193-178-64-8.gn.gov.ie
193.178.64.14,h193-178-64-14.gn.gov.ie
193.178.64.16,h193-178-64-16.gn.gov.ie
193.178.64.17,h193-178-64-17.gn.gov.ie
193.178.64.15,h193-178-64-15.gn.gov.ie
193.178.64.18,h193-178-64-18.gn.gov.ie
193.178.64.19,h193-178-64-19.gn.gov.ie
193.178.64.22,h193-178-64-22.gn.gov.ie
193.178.64.21,h193-178-64-21.gn.gov.ie
193.178.64.23,h193-178-64-23.gn.gov.ie
193.178.64.25,h193-178-64-25.gn.gov.ie
193.178.64.24,h193-178-64-24.gn.gov.ie
193.178.64.28,h193-178-64-28.gn.gov.ie
193.178.64.27,h193-178-64-27.gn.gov.ie
193.178.64.29,h193-178-64-29.gn.gov.ie
193.178.64.30,h193-178-64-30.gn.gov.ie
193.178.64.31,h193-178-64-31.gn.gov.ie
193.178.64.32,h193-178-64-32.gn.gov.ie
193.178.64.33,h193-178-64-33.gn.gov.ie
193.178.64.34,h193-178-64-34.gn.gov.ie
193.178.64.35,h193-178-64-35.gn.gov.ie
193.178.64.36,h193-178-64-36.gn.gov.ie
193.178.64.37,h193-178-64-37.gn.gov.ie
193.178.64.38,h193-178-64-38.gn.gov.ie
193.178.64.40,h193-178-64-40.gn.gov.ie
193.178.64.41,h193-178-64-41.gn.gov.ie
193.178.64.39,h193-178-64-39.gn.gov.ie
193.178.64.42,h193-178-64-42.gn.gov.ie
193.178.64.43,h193-178-64-43.gn.gov.ie
193.178.64.44,h193-178-64-44.gn.gov.ie
193.178.64.45,h193-178-64-45.gn.gov.ie
193.178.64.46,h193-178-64-46.gn.gov.ie
193.178.64.47,h193-178-64-47.gn.gov.ie
193.178.64.48,h193-178-64-48.gn.gov.ie
193.178.64.50,h193-178-64-50.gn.gov.ie
193.178.64.51,h193-178-64-51.gn.gov.ie
193.178.64.52,h193-178-64-52.gn.gov.ie
193.178.64.53,h193-178-64-53.gn.gov.ie
193.178.64.54,h193-178-64-54.gn.gov.ie
193.178.64.49,h193-178-64-49.gn.gov.ie
193.178.64.55,h193-178-64-55.gn.gov.ie
193.178.64.57,h193-178-64-57.gn.gov.ie
193.178.64.58,h193-178-64-58.gn.gov.ie
193.178.64.56,h193-178-64-56.gn.gov.ie
193.178.64.59,h193-178-64-59.gn.gov.ie
193.178.64.60,h193-178-64-60.gn.gov.ie
193.178.64.61,h193-178-64-61.gn.gov.ie
193.178.64.62,h193-178-64-62.gn.gov.ie
193.178.64.63,h193-178-64-63.gn.gov.ie
193.178.64.64,h193-178-64-64.gn.gov.ie
193.178.64.65,h193-178-64-65.gn.gov.ie
193.178.64.66,h193-178-64-66.gn.gov.ie
193.178.64.67,h193-178-64-67.gn.gov.ie
193.178.64.68,h193-178-64-68.gn.gov.ie
193.178.64.69,h193-178-64-69.gn.gov.ie
193.178.64.72,h193-178-64-72.gn.gov.ie
193.178.64.71,h193-178-64-71.gn.gov.ie
193.178.64.73,h193-178-64-73.gn.gov.ie
193.178.64.75,h193-178-64-75.gn.gov.ie
193.178.64.74,h193-178-64-74.gn.gov.ie
193.178.64.79,h193-178-64-79.gn.gov.ie
193.178.64.81,h193-178-64-81.gn.gov.ie
193.178.64.80,h193-178-64-80.gn.gov.ie
193.178.64.82,h193-178-64-82.gn.gov.ie
193.178.64.83,h193-178-64-83.gn.gov.ie
193.178.64.78,h193-178-64-78.gn.gov.ie
193.178.64.85,h193-178-64-85.gn.gov.ie
193.178.64.84,h193-178-64-84.gn.gov.ie
193.178.64.86,h193-178-64-86.gn.gov.ie
193.178.64.87,h193-178-64-87.gn.gov.ie
193.178.64.89,h193-178-64-89.gn.gov.ie
193.178.64.90,h193-178-64-90.gn.gov.ie
193.178.64.91,h193-178-64-91.gn.gov.ie
193.178.64.92,h193-178-64-92.gn.gov.ie
193.178.64.95,h193-178-64-95.gn.gov.ie
