ip_address,domain
34.0.66.50,reconclick-ppd.idf.il
34.0.66.50,reconclick-ppd.idf.il
34.0.64.254,eliezer.dev.idf.il
34.0.64.254,www.eliezer.dev.idf.il
34.0.68.228,pzrag.dev.idf.il
34.0.78.24,prtlhtl-ppd.idf.il
34.0.78.24,prtlhtl-ppd.idf.il
34.0.77.79,plansbot.pmo.gov.il
34.0.71.8,punch-it.idf.il
34.0.71.8,punch-it.idf.il
34.0.67.229,punchit.dev.idf.il
34.0.67.229,www.punchit.dev.idf.il
34.0.80.158,gis.mapi.gov.il
34.0.68.142,www.gcptest.dev.idf.il
34.0.68.142,gcptest.dev.idf.il
34.0.83.89,srvconclick-ppd.idf.il
34.0.83.89,srvconclick-ppd.idf.il
34.0.84.253,punch-it-ppd.idf.il
34.0.84.253,punch-it-ppd.idf.il
34.8.49.181,openapi-g-t.iplan.gov.il
34.8.49.181,openapi-g-t.iplan.gov.il
34.8.84.97,authappsdev.economy.gov.il
34.8.84.97,authappsdev.economy.gov.il
34.8.107.129,openapi-gc.digital.gov.il
34.8.107.129,openapi-gc.digital.gov.il
34.8.107.129,openapi-gc.digital.gov.il
34.8.202.48,records-prd.iplan.gov.il
34.8.202.48,records-prd.iplan.gov.il
34.8.231.166,portal.gfu.digital.gov.il
34.8.231.166,portal.gfu.digital.gov.il
34.8.251.145,catalog.harhayeda.gov.il
34.8.251.145,catalog.harhayeda.gov.il
2a02:26f0:60:28f::6259,yahadt.digital.gov.il
2a02:26f0:6b:18a::6259,yahadt.digital.gov.il
2a02:26f0:f3:18a::6259,yahadt.digital.gov.il
34.36.40.130,www.dev-gfu-gw.egov.gov.il
34.36.40.130,dev-gfu-gw.egov.gov.il
34.36.45.203,staging.ncs.gov.il
2a02:e980:53::1b,api.base.idf.il
2a02:e980:53::1b,base.idf.il
2a02:e980:53::1b,go.idf.il
2a02:e980:53::1b,home.idf.il
2a02:e980:53::1b,lebanonwar2.idf.il
2a02:e980:53::1b,maarachot.idf.il
2a02:e980:53::1b,miluim.idf.il
2a02:e980:53::1b,mitgaisim.idf.il
2a02:e980:53::1b,my.idf.il
2a02:e980:53::1b,prat.idf.il
2a02:e980:53::1b,www.base.idf.il
2a02:e980:53::1b,www.idf.il
2a02:e980:55::1b,api.base.idf.il
2a02:e980:55::1b,base.idf.il
2a02:e980:55::1b,go.idf.il
2a02:e980:55::1b,home.idf.il
2a02:e980:55::1b,maarachot.idf.il
2a02:e980:55::1b,miluim.idf.il
2a02:e980:55::1b,lebanonwar2.idf.il
2a02:e980:55::1b,mitgaisim.idf.il
2a02:e980:55::1b,my.idf.il
