ip_address,domain
35.213.158.26,legislation.gov.im
35.213.158.26,www.legislation.gov.im
35.213.158.26,www.legislation.gov.im
35.213.158.26,legislation.gov.im
35.213.158.26,legislation.gov.im
35.213.158.26,www.legislation.gov.im
193.189.75.111,portstmary.gov.im
193.189.75.111,www.portstmary.gov.im
193.189.75.111,portstmary.gov.im
193.189.75.111,www.portstmary.gov.im
193.189.75.111,portstmary.gov.im
193.189.75.111,www.portstmary.gov.im
193.219.111.245,host01.gov.im
193.219.111.246,host02.gov.im
81.19.215.19,webmail.michael.gov.im
81.19.215.19,mail.michael.gov.im
10.10.10.10,guestwifi.gov.im
10.10.10.10,guestwifi.gov.im
81.88.163.11,michael.gov.im
81.88.163.11,www.michael.gov.im
81.88.163.11,michael.gov.im
81.88.163.11,www.michael.gov.im
81.88.163.11,michael.gov.im
81.88.163.11,www.michael.gov.im
52.19.234.103,centralregistry.gov.im
52.19.234.103,www.centralregistry.gov.im
34.249.135.223,educationsupply.gov.im
34.249.135.223,educationsupply.gov.im
34.249.135.223,educationsupply.gov.im
62.68.188.254,library.porterin.gov.im
37.18.136.198,library.porterin.gov.im
37.18.143.181,webmail.douglas.gov.im
37.18.143.181,douglas.gov.im
37.18.143.181,events.douglas.gov.im
37.18.143.181,library.douglas.gov.im
37.18.143.181,recycle.douglas.gov.im
37.18.143.181,venues.douglas.gov.im
37.18.143.181,webmail.douglas.gov.im
37.18.143.183,dcexchange.douglas.gov.im
37.18.143.183,douglas.gov.im
37.18.143.183,email.douglas.gov.im
37.18.143.183,function.douglas.gov.im
37.18.143.183,www.douglas.gov.im
37.18.143.183,douglas.gov.im
37.18.143.183,archive.douglas.gov.im
37.18.143.183,function.douglas.gov.im
37.18.143.183,payments.douglas.gov.im
37.18.143.183,www.douglas.gov.im
77.68.50.21,ramsey.gov.im
77.68.50.21,ramsey.gov.im
77.72.0.174,castletown.gov.im
77.72.0.174,cpanel.castletown.gov.im
77.72.0.174,webdisk.castletown.gov.im
77.72.0.174,webmail.castletown.gov.im
213.137.0.253,mail.portstmary.gov.im
213.137.0.253,mail.portstmary.gov.im
