ip_address,domain
141.136.39.53,clr.gov.krd
141.136.39.53,clr.gov.krd
141.136.39.131,zakho.gov.krd
141.136.39.131,zakho.gov.krd
34.68.106.189,tp.moi.gov.krd
34.68.106.189,tp.moi.gov.krd
34.68.106.189,tp.moi.gov.krd
93.91.201.61,his.moh.gov.krd
34.71.131.73,admin.dev.auth.digital.gov.krd
34.71.131.73,dev.auth.digital.gov.krd
34.71.131.73,eis.digital.gov.krd
34.71.131.73,api.dev.auth.digital.gov.krd
93.126.3.98,ashayer-es.gov.ir
93.126.3.98,www.ashayer-es.gov.ir
93.126.7.37,mail.mobarakeh.gov.ir
93.126.7.138,www2.isfahan.gov.ir
87.107.31.54,hadafmandi.gov.ir
87.107.116.5,mail.msy.gov.ir
87.107.116.5,mail.msy.gov.ir
87.107.116.5,msy.gov.ir
87.107.116.8,salary.msy.gov.ir
87.107.116.10,amalkard.msy.gov.ir
87.107.116.12,tesma.msy.gov.ir
87.107.116.11,didgah.msy.gov.ir
87.107.116.16,fars.msy.gov.ir
87.107.116.16,msy.gov.ir
87.107.116.16,kurdestan.msy.gov.ir
87.107.116.19,m5.msy.gov.ir
87.107.116.20,fed.msy.gov.ir
87.107.116.22,saman.msy.gov.ir
87.107.116.18,mainmobin.msy.gov.ir
87.107.116.23,sso.msy.gov.ir
87.107.116.24,faslname.msy.gov.ir
87.107.116.24,msy.gov.ir
87.107.116.35,regmobin.msy.gov.ir
87.107.116.38,video.msy.gov.ir
87.107.116.36,servicedesk.msy.gov.ir
87.107.116.39,pishkhan.msy.gov.ir
87.107.116.40,np.msy.gov.ir
87.107.116.44,lib.msy.gov.ir
87.107.116.44,lib.msy.gov.ir
87.107.116.18,mainmobin.msy.gov.ir
87.107.123.18,didehban.behzisti.gov.ir
87.107.123.18,moshavereh.behzisti.gov.ir
87.107.150.5,fda.gov.ir
87.107.150.5,mail.fda.gov.ir
87.107.150.7,fda.gov.ir
87.107.150.10,ns1.fda.gov.ir
87.107.150.10,ns1.halal.gov.ir
87.107.150.52,fda.gov.ir
87.107.150.52,fda.gov.ir
87.107.150.52,ifdana.fda.gov.ir
87.107.150.52,www.fda.gov.ir
87.107.150.53,bi.fda.gov.ir
87.107.150.54,publicbi.fda.gov.ir
87.107.150.55,newbi.fda.gov.ir
87.107.150.80,fda.gov.ir
87.107.150.80,mail.halal.gov.ir
87.107.150.82,halal.gov.ir
87.107.150.82,www.halal.gov.ir
87.107.164.125,pishkhan.lmo.gov.ir
87.107.166.154,agh.mimt.gov.ir
87.107.166.154,alb.mimt.gov.ir
87.107.166.154,ard.mimt.gov.ir
87.107.166.154,aze.mimt.gov.ir
87.107.166.154,bsh.mimt.gov.ir
87.107.166.154,chb.mimt.gov.ir
87.107.166.154,cppo.mimt.gov.ir
87.107.166.154,easnaf.mimt.gov.ir
87.107.166.154,en.mimt.gov.ir
87.107.166.154,esf.mimt.gov.ir
87.107.166.154,frs.mimt.gov.ir
87.107.166.154,gil.mimt.gov.ir
87.107.166.154,gol.mimt.gov.ir
87.107.166.154,hmd.mimt.gov.ir
87.107.166.154,hor.mimt.gov.ir
87.107.166.154,ilm.mimt.gov.ir
87.107.166.154,ker.mimt.gov.ir
87.107.166.154,isar.mimt.gov.ir
87.107.166.154,khedmat.mimt.gov.ir
87.107.166.154,khr.mimt.gov.ir
87.107.166.154,khs.mimt.gov.ir
87.107.166.154,khz.mimt.gov.ir
87.107.166.154,krd.mimt.gov.ir
87.107.166.154,ksh.mimt.gov.ir
87.107.166.154,kvb.mimt.gov.ir
87.107.166.154,lre.mimt.gov.ir
87.107.166.154,mimt.gov.ir
87.107.166.154,mkz.mimt.gov.ir
87.107.166.154,mzr.mimt.gov.ir
87.107.166.154,nkh.mimt.gov.ir
87.107.166.154,qaz.mimt.gov.ir
87.107.166.154,qom.mimt.gov.ir
87.107.166.154,sb.mimt.gov.ir
87.107.166.154,sem.mimt.gov.ir
87.107.166.154,sif.mimt.gov.ir
87.107.166.154,teh.mimt.gov.ir
87.107.166.154,tahavol.mimt.gov.ir
87.107.166.154,webfestival.mimt.gov.ir
87.107.166.154,wmn.mimt.gov.ir
87.107.166.154,skr.mimt.gov.ir
87.107.166.154,www.mimt.gov.ir
87.107.166.154,yzd.mimt.gov.ir
87.107.166.154,znj.mimt.gov.ir
87.107.190.171,halal.gov.ir
87.107.190.215,apnp.gov.ir
87.107.190.215,www.apnp.gov.ir
87.107.190.215,apnp.gov.ir
34.90.122.58,dngo.gov.krd
34.90.122.58,25years.gov.krd
34.90.122.58,backoffice.gov.krd
34.90.122.58,www.backoffice.gov.krd
34.90.122.58,boi.gov.krd
34.90.122.58,cabinet.gov.krd
34.90.122.58,dcf.gov.krd
34.90.122.58,dfr.gov.krd
