ip_address,domain
8.6.112.0,government.is
8.47.69.0,government.is
188.114.98.233,government.is
188.114.99.233,government.is
104.20.16.88,government.is
104.20.16.88,government.is
104.22.52.203,womenministers.government.is
104.22.52.203,government.is
104.22.52.203,www.government.is
104.22.52.203,government.is
104.22.52.203,visa.government.is
104.22.52.203,womenministers.government.is
104.22.52.203,www.government.is
104.22.53.203,womenministers.government.is
104.22.53.203,government.is
104.22.53.203,www.government.is
104.22.53.203,government.is
104.22.53.203,visa.government.is
104.22.53.203,womenministers.government.is
104.22.53.203,www.government.is
185.198.145.38,postur.government.is
185.198.145.38,sts.government.is
185.198.145.101,sip.government.is
185.198.145.102,webcon.government.is
185.198.145.104,sip.government.is
185.198.145.104,webcon.government.is
185.198.145.70,samvinna.government.is
172.66.165.219,government.is
172.66.165.219,government.is
172.67.42.86,government.is
172.67.42.86,womenministers.government.is
172.67.42.86,www.government.is
172.67.42.86,visa.government.is
172.67.42.86,government.is
172.67.42.86,womenministers.government.is
172.67.42.86,www.government.is
