ip_address,domain
141.125.147.246,login.skills.gov.je
141.125.147.246,skills.gov.je
141.125.147.246,students.skills.gov.je
141.125.147.246,skills.gov.je
141.125.147.246,login.skills.gov.je
141.125.147.246,students.skills.gov.je
35.177.18.12,consult.gov.je
34.89.238.75,careers.gov.je
193.3.239.21,gov.je
193.3.239.21,da1.gov.je
193.3.239.22,aovpn.gov.je
193.3.239.25,asgw.gov.je
193.3.239.25,asgw3.gov.je
193.3.239.25,gov.je
193.3.239.26,appgw.gov.je
193.3.239.27,gov.je
193.3.239.27,rmd.gov.je
193.3.239.28,gov.je
193.3.239.29,gov.je
193.3.239.30,gov.je
193.3.239.30,maps.gov.je
193.3.239.40,gov.je
193.3.239.40,mailhub.gov.je
193.3.239.41,mailhub01.gov.je
193.3.239.41,gov.je
193.3.239.41,mailhub01.gov.je
193.3.239.46,gov.je
193.3.239.52,itaxrdp.sg.gov.je
193.3.239.59,gov.je
193.3.239.107,outbound107.gov.je
193.3.239.108,outbound108.gov.je
193.3.239.109,outbound109.gov.je
193.3.239.110,outbound110.gov.je
193.3.239.123,tec-edge-rtr-01.gov.je
193.3.239.124,tec-edge-rtr-02.gov.je
193.3.239.125,rdp-edge-rtr-01.gov.je
193.3.239.126,rdp-edge-rtr-02.gov.je
188.95.134.148,tenders.gov.je
188.95.134.148,www.tenders.gov.je
23.97.224.11,jerseymet.gov.je
23.97.224.11,governmenthouse.gov.je
23.97.224.11,archive.gov.je
23.97.224.11,blog.gov.je
23.97.224.11,governmenthouse.gov.je
23.97.224.11,jerseymet.gov.je
23.97.224.11,www.jerseymet.gov.je
23.100.50.158,gov.je
23.100.50.158,opendata.gov.je
10.100.151.101,tquest.prod.jgh.gov.je
10.101.7.30,soj-fwm-02.gov.je
81.139.44.20,www.pept.gov.je
81.139.44.20,pept.gov.je
81.139.44.20,www.pept.gov.je
81.139.44.20,pept.gov.je
81.139.44.20,pept.gov.je
81.139.44.20,www.pept.gov.je
34.242.5.187,moderate.petitions.gov.je
34.242.5.187,petitions.gov.je
34.242.206.7,beta-petitions.gov.je
34.242.206.7,moderate.beta-petitions.gov.je
34.249.115.69,moderate.petitions.gov.je
34.249.115.69,petitions.gov.je
34.252.15.98,moderate.petitions.gov.je
34.252.15.98,petitions.gov.je
34.255.54.43,moderate.petitions.gov.je
34.255.54.43,petitions.gov.je
54.229.140.49,moderate.petitions.gov.je
54.229.140.49,petitions.gov.je
52.31.98.197,beta-petitions.gov.je
52.31.98.197,moderate.beta-petitions.gov.je
52.31.137.53,moderate.petitions.gov.je
52.31.137.53,petitions.gov.je
20.54.28.29,dev.api.gov.je
45.157.41.55,education.careers.gov.je
45.157.41.55,clscareers.gov.je
