ip_address,domain
35.95.166.55,cybertraining.tef.gov.jm
35.95.166.55,cybertraining.tef.gov.jm
34.36.103.69,training.sma.gov.jm
34.36.103.69,training.sma.gov.jm
34.36.103.69,training.sma.gov.jm
114.129.129.83,jamaicatradeportal.gov.jm
114.129.129.83,www.admin.jamaicatradeportal.gov.jm
114.129.129.83,www.frontend.jamaicatradeportal.gov.jm
114.129.129.83,jamaicatradeportal.gov.jm
114.129.129.83,www.admin.jamaicatradeportal.gov.jm
114.129.129.83,www.frontend.jamaicatradeportal.gov.jm
114.129.129.83,jamaicatradeportal.gov.jm
114.129.129.83,www.admin.jamaicatradeportal.gov.jm
114.129.129.83,www.frontend.jamaicatradeportal.gov.jm
35.153.151.234,sma.gov.jm
34.49.204.57,cybersecuritytraining.miic.gov.jm
34.49.204.57,cybersecuritytraining.miic.gov.jm
34.49.204.57,cybersecuritytraining.miic.gov.jm
190.92.168.151,jcf.gov.jm
190.92.168.151,portal.jcf.gov.jm
190.92.168.151,portal.jcf.gov.jm
190.92.168.151,jcf.gov.jm
190.92.168.151,jcf.gov.jm
190.92.168.151,portal.jcf.gov.jm
44.229.161.124,admin.jamcovid19.moh.gov.jm
44.229.161.124,jamcovid19.moh.gov.jm
35.162.7.205,admin.jamcovid19.moh.gov.jm
35.162.7.205,jamcovid19.moh.gov.jm
35.167.31.10,server.dev.ecmis.pioj.gov.jm
23.20.140.11,supportjamaica.gov.jm
151.101.1.195,eccapp.ecc.gov.jm
151.101.1.195,eccapp.ecc.gov.jm
151.101.1.195,eccapp.ecc.gov.jm
35.194.56.60,shop.jamaicapost.gov.jm
98.129.135.74,mx.cabinet.gov.jm
98.129.141.165,micys.gov.jm
98.129.141.165,www.micys.gov.jm
98.129.229.7,wpm.nswma.gov.jm
98.129.229.50,bloodbank.gov.jm
98.129.229.50,www.bloodbank.gov.jm
98.129.229.50,old.jcdc.gov.jm
98.129.229.50,nswma.gov.jm
98.129.229.50,www.nswma.gov.jm
98.129.229.50,nswma.gov.jm
98.129.229.50,www.nswma.gov.jm
98.129.229.50,pmc.gov.jm
98.129.229.50,www.pmc.gov.jm
98.129.229.82,boardofexaminers.gov.jm
151.101.65.195,eccapp.ecc.gov.jm
151.101.65.195,eccapp.ecc.gov.jm
